smiles,name,protein
C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)OC5C(C(C(C(O5)CO)O)O)O)O)O,Q3OS,Bet_v_1.0101
C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)OC5C(C(C(C(O5)CO)O)O)O)O)O,Q3O-(Glc)-Gal,Cor_a_1.0401
CCC1C(CC(=O)C1C=CC(CCCCCCCC(=O)O)O)O,PPE1,Bet_v_1.0101 
C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)OC5C(C(C(C(O5)CO)O)O)O)O)O,Q3OS,Fra_a_1.0101
CCCCCCCCCCCCCCC(O)C(O)C(CO)NC(=O)[C@@](O)(CC)C1=C(CO)C(=O)N2CC3=CC4=CC(=CC=C4N=C3C2=C1)O,Pru_p_3_ligand,Pru_p_3.0101
COc3c(C)c(OC)c2c(=O)c(OC)c(c1ccc(O)c(O)c1)oc2c3C,Quercetin,Alt_a_1.01







