Compound;Smiles;rmsd
UDP-D-XYLOSE;[O-][P@](=O)(O[C@@H]1OC[C@H](O)[C@H](O)[C@@H]1O)O[P@]([O-])(=O)OC[C@H]1O[C@@H]([C@@H](O)[C@H]1O)N1C=CC(=O)NC1=O;0.184604228
CROTONYL-COA;C/C=C\C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)CO[P@@]([O-])(=O)O[P@@]([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)[n]1c[n]c2c(N)[n]c[n]c12;0.410913795
CPD-7144;C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3cc4c([O-])cc(O)cc4[o+]c3-c3ccc(O)cc3)[C@H](O)[C@@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O;0.172213256
BACCATIN-III;CC1(C)C2[C@@H](OC(C)=O)C(=O)[C@@]3(C)[C@@H]([C@@H](OC(=O)c4ccccc4)[C@]1(O)C[C@@H](O)C=2C)[C@@]1(CO[C@@H]1C[C@@H]3O)OC(C)=O;0.239387944
CPD-15364;CCCCCC[C@@H](O)C/C=C\CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](O)C(C)(C)CO[P@]([O-])(=O)O[P@]([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@H]1OP([O-])([O-])=O)[n]1c[n]c2c(N)[n]c[n]c12;0.130527437
CPD-8634;OC[C@@H]1O[C@H](Oc2cc(O)c3C(=O)/C(=C/c4cc(O)c(O)cc4)/Oc3c2)[C@@H](O)[C@H](O)[C@H]1O;0.10932219
CPD-20015;[O-]c1cc2O[C@](O)(CC(=O)c2c(O)c1[C@@H]1O[C@@H](CO)[C@H](O)[C@H](O)[C@H]1O)c1ccc(O)cc1;0.106491759
CPD-14978;O[C@H]1[C@H](O)[C@H](O[C@@H](COC(=O)/C=C\c2ccc(O)cc2)[C@@H]1O)OC1=C(Oc2cc(O)cc(O)c2C1=O)c1cc(O)c(O)cc1;0.097097263
SUCROSE-6P;[O-]P([O-])(=O)OC[C@H]1O[C@](CO)(O[C@@H]2O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H]1O;0.273225904
CPD-9441;CC(C)=CC[C@@H](Cc1c2O[C@@H](CC(=O)c2c(O)cc1O)c1ccc(O)cc1O)C(C)=C;0.334498078
LUTEOLIN-7-O-BETA-D-GLUCURONIDE;[O-]C(=O)[C@H]1O[C@H](Oc2cc(O)c3c(c2)OC(=CC3=O)c2cc(O)c(O)cc2)[C@@H](O)[C@H](O)[C@H]1O;0.146638006
CPD-14998;[O-]c1cc(O)cc2[o+]c(c(cc21)O[C@H]1O[C@H](CO)[C@H](O)[C@@H](O)[C@@H]1O)-c1cc(O)c(O)cc1;0.205809027
NARINGENIN-7-O-BETA-D-GLUCOSIDE;OC[C@H]1O[C@@H](Oc2cc(O)c3C(=O)C[C@@H](Oc3c2)c2ccc(O)cc2)[C@@H](O)[C@H](O)[C@@H]1O;0.121431641
