Compound_id;Compound_common_name;Compound_synonyms;Molecular_weight;Chemical_formula;Smiles;Links;EC;Reaction_equation;Pathway
UDP-D-XYLOSE;UDP-alpha-D-xylose;;534.263;C14 H20 N2 O16 P2 ;C3(OC(OP(=O)([O-])OP(=O)([O-])OCC1(OC(C(O)C(O)1)N2(C=CC(=O)NC(=O)2)))C(O)C(O)C(O)3);METABOLIGHTS:MTBLC57632*HMDB:HMDB01018*CHEMSPIDER:17600385*CHEBI:57632*PUBCHEM:16667349*LIGAND-CPD:C00190*CAS:3616-06-6;EC-2.4.1;isovitexin + UDP-alpha-D-xylose  ->  isovitexin-7-O-xyloside + UDP;isovitexin glycosides biosynthesis
CROTONYL-COA;crotonyl-CoA;crotonyl-<i>S</i>-CoA*crotonyl-coenzyme A*crotonoyl-CoA*2-butenoyl-CoA*trans-but-2-enoyl-CoA*but-2-enoyl-CoA*trans-butyr-2-enoyl-CoA*(E)-but-2-enoyl-CoA;831.577;C25 H36 N7 O17 P3 S1 ;CC=CC(SCCNC(CCNC(C(C(COP(=O)([O-])OP(OCC1(OC(C(C1OP([O-])([O-])=O)O)N3(C=NC2(C(=NC=NC=23)N))))([O-])=O)(C)C)O)=O)=O)=O;BIGG:b2coa*METABOLIGHTS:MTBLC57332*HMDB:HMDB02009*BIGG:36265*CHEBI:57332*PUBCHEM:25245057*LIGAND-CPD:C00877*UM-BBD-CPD:c0032*CAS:102680-35-3;EC-1.3.1.85;(2S)-ethylmalonyl-CoA + NADP+  <-  crotonyl-CoA + CO2 + NADPH;crotonyl-CoA/ethylmalonyl-CoA/hydroxybutyryl-CoA cycle (engineered)
CPD-15364;ricinoleoyl-CoA;12-hydroxy-9-octadecenoyl-CoA;1043.952;C39 H64 N7 O18 P3 S1 ;CCCCCCC(O)CC=CCCCCCCCC(SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-])=O;PUBCHEM:90658767;EC-2.3.1.199;ricinoleoyl-CoA + malonyl-CoA + H+  ->  3-oxo-lesqueroloyl-CoA + CO2 + coenzyme A;hydroxylated fatty acid biosynthesis (plants)
CPD-7144;pelargonidin-3-O-rutinoside;pelargonidin-3-O-rhamnoglucoside;578.526;C27 H30 O14 ;CC5(C(O)C(O)C(O)C(OCC1(C(O)C(O)C(O)C(O1)OC3(=CC4(=C([O+]=C(C2(C=CC(O)=CC=2))3)C=C(O)C=C([O-])4))))O5);PUBCHEM:443918*CHEBI:60048*CHEBI:31968*LIGAND-CPD:C12644;EC-2.4.1.116;UDP-alpha-D-glucose + pelargonidin-3-O-rutinoside  ->  pelargonidin-3-O-rutinoside-5-O-beta-D-glucoside + UDP + H+;pelargonidin conjugates biosynthesis
BACCATIN-III;baccatin III;;586.635;C31 H38 O11 ;CC3(C(O)CC2(O)(C(OC(C1(C=CC=CC=1))=O)[CH]4(C(C)(C(=O)C(OC(C)=O)C(C(C)(C)2)=3)C(O)CC5(OCC(OC(=O)C)45))));REFMET:Baccatin III*CHEMSPIDER:58838*PUBCHEM:65366*CHEBI:32898*LIGAND-CPD:C11900;EC-2.3.1;baccatin III + (3R)-3-amino-3-phenylpropanoyl-CoA  ->  N-debenzoyl-(3'-RS)-2'-deoxytaxol + coenzyme A;taxol biosynthesis
CPD-8634;aureusidin 6-O-glucoside;;448.382;C21 H20 O11 ;C4(OC3(C=C2(OC(=CC1(C=CC(O)=C(O)C=1))C(=O)C2=C(C=3)O)))(OC(CO)C(O)C(O)C(O)4);PUBCHEM:5321164*CHEBI:66905*PUBCHEM:25200347*LIGAND-CPD:C16409;EC-1.21.3.6;2',4,4',6'-tetrahydroxychalcone 4'-O-beta-D-glucoside + oxygen  ->  aureusidin 6-O-glucoside + H2O;aurone biosynthesis
CPD-20015;6-C-glucosyl-2-hydroxynaringenin;;449.39;C21 H21 O11 ;C(O)C4(C(O)C(O)C(O)C(C3(C(O)=C2(C(=O)CC(O)(C1(C=CC(O)=CC=1))OC2=CC([O-])=3)))O4);PUBCHEM:129320321;RXN-18753;3-C-glucosyl-2,4,4',6-tetrahydroxydibenzoylmethane  <-->  6-C-glucosyl-2-hydroxynaringenin;flavonoid di-C-glucosylation
SUCROSE-6P;sucrose 6F-phosphate;6-<i>O</i>-phosphonato-&beta;;;;;;;
CPD-14978;"quercetin 3-O-(6\""-O-p-coumaroyl)-glucoside";;610.527;C30 H26 O14 ;C(OCC4(OC(OC3(C(=O)C1(C(=CC(O)=CC(O)=1)OC(C2(C=C(O)C(O)=CC=2))=3)))C(O)C(O)C(O)4))(=O)C=CC5(C=CC(O)=CC=5);PUBCHEM:5317991;EC-2.3.1;"4-coumaroyl-CoA + quercetin 3-O-(6\""-O-p-coumaroyl)-glucoside + 4-coumaroyl-CoA  ->  quercetin 3-O-(3',6\""-O-di-p-coumaroyl)-glucoside + coenzyme A + coenzyme A";flavonol acylglucoside biosynthesis III - quercetin derivatives
CPD-9441;sophoraflavanone G;;424.493;C25 H28 O6 ;CC(=CCC(CC1(=C(O)C=C(O)C2(C(=O)CC(OC1=2)C3(=C(C=C(O)C=C3)O))))C(C)=C)C;CHEMSPIDER:8085885*CHEBI:581707*LIGAND-CPD:C18053*PUBCHEM:9910234;EC-2.5.1.71;dimethylallyl diphosphate + leachianone G + H+  ->  sophoraflavanone G + diphosphate;sophoraflavanone G biosynthesis
LUTEOLIN-7-O-BETA-D-GLUCURONIDE;luteolin 7-O-beta-D-glucuronide;luteolin 7-O-glucuronide;461.358;C21 H17 O12 ;C4(=C(C1(OC3(C(C(C=1)=O)=C(C=C(OC2(C(C(C(C(C([O-])=O)O2)O)O)O))C=3)O)))C=C(C(=C4)O)O);PUBCHEM:40490600*CHEBI:58385*PUBCHEM:25245094*METABOLIGHTS:MTBLC18128*LIPID_MAPS:LMPK12110644*CHEBI:18128*PUBCHEM:25245094*LIGAND-CPD:C03515;EC-2.4.1.190;luteolin 7-O-beta-D-glucuronide + UDP-alpha-D-glucuronate  ->  luteolin 7-O-beta-D-diglucuronide + UDP + H+;luteolin triglucuronide biosynthesis
CPD-14998;cyanidin-3-O-beta-D-galactoside;cyanidin 3-<i>O</i>-&beta;;;;;;;
NARINGENIN-7-O-BETA-D-GLUCOSIDE;prunin;naringenin 7-O-&beta;;;;;;;
CPD-15012;cyanidin 3-O-(beta-D-xylosyl-(1->2)-beta-D-galactoside);;580.498;C26 H28 O15 ;C(O)C5(C(O)C(O)C(OC1(C(O)C(O)C(O)CO1))C(OC3(C(C2(=CC=C(O)C(O)=C2))=[O+]C4(C(C=3)=C([O-])C=C(O)C=4)))O5);PUBCHEM:70698353;EC-2.4.1;cyanidin 3-O-(beta-D-xylosyl-(1->2)-beta-D-galactoside) + UDP-alpha-D-glucose  ->  cyanidin 3-O-(6-O-beta-D-glucosyl-2-O-beta-D-xylosyl-beta-D-galactoside) + UDP + H+;acylated cyanidin galactoside biosynthesis
CPD-16531;(-)-gallocatechin-3-O-gallate;(-)-gallocatechol gallate*(-)-gallocatechin gallate;458.378;C22 H18 O11 ;C1(C(O)=C(O)C(O)=CC=1C3(OC4(C(CC(OC(=O)C2(C=C(O)C(O)=C(O)C=2))3)=C(O)C=C(O)C=4)));CHEBI:95002*CHEMSPIDER:172662*PUBCHEM:199472;RXN-15319;(-)-epigallocatechin-3-O-gallate  ->  (-)-gallocatechin-3-O-gallate;galloylated catechin biosynthesis
CPD-15087;6-C-glucosyl chrysin;chrysin 6-C-glucoside;415.376;C21 H19 O9 ;C(C4(C(C(C(C(C1(=C(C=C2(OC(=CC(C(=C1O)2)=O)C3(C=CC=CC=3)))[O-]))O4)O)O)O))O;PUBCHEM:90657677;EC-4.2.1;1-phenyl-3-(3-C-glucosyl-2,4,6-trihydroxyphenyl)propane-1,3-dione  ->  6-C-glucosyl chrysin + H2O + H+ + H+ + H2O;pinocembrin C-glucosylation
CPD-6972;4-(2'-carboxyphenyl)-4-oxobutyryl-CoA;succinylbenzoyl-CoA*2-succinylbenzoyl-CoA*2-(3'-carboxypropionyl)benzoyl-CoA*<i>o</i>-succinylbenzoyl-CoA;966.676;C32 H39 N7 O20 P3 S1 ;CC(COP([O-])(=O)OP([O-])(=O)OCC3(C(C(C(N2(C=NC1(C(=NC=NC=12)N)))O3)O)OP([O-])(=O)[O-]))(C)C(C(NCCC(NCCSC(CCC(C4(C=CC=CC(C([O-])=O)=4))=O)=O)=O)=O)O;CHEBI:15509*BIGG:sbzcoa*CHEBI:1279*BIGG:41314*PUBCHEM:25245100*LIGAND-CPD:C03160;EC-4.1.3.36;4-(2'-carboxyphenyl)-4-oxobutyryl-CoA + H+  ->  1,4-dihydroxy-2-naphthoyl-CoA + H2O;1,4-dihydroxy-2-naphthoate biosynthesis
CPD-650;(3R)-3-hydroxybutanoyl-CoA;3-OH-butyryl-CoA*OH-butyryl-CoA*&beta;;;;;;;
CPD-4208;trans-zeatin riboside;ZR*zeatin riboside;351.361;C15 H21 N5 O5 ;CC(CO)=CCNC3(=NC=NC1(=C(N=CN1C2(C(O)C(O)C(CO)O2))3));CHEBI:71693*CHEMSPIDER:4945213*PUBCHEM:6440982*LIGAND-CPD:C16431;EC-1.5.99;trans-zeatin riboside + FAD + H2O + H+  ->  adenosine + 3-methyl-4-trans-hydroxy-2-butenal + FADH2;cytokinins degradation
CPD-16541;cyanidin 3-O-beta-D-p-coumaroylglucoside;"cyanidin 3-<i>O</i>-[6\*-<i>O</i>-*ARRAY(0x11d7f90)*]*glucoside""";593.52;C30 H25 O13 ;C1(C=C(O)C=CC=1C=CC(=O)OCC5(OC(OC3(C(=[O+]C2(C(=C([O-])C=C([O-])C=2)C=3))C4(=CC(O)=C(O)C=C4)))C(O)C(O)C(O)5));PUBCHEM:102514898*CHEBI:29560*LIGAND-CPD:C12095*PUBCHEM:5282067;EC-2.4.2;cyanidin 3-O-beta-D-p-coumaroylglucoside + UDP-alpha-D-xylose  ->  cyanidin 3-O-beta-D-(p-coumaroyl)-sambubioside + UDP;anthocyanidin modification (Arabidopsis)
CPD-14821;quercetin-3-gentiotrioside;;788.666;C33 H40 O22 ;C(O)C1(OC(C(O)C(O)C(O)1)OCC6(OC(OCC2(OC(C(O)C(O)C(O)2)OC3(C(C5(=C(OC=3C4(C=CC(O)=C(O)C=4))C=C(O)C=C(O)5))=O)))C(O)C(O)C(O)6));PUBCHEM:5319886;EC-2.4.1;UDP-alpha-D-glucose + quercetin-3-gentiotrioside + UDP-alpha-D-glucose  ->  UDP + quercetin-3-gentiotetraside + UDP + H+ + H+;quercetin gentiotetraside biosynthesis
CPD-6994;(2S)-eriodictyol;;287.248;C15 H11 O6 ;C3(C(C2(OC1(C=C(C=C(C=1C(C2)=O)O)[O-])))=CC(=C(C=3)O)O);REFMET:Eriodictyol*PUBCHEM:90657147*CHEBI:28412*HMDB:HMDB05810*CHEBI:4832*PUBCHEM:25200419*LIGAND-CPD:C05631;EC-2.1.1;S-adenosyl-L-methionine + (2S)-eriodictyol  ->  (2S)-hesperetin + S-adenosyl-L-homocysteine + H+;hesperitin glycoside biosynthesis
CPD-4613;trans-zeatin-9-N-glucoside;;381.388;C16 H23 N5 O6 ;CC(=CCNC1(C2(=C(N=CN=1)N(C=N2)C3(C(C(C(C(O3)CO)O)O)O))))CO;CHEBI:72609*PUBCHEM:25243916;EC-2.4.1;UDP-alpha-D-glucose + trans-zeatin  ->  trans-zeatin-9-N-glucoside + UDP + H+;cytokinins 9-N-glucoside biosynthesis
CPD-15576;ginsenoside Ro;;956.109;C48 H75 O19 ;CC7(C)(CCC8(C(=O)OC1(C(C(C(C(CO)O1)O)O)O))(CCC2(C)(C(=CC[CH]3(C4(C)(CCC(C(C)(C)[CH](CCC(C)23)4)OC5(C(C(C(C(C(=O)[O-])O5)O)O)OC6(C(C(C(C(CO)O6)O)O)O)))))[CH](C7)8)));PUBCHEM:90658792*CHEMSPIDER:9990149;RXN-14976;oleanolate  ->  ginsenoside Ro;ginsenosides biosynthesis
CPD-8048;galactopinitol B;<i>O</i>-&alpha;;;;;;;
CPD-8757;betaxanthin;3-methoxytyramine betaxanthin;358.35;C18 H18 N2 O6 ;COC2(=CC(CCN=CC=C1(CC(NC(=C1)C(=O)[O-])C([O-])=O))=CC=C2O);PUBCHEM:25245127;RXN-8567;3-methoxytyramine + betalamate  ->  betaxanthin + H+ + H2O;betaxanthin biosynthesis
CPD-14596;neolinustatin;butanenitrile*[(2R)-2-(6-<i>O</i>-&beta;;;;;;;
N-METHYLANTHRANILOYL-COA;N-methylanthraniloyl-CoA;;896.652;C29 H39 N8 O17 P3 S1 ;CC(C)(C(O)C(=O)NCCC(=O)NCCSC(=O)C1(C=CC=CC(NC)=1))COP(=O)(OP(=O)(OCC2(C(OP([O-])(=O)[O-])C(O)C(O2)N4(C3(=C(C(N)=NC=N3)N=C4))))[O-])[O-];PUBCHEM:45266702*CHEBI:58630*CHEBI:29645*PUBCHEM:25200447*LIGAND-CPD:C12092;EC-2.3.1.159;N-methylanthraniloyl-CoA + 3 malonyl-CoA  ->  3 CO2 + 1,3-dihydroxy-N-methylacridone + 4 coenzyme A;acridone alkaloid biosynthesis
CPD-17371;18-hydroxylinoleoyl-CoA;&omega;;;;;;;
CPD-6625;curcumin 4'-O-beta-D-gentiobiosyl 4''-O-beta-D-glucoside;;854.811;C39 H50 O21 ;COC5(=CC(C=CC(=CC(C=CC1(=CC(=C(C=C1)OC2(C(C(C(C(O2)COC3(C(C(C(C(O3)CO)O)O)O))O)O)O))OC))=O)O)=CC=C(OC4(OC(C(C(C4O)O)O)CO))5);PUBCHEM:46926199;EC-2.4.1;UDP-alpha-D-glucose + curcumin 4'-O-beta-D-gentiobiosyl 4''-O-beta-D-glucoside  ->  curcumin 4',4''-O-beta-D-digentiobioside + UDP + H+;curcumin glucoside biosynthesis
CPD-14504;stevioside;13-[(2-<i>O</i>-.&beta;;;;;;;
CPD-15023;kaempferol 3-O-rhamnosyl(1->2)glucoside-7-O-rhamnoside;kaempferol 3-<i>O</i>-sophoroside-7-<i>O</i>-rhamnoside;756.667;C33 H40 O20 ;CC6(OC(OC5(C=C2(C(C(=O)C(=C(C1(=CC=C(O)C=C1))O2)OC3(OC(C(C(C3OC4(C(C(C(C(O4)CO)O)O)O))O)O)CO))=C(C=5)O)))C(C(C6O)O)O);PUBCHEM:90657705;EC-2.4.1;kaempferol 3-O-beta-D-glucosyl-(1->2)-glucoside + UDP-beta-L-rhamnose  ->  kaempferol 3-O-rhamnosyl(1->2)glucoside-7-O-rhamnoside + UDP;kaempferol glycoside biosynthesis (Arabidopsis)
PALMITYL-COA;palmitoyl-CoA;Palmitoyl-CoA (n-C16:0CoA)*hexadecanoyl CoA*palmityl-CoA*palmitoyl coenzyme A*palmitoyl CoA;1001.915;C37 H62 N7 O17 P3 S1 ;CCCCCCCCCCCCCCCC(SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-])=O;REFMET:Palmitoyl-CoA*BIGG:pmtcoa*METABOLIGHTS:MTBLC57379*HMDB:HMDB01338*BIGG:34063*CHEBI:57379*PUBCHEM:45266605*LIGAND-CPD:C00154*CAS:1763-10-6;EC-2.3.1.50;L-serine + palmitoyl-CoA + H+  ->  CO2 + 3-dehydrosphinganine + coenzyme A;sphingolipid biosynthesis (plants)
CPD-9677;dalcochinin-8'-O-beta-glucoside;dalcochinin glucoside;574.58;C29 H34 O12 ;C=C(COC1(OC(CO)C(O)C(O)C(O)1))C2(CC3(C(O2)=CC=C4(C=3OC5(C(C(O)4)C6(C(OC5)=CC(OC)=C(OC)C=6)))));PUBCHEM:90657709*PUBCHEM:25202245;EC-3.2.1;dalcochinin-8'-O-beta-glucoside + H2O  ->  dalcochinin + D-glucopyranose;dalcochinin biosynthesis
VESTITONE;(3R)-vestitone;vestitone*(3R)-vestitone*(-)-vestitone;286.284;C16 H14 O5 ;C3(OC1(=C(C=CC(O)=C1)C(=O)C(C2(=C(C=C(OC)C=C2)O))3));REFMET:Vestitone*METABOLIGHTS:MTBLC16786*HMDB:HMDB31620*LIPID_MAPS:LMPK12050462*CHEMSPIDER:388441*PUBCHEM:439310*CHEBI:16786*LIGAND-CPD:C00786*CAS:66211-83-4;EC-1.3.1.45;(3R)-vestitone + NADP+  <-  2-hydroxyformononetin + NADPH + H+;(-)-medicarpin biosynthesis
