Compound;Model ID;Energy;nRot
PubChem-136249466;1;-12.1;8
PubChem-53967840;1;-12;10
PubChem-44597462;1;-11.7;0
PubChem-129211239;1;-11.5;9
PubChem-23789012;1;-11.1;9
PubChem-101158011;1;-11.1;7
PubChem-59384211;1;-11;8
PubChem-23902013;1;-11;7
PubChem-135860710;1;-11;11
PubChem-135507304;1;-10.9;5
PubChem-136268766;1;-10.9;15
PubChem-101095333;1;-10.8;6
PubChem-101502005;1;-10.7;11
PubChem-11684045;1;-10.7;12
PubChem-53344646;1;-10.7;6
PubChem-136268767;1;-10.7;15
PubChem-135860711;1;-10.7;11
PubChem-122130576;1;-10.6;7
PubChem-74383029;1;-10.6;10
PubChem-87226553;1;-10.5;6
PubChem-70139262;1;-10.5;14
PubChem-134380426;1;-10.4;7
PubChem-137551595;1;-10.4;13
PubChem-44597578;1;-10.4;0
PubChem-118701402;1;-10.4;7
PubChem-73358;1;-10.4;7
PubChem-90860641;1;-10.4;5
PubChem-122130185;1;-10.4;7
PubChem-5458396;1;-10.4;7
PubChem-45358140;1;-10.4;7
PubChem-174826;1;-10.4;7
PubChem-89276315;1;-10.3;12
PubChem-70695787;1;-10.3;0
PubChem-21026347;1;-10.3;11
PubChem-9917685;1;-10.2;11
PubChem-57218328;1;-10.2;19
PubChem-67683855;1;-10.2;12
PubChem-88728283;1;-10.2;20
PubChem-5327923;1;-10.2;8
PubChem-23958041;1;-10.1;12
PubChem-21626708;1;-10.1;7
PubChem-70006566;1;-10;12
PubChem-53801614;1;-10;10
PubChem-92282304;1;-10;7
PubChem-18173561;1;-10;12
PubChem-125041131;1;-9.9;8
PubChem-90352444;1;-9.9;15
PubChem-9808486;1;-9.9;9
PubChem-50994836;1;-9.9;8
PubChem-97044905;1;-9.9;2
PubChem-135134196;1;-9.9;12
PubChem-11764809;1;-9.8;7
PubChem-23344706;1;-9.8;10
PubChem-44601577;1;-9.8;8
PubChem-96544992;1;-9.8;15
PubChem-129175832;1;-9.8;6
PubChem-101881015;1;-9.8;9
PubChem-68180571;1;-9.8;13
PubChem-91111956;1;-9.8;9
PubChem-77108153;1;-9.8;9
PubChem-67683770;1;-9.8;14
PubChem-137167880;1;-9.8;5
PubChem-118692872;1;-9.8;12
PubChem-70025305;1;-9.8;7
PubChem-91506892;1;-9.8;11
PubChem-102091069;1;-9.7;8
PubChem-91418019;1;-9.7;15
PubChem-135170071;1;-9.7;10
PubChem-46226452;1;-9.7;9
PubChem-67683829;1;-9.7;13
PubChem-24871142;1;-9.7;7
PubChem-69988889;1;-9.7;10
PubChem-21026351;1;-9.7;14
PubChem-54507190;1;-9.7;5
PubChem-10409180;1;-9.7;11
PubChem-117916656;1;-9.7;3
PubChem-100918690;1;-9.7;8
PubChem-13263868;1;-9.7;6
PubChem-123216947;1;-9.6;13
PubChem-9819810;1;-9.6;5
PubChem-70025304;1;-9.6;7
PubChem-46226445;1;-9.6;11
PubChem-22749438;1;-9.6;4
PubChem-23928057;1;-9.6;10
PubChem-17935134;1;-9.6;13
PubChem-86584555;1;-9.6;9
PubChem-136709083;1;-9.6;17
PubChem-101803816;1;-9.6;9
PubChem-10940846;1;-9.6;15
PubChem-54582997;1;-9.6;10
PubChem-54767958;1;-9.5;11
PubChem-71676132;1;-9.5;6
PubChem-20225614;1;-9.5;11
PubChem-12045568;1;-9.5;11
PubChem-71473349;1;-9.5;0
PubChem-95789964;1;-9.5;10
PubChem-23724469;1;-9.5;8
PubChem-101930400;1;-9.5;13
PubChem-71251711;1;-9.5;5
PubChem-44414674;1;-9.5;18
PubChem-57503608;1;-9.5;6
PubChem-123197119;1;-9.4;6
PubChem-70474143;1;-9.4;9
PubChem-126746376;1;-9.4;6
PubChem-71487967;1;-9.4;8
PubChem-23902099;1;-9.4;13
PubChem-5120465;1;-9.4;8
PubChem-102026326;1;-9.4;4
PubChem-46173178;1;-9.4;10
PubChem-25099430;1;-9.4;5
PubChem-121544364;1;-9.4;7
PubChem-53380926;1;-9.4;5
PubChem-72737665;1;-9.4;8
PubChem-9987291;1;-9.4;11
PubChem-67702679;1;-9.4;4
PubChem-73389095;1;-9.4;21
PubChem-56671060;1;-9.4;8
PubChem-60108074;1;-9.4;11
PubChem-86566534;1;-9.4;14
PubChem-23872128;1;-9.4;8
PubChem-59659504;1;-9.4;16
PubChem-87789031;1;-9.4;9
PubChem-44463966;1;-9.4;7
PubChem-22895371;1;-9.4;4
PubChem-44291768;1;-9.4;11
PubChem-23019708;1;-9.4;17
PubChem-69172806;1;-9.4;8
PubChem-88261968;1;-9.4;24
PubChem-1311869;1;-9.4;8
PubChem-136508596;1;-9.4;5
PubChem-97437718;1;-9.4;8
PubChem-124904495;1;-9.3;7
PubChem-23369208;1;-9.3;1
PubChem-9832237;1;-9.3;9
PubChem-44123525;1;-9.3;11
PubChem-121487660;1;-9.3;9
PubChem-131752758;1;-9.3;9
PubChem-16667381;1;-9.3;9
PubChem-134319809;1;-9.3;5
PubChem-57029960;1;-9.3;10
PubChem-90959195;1;-9.3;10
PubChem-23369210;1;-9.3;1
PubChem-131707634;1;-9.3;11
PubChem-6715134;1;-9.3;14
PubChem-124899903;1;-9.3;6
PubChem-89729581;1;-9.3;0
PubChem-132148922;1;-9.3;15
PubChem-68609942;1;-9.3;10
PubChem-68128659;1;-9.3;6
PubChem-10142809;1;-9.3;11
