Compound,Model ID,Energy,nRot
CHEMBL2036048,1,-18.8,0
CHEMBL4062050,1,-18.7,0
CHEMBL2304376,1,-18.7,0
CHEMBL1999101,1,-18.5,10
CHEMBL1097992,1,-18.3,0
CHEMBL438887,1,-18.1,0
CHEMBL1984811,1,-18.0,2
CHEMBL403073,1,-18.0,0
CHEMBL1989610,1,-17.9,11
CHEMBL3343908,1,-17.7,7
CHEMBL1980760,1,-17.7,6
CHEMBL299772,1,-17.5,5
CHEMBL450100,1,-17.4,10
CHEMBL1834901,1,-17.4,4
CHEMBL462855,1,-17.0,0
CHEMBL508539,1,-16.5,5
CHEMBL2269910,1,-16.5,6
CHEMBL2376782,1,-16.5,4
CHEMBL2373916,1,-16.4,1
CHEMBL3235957,1,-16.4,6
CHEMBL438157,1,-16.3,1
CHEMBL1643116,1,-16.2,8
CHEMBL502599,1,-16.0,1
CHEMBL452712,1,-15.9,9
CHEMBL448619,1,-15.9,7
CHEMBL446979,1,-15.8,3
CHEMBL1451483,1,-15.8,8
CHEMBL402609,1,-15.8,8
CHEMBL401863,1,-15.8,12
CHEMBL504846,1,-15.8,3
CHEMBL444217,1,-15.7,4
CHEMBL1993470,1,-15.7,3
CHEMBL3184081,1,-15.6,4
CHEMBL1581197,1,-15.6,4
CHEMBL455747,1,-15.6,5
CHEMBL3427600,1,-15.6,7
CHEMBL585187,1,-15.6,10
CHEMBL2289445,1,-15.5,6
CHEMBL510267,1,-15.5,9
CHEMBL447737,1,-15.5,8
CHEMBL2419848,1,-15.4,3
CHEMBL505586,1,-15.4,5
CHEMBL458574,1,-15.4,0
CHEMBL1812483,1,-15.4,6
CHEMBL256077,1,-15.3,4
CHEMBL2206080,1,-15.3,0
CHEMBL213497,1,-15.3,8
CHEMBL399090,1,-15.3,12
CHEMBL292719,1,-15.2,0
CHEMBL439496,1,-15.2,5
CHEMBL506204,1,-15.2,0
CHEMBL2418095,1,-15.1,0
CHEMBL3329792,1,-15.1,11
CHEMBL2419861,1,-15.1,5
CHEMBL458383,1,-15.1,0
CHEMBL3138723,1,-15.1,5
CHEMBL258392,1,-15.1,6
CHEMBL520561,1,-15.1,2
CHEMBL445265,1,-15.1,2
CHEMBL458575,1,-15.1,0
CHEMBL506509,1,-15.0,2
CHEMBL454705,1,-15.0,2
CHEMBL1923791,1,-15.0,4
CHEMBL1214279,1,-15.0,7
CHEMBL253536,1,-15.0,5
CHEMBL434864,1,-14.9,8
CHEMBL1169681,1,-14.9,4
CHEMBL393052,1,-14.9,6
CHEMBL2063150,1,-14.9,2
CHEMBL504212,1,-14.8,3
CHEMBL1974994,1,-14.8,5
CHEMBL1095958,1,-14.8,3
CHEMBL2023572,1,-14.8,6
CHEMBL501316,1,-14.7,7
CHEMBL1169677,1,-14.7,7
CHEMBL1170697,1,-14.7,0
CHEMBL3212063,1,-14.7,5
CHEMBL3085500,1,-14.7,7
CHEMBL1773988,1,-14.7,8
CHEMBL3104977,1,-14.6,4
CHEMBL501610,1,-14.6,7
CHEMBL1993425,1,-14.6,2
CHEMBL436613,1,-14.6,4
CHEMBL3427589,1,-14.6,11
CHEMBL2253314,1,-14.6,3
CHEMBL1989895,1,-14.6,6
CHEMBL3392066,1,-14.6,10
CHEMBL3799788,1,-14.6,2
CHEMBL227427,1,-14.6,14
CHEMBL3593734,1,-14.6,8
CHEMBL2063149,1,-14.6,2
CHEMBL30532,1,-14.6,8
CHEMBL3391808,1,-14.6,14
CHEMBL3594352,1,-14.6,8
CHEMBL1610591,1,-14.6,3
CHEMBL283616,1,-14.5,5
CHEMBL563601,1,-14.5,0
CHEMBL1834543,1,-14.5,6
CHEMBL269127,1,-14.5,7
CHEMBL4082175,1,-14.5,8
CHEMBL500453,1,-14.5,9
CHEMBL3329791,1,-14.5,11
CHEMBL1214283,1,-14.4,9
CHEMBL3357159,1,-14.4,10
CHEMBL1996816,1,-14.4,6
CHEMBL509561,1,-14.4,5
CHEMBL3706744,1,-14.4,16
CHEMBL486588,1,-14.4,6
CHEMBL1096300,1,-14.4,9
CHEMBL1993075,1,-14.4,2
CHEMBL436046,1,-14.4,10
CHEMBL3593736,1,-14.4,8
CHEMBL3810398,1,-14.3,7
CHEMBL504933,1,-14.3,6
CHEMBL1975857,1,-14.3,16
CHEMBL1939396,1,-14.3,9
CHEMBL3970203,1,-14.3,4
CHEMBL3215381,1,-14.3,12
CHEMBL1835875,1,-14.3,10
CHEMBL3357160,1,-14.3,11
CHEMBL2374341,1,-14.3,10
CHEMBL486260,1,-14.3,5
CHEMBL3350491,1,-14.3,8
CHEMBL499011,1,-14.3,7
CHEMBL3593735,1,-14.3,8
CHEMBL2165734,1,-14.3,8
CHEMBL3215296,1,-14.2,11
CHEMBL1075999,1,-14.2,5
CHEMBL2419636,1,-14.2,7
CHEMBL1215354,1,-14.2,2
CHEMBL1255848,1,-14.2,10
CHEMBL1834542,1,-14.2,6
CHEMBL2071189,1,-14.2,5
CHEMBL1992918,1,-14.2,6
CHEMBL2419633,1,-14.2,8
CHEMBL152397,1,-14.2,5
CHEMBL422755,1,-14.2,5
CHEMBL1476506,1,-14.2,5
CHEMBL414114,1,-14.2,7
CHEMBL387737,1,-14.2,5
CHEMBL109809,1,-14.2,2
CHEMBL331510,1,-14.1,6
CHEMBL488312,1,-14.1,5
CHEMBL1394734,1,-14.1,2
CHEMBL503787,1,-14.1,8
CHEMBL234748,1,-14.1,9
CHEMBL447942,1,-14.1,5
CHEMBL1765380,1,-14.1,8
CHEMBL21108,1,-14.1,2
CHEMBL503905,1,-14.1,4
CHEMBL179303,1,-14.1,5
CHEMBL3634638,1,-14.1,8
CHEMBL446743,1,-14.1,5
CHEMBL1209884,1,-14.1,14
CHEMBL1322608,1,-14.1,2
CHEMBL3329800,1,-14.1,12
CHEMBL2104417,1,-14.1,6
CHEMBL403353,1,-14.1,2
CHEMBL3199584,1,-14.0,6
CHEMBL506679,1,-14.0,8
CHEMBL463951,1,-14.0,1
CHEMBL20938,1,-14.0,5
CHEMBL336994,1,-14.0,11
CHEMBL466300,1,-14.0,4
CHEMBL437370,1,-14.0,5
CHEMBL367917,1,-14.0,7
CHEMBL1773987,1,-14.0,11
CHEMBL1871261,1,-14.0,2
CHEMBL518406,1,-14.0,2
CHEMBL1728549,1,-14.0,7
CHEMBL3288841,1,-14.0,5
CHEMBL2332392,1,-13.9,7
CHEMBL3542300,1,-13.9,2
CHEMBL1914942,1,-13.9,5
CHEMBL2079753,1,-13.9,8
CHEMBL2376777,1,-13.9,9
CHEMBL447610,1,-13.9,7
CHEMBL3215383,1,-13.9,12
CHEMBL1096582,1,-13.9,15
CHEMBL3246663,1,-13.9,8
