Compound,Model ID,Energy,nRot
CHEMBL2419861,1,-14.0,5
CHEMBL13895,1,-13.7,5
CHEMBL30532,1,-13.5,8
CHEMBL2273037,1,-13.4,5
CHEMBL333821,1,-13.2,10
CHEMBL47610,1,-13.1,13
CHEMBL315929,1,-13.0,10
CHEMBL1993470,1,-13.0,3
CHEMBL322669,1,-12.9,13
CHEMBL3085500,1,-12.9,7
CHEMBL2419848,1,-12.8,3
CHEMBL1627210,1,-12.8,12
CHEMBL3422273,1,-12.7,2
CHEMBL2429887,1,-12.6,12
CHEMBL52702,1,-12.6,10
CHEMBL1993075,1,-12.6,2
CHEMBL1914942,1,-12.6,5
CHEMBL1923791,1,-12.6,4
CHEMBL298189,1,-12.6,10
CHEMBL282089,1,-12.6,8
CHEMBL419923,1,-12.6,12
CHEMBL1883743,1,-12.6,6
CHEMBL3735346,1,-12.5,6
CHEMBL32579,1,-12.5,6
CHEMBL1985772,1,-12.5,6
CHEMBL3338867,1,-12.5,3
CHEMBL500459,1,-12.5,13
CHEMBL2114200,1,-12.4,13
CHEMBL1765380,1,-12.4,8
CHEMBL207172,1,-12.4,12
CHEMBL3125431,1,-12.4,7
CHEMBL2431740,1,-12.4,12
CHEMBL2114201,1,-12.4,13
CHEMBL305307,1,-12.4,7
CHEMBL2296961,1,-12.4,9
CHEMBL37313,1,-12.4,9
CHEMBL3810398,1,-12.4,7
CHEMBL486588,1,-12.4,6
CHEMBL3942053,1,-12.3,10
CHEMBL2374341,1,-12.3,10
CHEMBL575149,1,-12.3,11
CHEMBL299475,1,-12.3,9
CHEMBL505251,1,-12.3,6
CHEMBL325824,1,-12.3,9
CHEMBL2374662,1,-12.3,5
CHEMBL3982321,1,-12.3,10
CHEMBL309402,1,-12.3,14
CHEMBL3799788,1,-12.3,2
CHEMBL461661,1,-12.3,7
CHEMBL383459,1,-12.3,12
CHEMBL522983,1,-12.2,3
CHEMBL2397734,1,-12.2,4
CHEMBL133517,1,-12.2,14
CHEMBL3917402,1,-12.2,10
CHEMBL2112840,1,-12.2,5
CHEMBL3759185,1,-12.2,3
CHEMBL44489,1,-12.2,15
CHEMBL451413,1,-12.2,10
CHEMBL2431473,1,-12.2,4
CHEMBL139804,1,-12.2,12
CHEMBL3593734,1,-12.2,8
CHEMBL1974843,1,-12.1,8
CHEMBL46061,1,-12.1,14
CHEMBL291732,1,-12.1,8
CHEMBL289762,1,-12.1,9
CHEMBL1599224,1,-12.1,3
CHEMBL298120,1,-12.1,13
CHEMBL291088,1,-12.1,7
CHEMBL352134,1,-12.1,7
CHEMBL284942,1,-12.1,13
CHEMBL1169681,1,-12.1,4
CHEMBL462855,1,-12.1,0
CHEMBL1668281,1,-12.1,10
CHEMBL37118,1,-12.1,8
CHEMBL1394490,1,-12.1,6
CHEMBL325891,1,-12.1,13
CHEMBL463170,1,-12.0,6
CHEMBL3638293,1,-12.0,6
CHEMBL1835969,1,-12.0,6
CHEMBL84174,1,-12.0,7
CHEMBL456867,1,-12.0,4
CHEMBL1938472,1,-12.0,6
