Compound,Model ID,Energy,nRot
CHEMBL463242,1,-12.0,7
CHEMBL3422764,1,-11.9,7
CHEMBL462034,1,-11.6,9
CHEMBL3932059,1,-11.4,6
CHEMBL47610,1,-11.3,13
CHEMBL3986225,1,-11.2,10
CHEMBL1643128,1,-11.2,6
CHEMBL3609126,1,-11.2,9
CHEMBL2431473,1,-11.1,4
CHEMBL383110,1,-11.1,11
CHEMBL1812483,1,-11.1,6
CHEMBL561291,1,-11.0,11
CHEMBL1993470,1,-11.0,3
CHEMBL3980013,1,-10.9,13
CHEMBL2431740,1,-10.9,12
CHEMBL425107,1,-10.8,10
CHEMBL3929924,1,-10.8,10
CHEMBL12945,1,-10.8,11
CHEMBL376851,1,-10.7,10
CHEMBL116677,1,-10.7,12
CHEMBL3939316,1,-10.7,15
CHEMBL590724,1,-10.6,15
CHEMBL516718,1,-10.6,6
CHEMBL73285,1,-10.6,10
CHEMBL3617767,1,-10.6,15
CHEMBL584194,1,-10.6,14
CHEMBL12813,1,-10.6,11
CHEMBL564544,1,-10.5,11
CHEMBL512170,1,-10.5,4
CHEMBL322859,1,-10.5,5
CHEMBL321770,1,-10.5,5
CHEMBL2111629,1,-10.5,16
CHEMBL1631641,1,-10.5,5
CHEMBL301382,1,-10.5,16
CHEMBL4093487,1,-10.4,18
CHEMBL467415,1,-10.4,12
CHEMBL55833,1,-10.4,12
CHEMBL1935699,1,-10.4,11
CHEMBL398942,1,-10.4,19
CHEMBL2114201,1,-10.4,13
CHEMBL610350,1,-10.4,9
CHEMBL4096508,1,-10.3,16
CHEMBL3598234,1,-10.3,13
CHEMBL2442453,1,-10.3,13
CHEMBL417613,1,-10.3,11
CHEMBL1243035,1,-10.3,12
CHEMBL416286,1,-10.3,12
CHEMBL2012388,1,-10.3,0
CHEMBL2048826,1,-10.3,14
CHEMBL2012385,1,-10.3,0
CHEMBL561211,1,-10.3,12
CHEMBL1644892,1,-10.3,15
CHEMBL1927964,1,-10.3,13
CHEMBL2012387,1,-10.3,0
CHEMBL104952,1,-10.2,3
CHEMBL571851,1,-10.2,12
CHEMBL2022407,1,-10.2,3
CHEMBL3334720,1,-10.2,1
CHEMBL383262,1,-10.2,5
CHEMBL1867979,1,-10.2,5
CHEMBL47465,1,-10.2,13
CHEMBL1779458,1,-10.2,9
CHEMBL2022410,1,-10.2,3
CHEMBL3968275,1,-10.2,0
CHEMBL305667,1,-10.2,8
CHEMBL324690,1,-10.1,11
CHEMBL551832,1,-10.1,11
CHEMBL3986723,1,-10.1,11
CHEMBL258876,1,-10.1,14
CHEMBL171865,1,-10.1,14
CHEMBL367127,1,-10.1,8
CHEMBL2311205,1,-10.1,14
CHEMBL8553,1,-10.1,8
CHEMBL2431749,1,-10.1,18
CHEMBL46061,1,-10.1,14
CHEMBL416797,1,-10.0,10
CHEMBL1088522,1,-10.0,12
CHEMBL139804,1,-10.0,12
CHEMBL297673,1,-10.0,15
CHEMBL55428,1,-10.0,11
CHEMBL595076,1,-10.0,12
CHEMBL466705,1,-10.0,11
CHEMBL609638,1,-10.0,8
CHEMBL561693,1,-10.0,11
CHEMBL44489,1,-10.0,15
CHEMBL244214,1,-9.9,9
CHEMBL3397797,1,-9.9,6
CHEMBL456514,1,-9.9,13
CHEMBL15352,1,-9.9,8
CHEMBL3901253,1,-9.9,12
CHEMBL494133,1,-9.9,9
CHEMBL497716,1,-9.9,13
CHEMBL451278,1,-9.9,13
CHEMBL1183046,1,-9.9,12
CHEMBL188731,1,-9.9,6
CHEMBL446770,1,-9.9,14
CHEMBL298967,1,-9.9,14
CHEMBL88533,1,-9.9,8
CHEMBL2206080,1,-9.9,0
CHEMBL1669712,1,-9.9,8
CHEMBL2112540,1,-9.9,11
CHEMBL572481,1,-9.9,8
CHEMBL2374662,1,-9.8,5
CHEMBL1877814,1,-9.8,8
CHEMBL1933209,1,-9.8,11
CHEMBL46067,1,-9.8,15
CHEMBL1956943,1,-9.8,5
CHEMBL287080,1,-9.8,14
CHEMBL2111631,1,-9.8,16
CHEMBL243152,1,-9.8,9
CHEMBL2092982,1,-9.8,12
CHEMBL491176,1,-9.8,0
CHEMBL1995989,1,-9.8,12
CHEMBL295549,1,-9.8,15
CHEMBL1779146,1,-9.8,7
CHEMBL2431742,1,-9.8,13
CHEMBL1933211,1,-9.8,11
CHEMBL2096758,1,-9.8,13
CHEMBL594703,1,-9.8,14
CHEMBL153514,1,-9.8,14
CHEMBL113010,1,-9.7,11
CHEMBL1094660,1,-9.7,18
CHEMBL3673092,1,-9.7,8
CHEMBL423766,1,-9.7,7
CHEMBL454819,1,-9.7,25
CHEMBL373789,1,-9.7,18
CHEMBL346655,1,-9.7,12
CHEMBL566961,1,-9.7,7
CHEMBL487593,1,-9.7,8
CHEMBL186823,1,-9.7,7
CHEMBL500459,1,-9.7,13
CHEMBL503569,1,-9.7,11
CHEMBL207397,1,-9.7,6
CHEMBL2112840,1,-9.7,5
CHEMBL1940582,1,-9.7,13
CHEMBL605627,1,-9.7,9
CHEMBL1760821,1,-9.7,7
CHEMBL1940969,1,-9.7,14
CHEMBL2036489,1,-9.7,13
CHEMBL440203,1,-9.7,8
CHEMBL152397,1,-9.7,5
CHEMBL1162344,1,-9.7,11
CHEMBL575787,1,-9.7,7
CHEMBL1088198,1,-9.7,6
CHEMBL1199189,1,-9.7,6
CHEMBL3906746,1,-9.7,11
CHEMBL1198604,1,-9.7,8
CHEMBL419923,1,-9.7,12
CHEMBL610712,1,-9.7,8
CHEMBL1969124,1,-9.7,2
CHEMBL3681728,1,-9.7,6
CHEMBL2112427,1,-9.7,16
CHEMBL58606,1,-9.7,10
CHEMBL1098181,1,-9.6,9
CHEMBL72396,1,-9.6,16
CHEMBL1165331,1,-9.6,3
CHEMBL2095128,1,-9.6,6
CHEMBL3472455,1,-9.6,2
CHEMBL347718,1,-9.6,12
CHEMBL551892,1,-9.6,11
CHEMBL1224645,1,-9.6,1
CHEMBL352589,1,-9.6,8
CHEMBL3944301,1,-9.6,11
CHEMBL293808,1,-9.6,11
CHEMBL477535,1,-9.6,10
CHEMBL326543,1,-9.6,12
CHEMBL3039237,1,-9.6,7
CHEMBL390267,1,-9.6,9
CHEMBL192670,1,-9.6,12
CHEMBL359156,1,-9.6,12
CHEMBL1935603,1,-9.6,11
CHEMBL25194,1,-9.6,11
CHEMBL183689,1,-9.6,7
CHEMBL3639756,1,-9.6,5
CHEMBL244854,1,-9.6,9
CHEMBL1198707,1,-9.6,8
CHEMBL1183076,1,-9.6,10
CHEMBL1193585,1,-9.6,14
CHEMBL373926,1,-9.6,8
CHEMBL1161427,1,-9.6,15
CHEMBL1214875,1,-9.6,15
CHEMBL3359817,1,-9.6,12
CHEMBL1163060,1,-9.6,8
CHEMBL494082,1,-9.6,11
CHEMBL421866,1,-9.6,9
CHEMBL88275,1,-9.5,15
CHEMBL2431743,1,-9.5,15
CHEMBL2112426,1,-9.5,15
CHEMBL3916426,1,-9.5,11
CHEMBL1760323,1,-9.5,11
CHEMBL3246663,1,-9.5,8
CHEMBL3110201,1,-9.5,8
CHEMBL561348,1,-9.5,11
CHEMBL1897670,1,-9.5,10
CHEMBL49305,1,-9.5,17
CHEMBL1760447,1,-9.5,10
CHEMBL228057,1,-9.5,9
CHEMBL3215296,1,-9.5,11
CHEMBL3600793,1,-9.5,11
CHEMBL1652242,1,-9.5,8
CHEMBL3350491,1,-9.5,8
CHEMBL2107435,1,-9.5,14
CHEMBL37383,1,-9.5,12
CHEMBL539226,1,-9.5,11
CHEMBL333821,1,-9.5,10
CHEMBL2336268,1,-9.5,20
CHEMBL610665,1,-9.5,6
CHEMBL3193652,1,-9.5,6
CHEMBL1951919,1,-9.5,18
CHEMBL507183,1,-9.5,8
CHEMBL1161544,1,-9.5,9
CHEMBL115,1,-9.5,12
CHEMBL1214874,1,-9.5,11
CHEMBL509358,1,-9.4,25
CHEMBL2021340,1,-9.4,6
CHEMBL3590518,1,-9.4,12
CHEMBL335544,1,-9.4,12
CHEMBL313367,1,-9.4,10
CHEMBL4077450,1,-9.4,12
CHEMBL2114200,1,-9.4,13
CHEMBL1199219,1,-9.4,8
CHEMBL518933,1,-9.4,8
CHEMBL1998969,1,-9.4,3
CHEMBL1813013,1,-9.4,8
CHEMBL1208272,1,-9.4,8
CHEMBL151824,1,-9.4,12
CHEMBL1778283,1,-9.4,5
CHEMBL1813014,1,-9.4,8
CHEMBL1643393,1,-9.4,14
CHEMBL1813176,1,-9.4,8
CHEMBL2346811,1,-9.4,14
CHEMBL375953,1,-9.4,9
CHEMBL1760322,1,-9.4,10
CHEMBL1199255,1,-9.4,8
CHEMBL2303992,1,-9.4,8
CHEMBL476076,1,-9.4,3
CHEMBL1094664,1,-9.4,18
CHEMBL402159,1,-9.4,9
CHEMBL200510,1,-9.4,9
CHEMBL358223,1,-9.4,15
CHEMBL1198615,1,-9.4,6
CHEMBL398270,1,-9.4,7
CHEMBL1082561,1,-9.4,12
CHEMBL2021381,1,-9.4,6
CHEMBL562153,1,-9.4,11
CHEMBL1974994,1,-9.4,5
CHEMBL2431741,1,-9.4,12
CHEMBL20165,1,-9.4,5
CHEMBL462996,1,-9.3,10
CHEMBL1258706,1,-9.3,7
CHEMBL1165069,1,-9.3,5
CHEMBL1096740,1,-9.3,1
CHEMBL1760823,1,-9.3,8
CHEMBL1806663,1,-9.3,11
CHEMBL2000108,1,-9.3,10
CHEMBL1770548,1,-9.3,16
CHEMBL1086949,1,-9.3,12
CHEMBL3739919,1,-9.3,10
CHEMBL1210513,1,-9.3,6
CHEMBL2012837,1,-9.3,11
CHEMBL2036490,1,-9.3,13
CHEMBL3901962,1,-9.3,9
CHEMBL2035859,1,-9.3,19
CHEMBL3679960,1,-9.3,15
CHEMBL511111,1,-9.3,16
CHEMBL390123,1,-9.3,9
CHEMBL499151,1,-9.3,12
CHEMBL107012,1,-9.3,10
CHEMBL465043,1,-9.3,7
CHEMBL227742,1,-9.3,9
CHEMBL1198685,1,-9.3,8
CHEMBL140062,1,-9.3,17
CHEMBL227711,1,-9.3,9
CHEMBL2111810,1,-9.3,18
CHEMBL2151705,1,-9.3,25
CHEMBL3913678,1,-9.3,9
CHEMBL608972,1,-9.3,18
CHEMBL453397,1,-9.3,17
CHEMBL299475,1,-9.3,9
CHEMBL593125,1,-9.3,9
CHEMBL388916,1,-9.3,9
CHEMBL3633634,1,-9.3,9
CHEMBL3114337,1,-9.3,5
CHEMBL3114338,1,-9.3,5
CHEMBL1076763,1,-9.3,14
CHEMBL611308,1,-9.3,7
CHEMBL3968123,1,-9.3,8
CHEMBL470250,1,-9.3,5
CHEMBL278256,1,-9.3,10
CHEMBL446760,1,-9.3,9
CHEMBL1394423,1,-9.3,6
CHEMBL482383,1,-9.3,6
CHEMBL4099514,1,-9.3,12
CHEMBL510341,1,-9.3,15
CHEMBL12864,1,-9.3,17
CHEMBL84514,1,-9.3,15
CHEMBL3110216,1,-9.3,9
CHEMBL2111636,1,-9.3,15
CHEMBL33541,1,-9.3,6
CHEMBL35715,1,-9.3,14
CHEMBL1940963,1,-9.3,15
CHEMBL509018,1,-9.2,5
CHEMBL1366071,1,-9.2,6
CHEMBL425481,1,-9.2,9
CHEMBL1951758,1,-9.2,12
CHEMBL358139,1,-9.2,13
CHEMBL575891,1,-9.2,8
CHEMBL103170,1,-9.2,3
CHEMBL2058994,1,-9.2,11
CHEMBL3221347,1,-9.2,6
CHEMBL1683754,1,-9.2,12
CHEMBL1159618,1,-9.2,7
CHEMBL98885,1,-9.2,12
CHEMBL4084401,1,-9.2,12
CHEMBL3326713,1,-9.2,6
CHEMBL315519,1,-9.2,14
CHEMBL465921,1,-9.2,6
CHEMBL431955,1,-9.2,9
CHEMBL2349430,1,-9.2,7
CHEMBL322669,1,-9.2,13
CHEMBL1092944,1,-9.2,5
CHEMBL325885,1,-9.2,12
CHEMBL4091087,1,-9.2,16
CHEMBL218550,1,-9.2,4
CHEMBL325891,1,-9.2,13
CHEMBL325551,1,-9.2,12
CHEMBL463511,1,-9.2,10
CHEMBL3472363,1,-9.2,5
CHEMBL343727,1,-9.2,17
CHEMBL2114229,1,-9.2,16
CHEMBL2111627,1,-9.2,16
CHEMBL310012,1,-9.2,6
CHEMBL170625,1,-9.2,8
CHEMBL439009,1,-9.2,9
CHEMBL504292,1,-9.2,12
CHEMBL500534,1,-9.2,15
CHEMBL341500,1,-9.2,13
CHEMBL392203,1,-9.2,12
CHEMBL336061,1,-9.2,10
CHEMBL13895,1,-9.2,5
CHEMBL604700,1,-9.2,9
CHEMBL96697,1,-9.2,12
CHEMBL463352,1,-9.2,7
CHEMBL2331736,1,-9.2,12
CHEMBL1933124,1,-9.2,25
CHEMBL324469,1,-9.2,4
CHEMBL1365711,1,-9.2,6
CHEMBL3943365,1,-9.2,6
CHEMBL3542320,1,-9.2,12
CHEMBL316454,1,-9.2,12
CHEMBL473673,1,-9.2,7
CHEMBL2431744,1,-9.2,19
CHEMBL13238,1,-9.2,11
CHEMBL377385,1,-9.2,18
CHEMBL1997853,1,-9.2,3
CHEMBL1402028,1,-9.2,11
CHEMBL422242,1,-9.2,16
CHEMBL1877147,1,-9.2,5
CHEMBL2139815,1,-9.2,5
CHEMBL3980175,1,-9.2,8
CHEMBL4081495,1,-9.2,10
CHEMBL3597474,1,-9.2,9
CHEMBL3921396,1,-9.2,11
CHEMBL4081096,1,-9.2,6
CHEMBL1743884,1,-9.1,9
CHEMBL12719,1,-9.1,10
CHEMBL314852,1,-9.1,6
CHEMBL1965590,1,-9.1,14
CHEMBL1075849,1,-9.1,14
CHEMBL1791438,1,-9.1,11
CHEMBL2112450,1,-9.1,15
CHEMBL151484,1,-9.1,12
CHEMBL1790510,1,-9.1,19
CHEMBL2115206,1,-9.1,13
CHEMBL464879,1,-9.1,9
CHEMBL3609151,1,-9.1,4
CHEMBL67076,1,-9.1,4
CHEMBL4102367,1,-9.1,13
CHEMBL3814498,1,-9.1,7
CHEMBL449017,1,-9.1,18
CHEMBL277002,1,-9.1,11
CHEMBL430469,1,-9.1,12
CHEMBL256568,1,-9.1,6
CHEMBL376315,1,-9.1,10
CHEMBL3350400,1,-9.1,11
CHEMBL2335271,1,-9.1,15
CHEMBL1667883,1,-9.1,8
CHEMBL496072,1,-9.1,7
CHEMBL3144026,1,-9.1,11
CHEMBL1824569,1,-9.1,9
CHEMBL378907,1,-9.1,7
CHEMBL2336272,1,-9.1,21
CHEMBL451447,1,-9.1,23
CHEMBL552089,1,-9.1,11
CHEMBL513529,1,-9.1,10
CHEMBL355810,1,-9.1,18
CHEMBL1159625,1,-9.1,9
CHEMBL1162037,1,-9.1,6
CHEMBL228449,1,-9.1,11
CHEMBL595467,1,-9.1,9
CHEMBL1159485,1,-9.1,11
CHEMBL3329792,1,-9.1,11
CHEMBL432199,1,-9.1,18
CHEMBL265781,1,-9.1,22
CHEMBL1774721,1,-9.1,11
CHEMBL68350,1,-9.1,25
CHEMBL1222356,1,-9.1,12
CHEMBL128951,1,-9.1,4
CHEMBL162504,1,-9.1,25
CHEMBL345841,1,-9.1,25
CHEMBL3221614,1,-9.1,20
CHEMBL1257674,1,-9.1,7
CHEMBL274782,1,-9.1,10
CHEMBL192651,1,-9.1,13
CHEMBL304686,1,-9.1,4
CHEMBL1956773,1,-9.1,11
CHEMBL452015,1,-9.1,25
CHEMBL521317,1,-9.1,9
CHEMBL2263603,1,-9.1,4
CHEMBL2111635,1,-9.1,15
CHEMBL1520917,1,-9.1,6
CHEMBL12949,1,-9.1,10
CHEMBL449859,1,-9.1,25
CHEMBL463170,1,-9.1,6
CHEMBL324412,1,-9.1,10
CHEMBL2070375,1,-9.1,10
CHEMBL220160,1,-9.1,6
CHEMBL173499,1,-9.1,13
CHEMBL3394954,1,-9.1,25
CHEMBL1940966,1,-9.1,15
CHEMBL4061024,1,-9.1,11
CHEMBL465420,1,-9.1,9
CHEMBL1989610,1,-9.1,11
CHEMBL1784886,1,-9.1,13
CHEMBL3120847,1,-9.1,10
CHEMBL3815077,1,-9.1,7
CHEMBL2068904,1,-9.1,8
CHEMBL1198714,1,-9.1,7
CHEMBL1081765,1,-9.1,13
CHEMBL2018853,1,-9.1,11
CHEMBL3577611,1,-9.1,8
CHEMBL1474771,1,-9.1,7
CHEMBL3596226,1,-9.1,8
CHEMBL2370267,1,-9.0,22
CHEMBL1916005,1,-9.0,13
CHEMBL1385693,1,-9.0,9
CHEMBL242716,1,-9.0,9
CHEMBL551174,1,-9.0,9
CHEMBL1735454,1,-9.0,4
CHEMBL94411,1,-9.0,11
CHEMBL142990,1,-9.0,18
CHEMBL1940684,1,-9.0,12
CHEMBL1162035,1,-9.0,6
CHEMBL451855,1,-9.0,11
CHEMBL1951755,1,-9.0,14
CHEMBL1990895,1,-9.0,6
CHEMBL1160267,1,-9.0,15
