Compound,Model ID,Energy,nRot
CPD-9475,1,-13.8,5
CPD-9477,1,-12.8,5
CPD-14977,1,-12.7,9
CPD-16535,1,-12.7,6
CPD-17478,1,-12.6,0
CPD-9472,1,-12.5,5
CPD-14839,1,-12.4,8
CPD-14990,1,-12.4,9
CPD-14989,1,-12.4,8
CPD-20010,1,-12.4,0
CPD-14976,1,-12.3,8
CPD-14993,1,-12.3,9
CPD-15000,1,-12.3,13
CPD-16558,1,-12.3,9
CPD-8013,1,-12.3,3
CPD-14988,1,-12.2,8
CPD1F-431,1,-12.2,9
CPD-14991,1,-12.2,8
CPD-14978,1,-12.2,8
CPDQT-26,1,-12.1,5
CPD-14503,1,-12.1,7
CPD-10536,1,-12.1,4
CPD-16529,1,-12.1,14
CPD-14999,1,-12.1,9
CPD-7870,1,-12.1,11
CPD-7148,1,-12.1,9
CPD-16541,1,-12.1,8
RUTIN,1,-12.1,6
CPD-16535,1,-12.0,6
DEAMIDO-NAD,1,-12.0,11
CPD-10539,1,-12.0,6
CPD-16602,1,-12.0,10
CPD-10348,1,-12.0,8
FAD,1,-12.0,13
CPD-14979,1,-11.9,9
CPD-9203,1,-11.9,12
CPD-7074,1,-11.9,7
CPD-8065,1,-11.9,14
CPD-8012,1,-11.8,6
CPD-7842,1,-11.8,7
CPD-8069,1,-11.8,14
CPD-7708,1,-11.8,15
APIGENIN-7-O-NEOHESPERIDOSIDE,1,-11.8,6
CPD-14841,1,-11.8,11
CPD-8657,1,-11.8,7
CPD-7144,1,-11.7,6
CPD-5521,1,-11.7,6
NAD,1,-11.7,11
CPD-14992,1,-11.7,8
INDOL-YLACETYL-MYO-INOSITOL-ARABINOSIDE,1,-11.7,6
CPD-8657,1,-11.6,7
LUTEOLIN-7-O-BETA-D-GLUCURONIDE,1,-11.6,4
CPD-15447,1,-11.6,4
NADH,1,-11.6,11
CPD1F-462,1,-11.6,5
CPD-18157,1,-11.6,0
CPD-18156,1,-11.6,5
DEAMIDO-NAD,1,-11.5,11
CPD-14980,1,-11.5,9
NAD,1,-11.5,11
CPD-16531,1,-11.5,4
CPD-7960,1,-11.5,11
CPD-8255,1,-11.5,9
CPD-14839,1,-11.5,8
CPD-16530,1,-11.5,4
CPD1F-766,1,-11.5,4
CPD-15083,1,-11.5,3
5-O-INDOL-3-YLACETYL-MYO-ETCETERA,1,-11.5,7
CPD-16561,1,-11.4,18
CPD-8011,1,-11.4,6
GDP-MANNOSE,1,-11.4,9
CPD-7842,1,-11.4,7
CPD-14998,1,-11.4,4
CPD-15287,1,-11.4,9
NADP,1,-11.4,13
CPD-14961,1,-11.4,5
CPD-14504,1,-11.4,10
CPD-14821,1,-11.4,10
NAD,1,-11.4,11
CPD-15288,1,-11.3,9
CPD-16537,1,-11.3,13
CPD-8675,1,-11.3,14
CPD1F-437,1,-11.3,4
CPD-7844,1,-11.3,7
VITEXIN-2-O-BETA-D-GLUCOSIDE,1,-11.3,6
CPD-15023,1,-11.3,9
CPD1F-420,1,-11.3,6
CPD-8013,1,-11.2,3
GDP-4-DEHYDRO-6-DEOXY-D-MANNOSE,1,-11.2,8
NAD,1,-11.2,11
CPD-8258,1,-11.2,9
CPD-15021,1,-11.2,9
CPD-10349,1,-11.2,5
CPD-16542,1,-11.2,8
CPD-7384,1,-11.2,8
CPD-8006,1,-11.2,4
CPD-7140,1,-11.2,11
CPD-7117,1,-11.2,4
CPD-13118,1,-11.2,8
NARINGENIN-7-O-BETA-D-GLUCOSIDE,1,-11.2,4
CPD-8634,1,-11.1,4
CPD-14843,1,-11.1,4
CPD-1125,1,-11.1,7
CPD-15175,1,-11.1,5
DTDP-D-GLUCOSE,1,-11.1,9
CPD-14960,1,-11.1,10
CPD-9693,1,-11.1,9
CPD-14843,1,-11.1,4
CPD-9526,1,-11.1,5
DTDP-RHAMNOSE,1,-11.1,8
CPD-10318,1,-11.1,8
CPD-14908,1,-11.1,4
CPD-7260,1,-11.0,4
CPD-7714,1,-11.0,11
CPD-14911,1,-11.0,6
CPD-7075,1,-11.0,7
CPD-14969,1,-11.0,5
CPD-15084,1,-11.0,3
CPD-16762,1,-11.0,4
CPD-8006,1,-11.0,4
LUTEOLIN-7-O-NEOHESPERIDOSIDE,1,-11.0,6
CPD-7963,1,-11.0,14
CPD-7862,1,-11.0,8
ADP-D-GLUCOSE,1,-11.0,9
CPD-10516,1,-11.0,23
CPD-15284,1,-10.9,9
CPD-15176,1,-10.9,4
CPD-14998,1,-10.9,4
CPD-8062,1,-10.9,0
CPD-16604,1,-10.9,16
CPD1F-461,1,-10.9,3
CPD-7149,1,-10.9,8
CPD-18158,1,-10.9,6
CPD-8007,1,-10.9,4
CPD-15087,1,-10.9,3
CPD-3422,1,-10.9,8
CPD1F-766,1,-10.9,4
CPD-8635,1,-10.9,4
CPD-10501,1,-10.9,5
CPD-10542,1,-10.8,8
CPD-11685,1,-10.8,4
NADPH,1,-10.8,13
UDP-GLUCURONATE,1,-10.8,9
CPD-11540,1,-10.8,8
DTDP-DEOH-DEOXY-GLUCOSE,1,-10.8,8
CPD-9711,1,-10.8,4
CPD-7141,1,-10.7,15
CPD-8066,1,-10.7,17
CPD-6623,1,-10.7,13
CPD-16603,1,-10.7,13
CPD-9677,1,-10.7,7
CPD-12462,1,-10.7,11
CPD-7087,1,-10.7,1
CPD-12575,1,-10.7,9
VITEXIN,1,-10.7,3
CPD-9211,1,-10.7,8
CPD-12447,1,-10.7,7
CPD-14735,1,-10.6,7
CPD-15445,1,-10.6,10
CPD-10345,1,-10.6,5
CPD-4563,1,-10.6,5
CPD-15024,1,-10.6,9
GDP-L-GALACTOSE,1,-10.6,9
CPD-14822,1,-10.6,13
CPD-12463,1,-10.6,14
CPD-7862,1,-10.6,8
CPD-16528,1,-10.6,15
CPD-19470,1,-10.6,7
R-VICIANIN,1,-10.5,6
CPD-6625,1,-10.5,16
CPD-3421,1,-10.5,4
CPD-4564,1,-10.5,9
CPD-20015,1,-10.5,3
CPD-8049,1,-10.4,7
CPD-8254,1,-10.4,6
UDP-D-XYLOSE,1,-10.4,8
CPD-14507,1,-10.4,10
CPD-264,1,-10.4,21
CPD-4622,1,-10.4,9
CPD-17480,1,-10.4,5
CPD-14461,1,-10.4,0
CPD-14840,1,-10.4,11
PHOSPHORIBOSYL-ATP,1,-10.4,12
7-O-METHYLVITEXIN-2-O-B-L-RHAMNOSIDE,1,-10.3,6
CPD-14835,1,-10.3,16
CPD-7073,1,-10.3,5
UDP-SULFOQUINOVOSE,1,-10.3,10
UDP-APIOSE,1,-10.3,9
CO-A,1,-10.3,18
CPD-7612,1,-10.3,4
CPD-6624,1,-10.3,13
CPD-12464,1,-10.3,11
CPD-16683,1,-10.3,12
CPD-14737,1,-10.3,8
CPD-12462,1,-10.2,11
4-HYDROXY-3-INDOLYLMETHYL-GLUCOSINOLATE,1,-10.2,7
CPD-14507,1,-10.2,10
CPD-11590,1,-10.2,3
CPD-14434,1,-10.2,0
CPD-6972,1,-10.2,25
DAPHNIN,1,-10.2,3
CPD-8254,1,-10.2,6
CPD-18169,1,-10.2,9
CPD-13328,1,-10.2,23
CPD-10517,1,-10.1,24
UDP-D-XYLOSE,1,-10.1,8
CPD-14731,1,-10.1,9
CPD-12575,1,-10.1,9
N-METHYLANTHRANILOYL-COA,1,-10.1,22
CPD-9214,1,-10.1,7
CPD-8066,1,-10.1,17
CPDQT-523,1,-10.1,8
CINNAMOYL-COA,1,-10.1,22
CPD-14734,1,-10.1,6
CPD-16684,1,-10.1,15
CPD-8656,1,-10.0,4
CO-A,1,-10.0,18
CPD-513,1,-10.0,23
CPD-12184,1,-10.0,24
MALONYL-COA,1,-10.0,22
CPD-12112,1,-10.0,21
BENZOYLCOA,1,-10.0,21
GIBBERELLIN,1,-10.0,0
CPD-14431,1,-9.9,0
CPD-477,1,-9.9,2
PHOSPHORIBOSYL-AMP,1,-9.9,8
CPD-18170,1,-9.9,8
DEACETYLISOIPECOSIDE,1,-9.9,8
CPD-7390,1,-9.9,0
CPD-8664,1,-9.9,21
CPD-1083,1,-9.9,21
CPD-10504,1,-9.9,14
3-METHYL-CROTONYL-COA,1,-9.9,21
DEPHOSPHO-COA,1,-9.9,16
CPD-8654,1,-9.9,7
CPD-14850,1,-9.9,10
CPD-16550,1,-9.9,5
CMP-KDO,1,-9.8,9
CPD-1862,1,-9.8,5
CPD-12199,1,-9.8,23
BENZOYLCOA,1,-9.8,21
CPD-15079,1,-9.7,1
CPD-4202,1,-9.7,12
PHOSPHORIBOSYL-FORMIMINO-AICAR-P,1,-9.7,11
CPD-9587,1,-9.7,5
CPD-8665,1,-9.7,24
CPD-16537,1,-9.7,13
CPD-16418,1,-9.7,11
CROTONYL-COA,1,-9.7,21
CPD-503,1,-9.7,23
CPD-8757,1,-9.7,7
CPD-9207,1,-9.6,23
CPD-12038,1,-9.6,2
CPD-9440,1,-9.6,3
2-METHYL-BUTYRYL-COA,1,-9.6,22
CPD-474,1,-9.5,1
GLUTACONYL-COA,1,-9.5,23
CPD-14596,1,-9.5,7
METHACRYLYL-COA,1,-9.5,21
ACRYLYL-COA,1,-9.5,21
UDP-OHMYR-ACETYLGLUCOSAMINE,1,-9.5,24
CPD-8068,1,-9.5,10
ACETOACETYL-COA,1,-9.5,22
CPD1F-139,1,-9.5,1
2-PHOSPHO-4-CYTIDINE-5-DIPHOSPHO-2-C-MET,1,-9.5,13
2-PHOSPHO-4-CYTIDINE-5-DIPHOSPHO-2-C-MET,1,-9.5,13
6G-KESTOTETRAOSE,1,-9.5,9
CPD-14739,1,-9.5,7
1-KESTOTRIOSE,1,-9.4,9
CPD-14732,1,-9.4,9
PROPIONYL-COA,1,-9.4,21
4-CYTIDINE-5-DIPHOSPHO-2-C,1,-9.4,11
CPD-229,1,-9.4,2
METHYL-MALONYL-COA,1,-9.4,22
CPD-11525,1,-9.4,27
ACETYL-COA,1,-9.4,20
3-HYDROXY-3-METHYL-GLUTARYL-COA,1,-9.4,24
1-KESTOTRIOSE,1,-9.4,9
CPD-16559,1,-9.4,12
CPD-201,1,-9.4,21
LOGANIN,1,-9.3,5
CPD-15371,1,-9.3,18
CPD-8676,1,-9.3,15
CPD-204,1,-9.3,1
CPD-14429,1,-9.3,3
UDP-OHMYR-GLUCOSAMINE,1,-9.3,23
ISOVITEXIN-2-O-B-D-GLUCOSIDE,1,-9.3,6
CPD-15006,1,-9.3,5
CPD-8666,1,-9.3,27
CPD-10600,1,-9.3,23
CPD-12173,1,-9.2,22
CPD-10500,1,-9.2,2
CPD-18094,1,-9.2,9
CPD-14594,1,-9.2,6
CPD-18093,1,-9.2,9
MALTOTRIOSE,1,-9.2,7
CPD-17635,1,-9.2,23
CPD-8161,1,-9.2,WARNING:
4-HYDROXY-BUTYRYL-COA,1,-9.2,23
CPD-10267,1,-9.2,28
PHOSPHORIBULOSYL-FORMIMINO-AICAR-P,1,-9.2,14
CPD-8948,1,-9.2,4
CPD-14454,1,-9.2,0
SUC-COA,1,-9.2,23
CPD-63,1,-9.2,7
CPD-6994,1,-9.2,1
SINAPOYL-COA,1,-9.2,24
1-KESTOTRIOSE,1,-9.1,9
CPD-4613,1,-9.1,6
ISOVALERYL-COA,1,-9.1,22
CPD-5922,1,-9.1,23
CPD-6203,1,-9.1,1
CPD-16560,1,-9.1,15
FERULOYL-COA,1,-9.1,23
CPD-13713,1,-9.1,6
BENZYL-DESULFOGLUCOSINOLATE,1,-9.1,5
CPD-11557,1,-9.1,0
4-COUMAROYLQUINATE,1,-9.1,5
CPD-11881,1,-9.1,24
CPD-4204,1,-9.1,10
CPD-10519,1,-9.1,22
CPD-10358,1,-9.1,1
1-O-GALLOYL-BETA-D-GLUCOSE,1,-9.1,4
CPD-8048,1,-9.1,4
CPD-11525,1,-9.1,27
CPD-8084,1,-9.0,WARNING:
|Gentiobiose|,1,-9.0,4
CPD-8162,1,-9.0,WARNING:
CPD-11527,1,-9.0,27
2-METHYL-ACETO-ACETYL-COA,1,-9.0,22
CPD-14916,1,-9.0,26
BACCATIN-III,1,-8.9,7
CPD-10518,1,-8.9,24
3-HYDROXY-PROPIONYL-COA,1,-8.9,22
CPD0-2106,1,-8.9,26
CPD-196,1,-8.9,26
CPD-10269,1,-8.9,WARNING:
LOGANATE,1,-8.9,4
CPD-1777,1,-8.9,6
TRANS-3-METHYL-GLUTACONYL-COA,1,-8.9,23
P-COUMAROYL-COA,1,-8.9,22
CPD-11941,1,-8.9,1
CPD-14836,1,-8.9,19
CPD-8160,1,-8.8,WARNING:
CPD-1042,1,-8.8,4
CPD-8047,1,-8.8,4
CPD-9772,1,-8.8,24
GLUTARYL-COA,1,-8.8,24
CPD-650,1,-8.8,22
CPD-11522,1,-8.8,28
CPD-9771,1,-8.8,22
CPD-4616,1,-8.8,7
CPD-17371,1,-8.7,WARNING:
CPD-11529,1,-8.7,25
CPD-16539,1,-8.7,23
CPD-13354,1,-8.7,5
CPD-11526,1,-8.7,26
CPD-15717,1,-8.7,4
CPD-4208,1,-8.7,6
CPD-12733,1,-8.6,3
CPD-458,1,-8.6,3
CPD-14844,1,-8.6,0
CPD-82,1,-8.6,7
CPD-4618,1,-8.5,6
CPD-11523,1,-8.5,29
PHLORETIN,1,-8.5,4
CPD-15363,1,-8.5,WARNING:
CPD-9320,1,-8.4,6
CPD-458,1,-8.4,3
CPD-12102,1,-8.4,10
CPD-8047,1,-8.4,4
SUCROSE-6P,1,-8.4,7
10-DEACETYL-2-DEBENZOYLBACCATIN-III,1,-8.4,2
CPD-17370,1,-8.4,WARNING:
10-DEACETYLBACCATIN-III,1,-8.4,5
SUC-COA,1,-8.3,23
CPD-11528,1,-8.3,27
4-HYDROXY-BUTYRYL-COA,1,-8.3,23
VESTITONE,1,-8.3,2
CPD-4615,1,-8.3,7
CPD-8949,1,-8.3,9
VICIANOSE,1,-8.2,3
CPD-15370,1,-8.2,WARNING:
CPD-11521,1,-8.1,29
CPD-14824,1,-8.1,0
SUCROSE,1,-8.1,5
CPDQT-421,1,-8.1,8
CPD-9407,1,-7.9,23
SUCROSE,1,-7.9,5
CPD-17641,1,-7.9,WARNING:
CPD-9212,1,-7.9,6
CPD-1142,1,-7.9,4
CPD-12180,1,-7.9,25
CPDQT-419,1,-7.9,12
CPD-15361,1,-7.9,WARNING:
OLEOYL-COA,1,-7.9,WARNING:
CPD-15286,1,-7.8,6
CPD-14276,1,-7.8,WARNING:
CPD-11520,1,-7.8,31
CPD-15364,1,-7.7,WARNING:
CPD-8949,1,-7.7,9
CPD-11519,1,-7.7,31
CPD-14775,1,-7.6,WARNING:
CPD-17621,1,-7.6,WARNING:
CPD-11524,1,-7.6,29
3-HYDROXYPROPYL-GLUCOSINOLATE,1,-7.6,8
CPD-15365,1,-7.6,WARNING:
CPD-15368,1,-7.5,WARNING:
CPDQT-418,1,-7.5,11
CPD-14271,1,-7.5,WARNING:
CPD-7145,1,-7.5,0
CPD-14300,1,-7.4,WARNING:
CPDQT-417,1,-7.4,10
CPD-15366,1,-7.3,WARNING:
CPD-14275,1,-7.3,WARNING:
CPD-17638,1,-7.3,30
CPDQT-416,1,-7.3,8
CPD-9965,1,-7.3,WARNING:
CPD-14274,1,-7.3,WARNING:
3-METHYLTHIOPROPYL-DESULFO-GLUCOSINOLATE,1,-7.3,7
PALMITYL-COA,1,-7.2,WARNING:
STEAROYL-COA,1,-7.2,WARNING:
CPD-10283,1,-7.2,WARNING:
CPD-14506,1,-7.2,13
CPD-16538,1,-7.2,17
CPD-14847,1,-7.1,0
CPDQT-285,1,-7.0,9
CPD-7231,1,-7.0,10
CPD-14277,1,-6.9,WARNING:
CPD-8171,1,-6.9,WARNING:
|a-radical-of-luteolin-7-iOi-diglucuronid|,1,-6.9,0
CPD-16625,1,-6.8,7
CPD-9441,1,-6.8,0
CPD-15369,1,-6.7,WARNING:
D-SEDOHEPTULOSE-7-P,1,-6.4,8
CPD-14826,1,-6.4,WARNING:
CPD-14273,1,-6.3,WARNING:
CPD1G-277,1,-6.2,WARNING:
CPD-10280,1,-6.2,WARNING:
CPD-14962,1,-6.2,0
CPD-14848,1,-6.1,0
CPD-17633,1,-5.9,WARNING:
CPD-7965,1,-5.5,18
CPD-7059,1,-5.4,0
CPD-15382,1,-5.4,5
CPD-16623,1,-5.2,10
CPD-14825,1,-5.0,0
CPD-15576,1,-4.7,10
CPD-16623,1,-4.1,10
CPD-15012,1,-4.0,0
CPD-9249,1,-3.6,13
CPD-9250,1,-3.5,16
CPD-8067,1,-3.4,0
CPD-14820,1,-2.9,0
CPD-9558,1,-2.4,1
CPD-14847,1,-2.2,0
CPD-16599,1,-1.1,13
CPD-15106,1,-1.1,0
CPD-10678,1,-0.2,14
CPD-14849,1,-0.1,0
CPD-13255,1,0.0,9
CPD-14981,1,0.9,0
CPD-7843,1,3.8,0
CPD-16624,1,4.6,13
CPD-18100,1,8.6,0
CPD-16536,1,15.3,0
CPD-18097,1,18.7,0
CPD-18099,1,20.5,0
