Compound,Model ID,Energy,nRot
CPD-10349,1,-10.7,5
CPD-17480,1,-10.6,5
CPD-7144,1,-10.6,6
FAD,1,-10.5,13
CPD-14835,1,-10.4,16
NAD,1,-10.3,11
NADH,1,-10.3,11
CPD-14839,1,-10.3,8
CPD-4622,1,-10.2,9
UDP-GLUCURONATE,1,-10.2,9
CPD-11685,1,-10.2,4
CPD-16529,1,-10.2,14
VITEXIN,1,-10.1,3
CPD-9207,1,-10.0,23
CPD-14976,1,-10.0,8
CPD-6624,1,-10.0,13
CPD-7384,1,-10.0,8
DEAMIDO-NAD,1,-10.0,11
CPD-16541,1,-9.9,8
CPD-14979,1,-9.9,9
CPD-8665,1,-9.9,24
CPD-14977,1,-9.9,9
DEAMIDO-NAD,1,-9.8,11
CPD-13328,1,-9.8,23
CPD-10518,1,-9.8,24
CPD-10542,1,-9.8,8
NAD,1,-9.8,11
CPD-14461,1,-9.8,0
4-COUMAROYLQUINATE,1,-9.7,5
CPD-12447,1,-9.7,7
NAD,1,-9.7,11
CPD-11540,1,-9.7,8
CPD1F-766,1,-9.7,4
CPD-8635,1,-9.7,4
GDP-L-GALACTOSE,1,-9.6,9
CPD-14734,1,-9.6,6
CPD-14735,1,-9.6,7
CPD-6625,1,-9.6,16
CPD-16560,1,-9.6,15
CPD-15083,1,-9.6,3
CPD-6623,1,-9.6,13
FERULOYL-COA,1,-9.6,23
CPD-14990,1,-9.5,9
CPD-16528,1,-9.5,15
CPD-10517,1,-9.5,24
CPD-8006,1,-9.5,4
DTDP-RHAMNOSE,1,-9.5,8
UDP-D-XYLOSE,1,-9.5,8
CPD-9772,1,-9.5,24
GDP-4-DEHYDRO-6-DEOXY-D-MANNOSE,1,-9.5,8
BENZOYLCOA,1,-9.5,21
5-O-INDOL-3-YLACETYL-MYO-ETCETERA,1,-9.5,7
CPD-11527,1,-9.5,27
CPD-8666,1,-9.4,27
NAD,1,-9.4,11
SINAPOYL-COA,1,-9.4,24
CPD-20010,1,-9.4,0
CPD-477,1,-9.4,2
CPD-11590,1,-9.4,3
CPD-14992,1,-9.4,8
CPD-11881,1,-9.4,24
CPD-8654,1,-9.4,7
CPD-12575,1,-9.4,9
CPD-3422,1,-9.3,8
DTDP-D-GLUCOSE,1,-9.3,9
CPD-15287,1,-9.3,9
N-METHYLANTHRANILOYL-COA,1,-9.3,22
DTDP-DEOH-DEOXY-GLUCOSE,1,-9.3,8
CPD-14731,1,-9.3,9
CPD1F-139,1,-9.3,1
CPD-7714,1,-9.3,11
CPD-14821,1,-9.3,10
CPD-11941,1,-9.2,1
CPD-10516,1,-9.2,23
CPD-18094,1,-9.2,9
CPD-14836,1,-9.2,19
CPD-14434,1,-9.2,0
CPD-11522,1,-9.2,28
APIGENIN-7-O-NEOHESPERIDOSIDE,1,-9.2,6
PHOSPHORIBOSYL-ATP,1,-9.2,12
CPD1F-461,1,-9.2,3
CPD-5521,1,-9.1,6
CPD-6972,1,-9.1,25
CPD-8013,1,-9.1,3
MALONYL-COA,1,-9.1,22
CPD-14739,1,-9.1,7
CPD-8634,1,-9.1,4
CPD-10519,1,-9.1,22
CPD-11520,1,-9.1,31
CPD-15084,1,-9.1,3
CPD-11528,1,-9.1,27
CPD-8006,1,-9.1,4
CPD-6994,1,-9.1,1
CPD-8757,1,-9.1,7
2-PHOSPHO-4-CYTIDINE-5-DIPHOSPHO-2-C-MET,1,-9.1,13
NARINGENIN-7-O-BETA-D-GLUCOSIDE,1,-9.0,4
CPD-7075,1,-9.0,7
NADPH,1,-9.0,13
CPD-12199,1,-9.0,23
UDP-APIOSE,1,-9.0,9
ADP-D-GLUCOSE,1,-9.0,9
CPD-7148,1,-9.0,9
3-HYDROXY-PROPIONYL-COA,1,-9.0,22
CPD-10318,1,-9.0,8
CPD-474,1,-9.0,1
NADP,1,-9.0,13
LUTEOLIN-7-O-BETA-D-GLUCURONIDE,1,-9.0,4
CPD-14429,1,-9.0,3
CPD-11519,1,-9.0,31
CPD-16550,1,-9.0,5
CPD-7149,1,-9.0,8
CPD-18093,1,-8.9,9
PHOSPHORIBOSYL-AMP,1,-8.9,8
CPD-11523,1,-8.9,29
CPD-15176,1,-8.9,4
CPD-8258,1,-8.9,9
CPD-10501,1,-8.9,5
CPD-13118,1,-8.9,8
CPD-7260,1,-8.9,4
CPD-16530,1,-8.9,4
CPD-12112,1,-8.9,21
CPD-15364,1,-8.9,WARNING:
GDP-MANNOSE,1,-8.9,9
CO-A,1,-8.8,18
CPD-10600,1,-8.8,23
CPD-16762,1,-8.8,4
R-VICIANIN,1,-8.8,6
LUTEOLIN-7-O-NEOHESPERIDOSIDE,1,-8.8,6
CPD-14978,1,-8.8,8
CPD-650,1,-8.8,22
CPD-5922,1,-8.8,23
UDP-OHMYR-GLUCOSAMINE,1,-8.8,23
CPD1F-462,1,-8.8,5
CPD-7963,1,-8.8,14
CPD1F-437,1,-8.8,4
CPD-3421,1,-8.8,4
CPD-7117,1,-8.8,4
CPD-8007,1,-8.8,4
CPD-12575,1,-8.8,9
CPD-14998,1,-8.7,4
CPD-7073,1,-8.7,5
CPD-8664,1,-8.7,21
PHLORETIN,1,-8.7,4
CPD-15000,1,-8.7,13
CPD-11526,1,-8.7,26
CPD-8657,1,-8.7,7
CPD-14839,1,-8.7,8
UDP-D-XYLOSE,1,-8.7,8
DEPHOSPHO-COA,1,-8.7,16
CPD-8656,1,-8.7,4
CPD-11525,1,-8.7,27
CPD-11521,1,-8.7,29
CPD-12173,1,-8.7,22
CPD-14980,1,-8.7,9
CPD-14991,1,-8.7,8
CPD-7708,1,-8.7,15
CPD1F-766,1,-8.7,4
CPDQT-523,1,-8.6,8
CPD-16535,1,-8.6,6
CPD-15366,1,-8.6,WARNING:
4-CYTIDINE-5-DIPHOSPHO-2-C,1,-8.6,11
2-METHYL-ACETO-ACETYL-COA,1,-8.6,22
CPD-14989,1,-8.6,8
CPD-8255,1,-8.6,9
CPD-14988,1,-8.6,8
CPD-16603,1,-8.6,13
CPD-19470,1,-8.6,7
CPD-12038,1,-8.6,2
CPD-1125,1,-8.6,7
CPD-7965,1,-8.6,18
CPD-16559,1,-8.6,12
UDP-SULFOQUINOVOSE,1,-8.6,10
PHOSPHORIBOSYL-FORMIMINO-AICAR-P,1,-8.6,11
CPD-8012,1,-8.6,6
CPD-8162,1,-8.5,WARNING:
CPD-11529,1,-8.5,25
CPD-9320,1,-8.5,6
CPD-15370,1,-8.5,WARNING:
ACETYL-COA,1,-8.5,20
CPD-264,1,-8.5,21
BENZYL-DESULFOGLUCOSINOLATE,1,-8.5,5
P-COUMAROYL-COA,1,-8.5,22
GIBBERELLIN,1,-8.5,0
CPD-14824,1,-8.5,0
CPD-15369,1,-8.5,WARNING:
CPD-16602,1,-8.5,10
CPD-10500,1,-8.5,2
CPD-8013,1,-8.4,3
CPD-14908,1,-8.4,4
CPD-201,1,-8.4,21
CPD-82,1,-8.4,7
CPD-17638,1,-8.4,30
CO-A,1,-8.4,18
2-METHYL-BUTYRYL-COA,1,-8.4,22
OLEOYL-COA,1,-8.4,WARNING:
CPD-1862,1,-8.4,5
CPD-8161,1,-8.4,WARNING:
CPD-8948,1,-8.3,4
CPD-4202,1,-8.3,12
CPD-513,1,-8.3,23
CPD-9965,1,-8.3,WARNING:
2-PHOSPHO-4-CYTIDINE-5-DIPHOSPHO-2-C-MET,1,-8.3,13
CPD-10358,1,-8.3,1
TRANS-3-METHYL-GLUTACONYL-COA,1,-8.3,23
CPD-1042,1,-8.3,4
ISOVALERYL-COA,1,-8.3,22
CPD-14276,1,-8.3,WARNING:
CPD-8160,1,-8.3,WARNING:
CPD-196,1,-8.3,26
CPD-13354,1,-8.3,5
INDOL-YLACETYL-MYO-INOSITOL-ARABINOSIDE,1,-8.3,6
PHOSPHORIBULOSYL-FORMIMINO-AICAR-P,1,-8.3,14
CPD-8084,1,-8.2,WARNING:
CPD-7087,1,-8.2,1
CPD-7862,1,-8.2,8
CPD-16539,1,-8.2,23
CPD-14431,1,-8.2,0
CPD-1777,1,-8.2,6
CROTONYL-COA,1,-8.2,21
CPD-8171,1,-8.2,WARNING:
CPD-10269,1,-8.2,WARNING:
CPD-1083,1,-8.2,21
DAPHNIN,1,-8.2,3
CPD-11525,1,-8.2,27
SUC-COA,1,-8.2,23
CPD-7960,1,-8.2,11
CPD-14822,1,-8.1,13
CPD0-2106,1,-8.1,26
CPD-14969,1,-8.1,5
ACRYLYL-COA,1,-8.1,21
BENZOYLCOA,1,-8.1,21
METHACRYLYL-COA,1,-8.1,21
CPD-1142,1,-8.1,4
CPD-13713,1,-8.1,6
CPD-14732,1,-8.1,9
CPD-4208,1,-8.1,6
CPD-17478,1,-8.1,0
CPD-14843,1,-8.1,4
CPD-7140,1,-8.1,11
CPD-4616,1,-8.0,7
CPD-7074,1,-8.0,7
CPD-8066,1,-8.0,17
CPD-12180,1,-8.0,25
CPD-15006,1,-7.9,5
CPD-14273,1,-7.9,WARNING:
CPD-14277,1,-7.9,WARNING:
CPD-12462,1,-7.9,11
CPD-14841,1,-7.9,11
CPD-14737,1,-7.9,8
CPD-503,1,-7.9,23
CPD-4204,1,-7.9,10
CPD-16683,1,-7.8,12
CPD-10267,1,-7.8,28
ACETOACETYL-COA,1,-7.8,22
PALMITYL-COA,1,-7.8,WARNING:
CPD-12184,1,-7.8,24
GLUTARYL-COA,1,-7.8,24
CPD-17371,1,-7.8,WARNING:
CPD-8066,1,-7.8,17
CPD-14916,1,-7.8,26
CPD-8062,1,-7.8,0
CPD-9407,1,-7.8,23
CPD-15288,1,-7.8,9
PROPIONYL-COA,1,-7.8,21
3-METHYL-CROTONYL-COA,1,-7.8,21
CPD-14843,1,-7.8,4
CPD-14826,1,-7.8,WARNING:
CPD-9440,1,-7.8,3
CPD-7870,1,-7.7,11
CPD-14594,1,-7.7,6
1-O-GALLOYL-BETA-D-GLUCOSE,1,-7.7,4
CPD-17635,1,-7.7,23
CPD-4564,1,-7.7,9
CPD-14274,1,-7.7,WARNING:
SUC-COA,1,-7.7,23
METHYL-MALONYL-COA,1,-7.7,22
CPD-4618,1,-7.7,6
CPD-14981,1,-7.7,0
CPD-9693,1,-7.7,9
4-HYDROXY-BUTYRYL-COA,1,-7.7,23
CPD-18170,1,-7.7,8
CPD-17370,1,-7.7,WARNING:
VESTITONE,1,-7.7,2
CPD-9771,1,-7.7,22
CPD-10280,1,-7.7,WARNING:
CPD-7862,1,-7.7,8
CPD-12733,1,-7.7,3
CPD-16561,1,-7.7,18
CPD-20015,1,-7.6,3
CMP-KDO,1,-7.6,9
CPD-16537,1,-7.6,13
CPD-14271,1,-7.6,WARNING:
CPD-15363,1,-7.6,WARNING:
CPD-8011,1,-7.6,6
CPD-17621,1,-7.6,WARNING:
CPD-14504,1,-7.6,10
CPD-14275,1,-7.6,WARNING:
RUTIN,1,-7.6,6
CPD1F-420,1,-7.6,6
CPD-14999,1,-7.6,9
CPD-4613,1,-7.6,6
|Gentiobiose|,1,-7.6,4
CINNAMOYL-COA,1,-7.5,22
CPD-18158,1,-7.5,6
CPD-15368,1,-7.5,WARNING:
CPD-16535,1,-7.5,6
CPD-9212,1,-7.5,6
CPD-8049,1,-7.5,7
CPD-7390,1,-7.5,0
CPD-14848,1,-7.5,0
CPD-16558,1,-7.5,9
CPD-15365,1,-7.5,WARNING:
CPDQT-418,1,-7.5,11
CPD-4615,1,-7.4,7
CPDQT-417,1,-7.4,10
CPD-8254,1,-7.4,6
CPD-8065,1,-7.4,14
CPD-16684,1,-7.4,15
CPD-11524,1,-7.4,29
3-HYDROXY-3-METHYL-GLUTARYL-COA,1,-7.4,24
4-HYDROXY-3-INDOLYLMETHYL-GLUCOSINOLATE,1,-7.4,7
CPD-14847,1,-7.4,0
CPD-14454,1,-7.3,0
CPD1G-277,1,-7.3,WARNING:
CPD-16542,1,-7.3,8
CPD-18169,1,-7.3,9
CPD-10504,1,-7.3,14
GLUTACONYL-COA,1,-7.3,23
CPD-63,1,-7.3,7
LOGANATE,1,-7.3,4
CPD-15079,1,-7.2,1
STEAROYL-COA,1,-7.2,WARNING:
CPD-14993,1,-7.2,9
CPD-15447,1,-7.2,4
4-HYDROXY-BUTYRYL-COA,1,-7.2,23
CPDQT-419,1,-7.2,12
CPD-15371,1,-7.2,18
CPD-16604,1,-7.2,16
CPD-9475,1,-7.1,5
CPD-14507,1,-7.1,10
VICIANOSE,1,-7.1,3
CPD-4563,1,-7.1,5
CPD-17641,1,-7.1,WARNING:
CPD-15361,1,-7.0,WARNING:
CPDQT-285,1,-7.0,9
CPD-458,1,-7.0,3
CPD-15175,1,-7.0,5
CPD-15087,1,-7.0,3
CPDQT-421,1,-6.9,8
CPD-8048,1,-6.9,4
CPD-14840,1,-6.9,11
CPD-10345,1,-6.9,5
CPD-8949,1,-6.9,9
CPD-9472,1,-6.9,5
CPD-7141,1,-6.8,15
CPD-7231,1,-6.8,10
CPD-9677,1,-6.8,7
CPD-8676,1,-6.8,15
CPD-14998,1,-6.8,4
CPDQT-416,1,-6.8,8
CPD-18156,1,-6.8,5
CPDQT-26,1,-6.8,5
CPD-15024,1,-6.8,9
UDP-OHMYR-ACETYLGLUCOSAMINE,1,-6.7,24
6G-KESTOTETRAOSE,1,-6.7,9
VITEXIN-2-O-BETA-D-GLUCOSIDE,1,-6.7,6
CPD-14596,1,-6.7,7
CPD-15286,1,-6.7,6
CPD-14506,1,-6.6,13
CPD-15717,1,-6.6,4
CPD-7843,1,-6.6,0
CPD-7059,1,-6.6,0
SUCROSE-6P,1,-6.6,7
CPD-10348,1,-6.6,8
CPD-8069,1,-6.5,14
CPD-16531,1,-6.5,4
3-HYDROXYPROPYL-GLUCOSINOLATE,1,-6.5,8
CPD-14825,1,-6.5,0
CPD-14844,1,-6.5,0
CPD-10283,1,-6.5,WARNING:
CPD-9558,1,-6.4,1
CPD-17633,1,-6.4,WARNING:
|a-radical-of-luteolin-7-iOi-diglucuronid|,1,-6.4,0
1-KESTOTRIOSE,1,-6.4,9
CPD-8949,1,-6.4,9
ISOVITEXIN-2-O-B-D-GLUCOSIDE,1,-6.4,6
CPD-8067,1,-6.4,0
LOGANIN,1,-6.4,5
CPD-16538,1,-6.4,17
SUCROSE,1,-6.4,5
CPD-9587,1,-6.3,5
CPD-15284,1,-6.3,9
CPD-14961,1,-6.3,5
CPD1F-431,1,-6.3,9
CPD-10539,1,-6.3,6
CPD-8675,1,-6.3,14
1-KESTOTRIOSE,1,-6.3,9
3-METHYLTHIOPROPYL-DESULFO-GLUCOSINOLATE,1,-6.3,7
CPD-15023,1,-6.3,9
CPD-14847,1,-6.2,0
CPD-7844,1,-6.2,7
CPD-7145,1,-6.2,0
SUCROSE,1,-6.2,5
CPD-8657,1,-6.2,7
D-SEDOHEPTULOSE-7-P,1,-6.2,8
CPD-12463,1,-6.2,14
CPD-204,1,-6.1,1
CPD-14960,1,-6.1,10
CPD-7842,1,-6.1,7
7-O-METHYLVITEXIN-2-O-B-L-RHAMNOSIDE,1,-6.1,6
CPD-12462,1,-6.1,11
CPD-14962,1,-6.1,0
CPD-14300,1,-6.1,WARNING:
CPD-16625,1,-6.0,7
CPD-15021,1,-6.0,9
CPD-18157,1,-6.0,0
CPD-8047,1,-6.0,4
CPD-6203,1,-5.9,1
CPD-8254,1,-5.9,6
CPD-229,1,-5.9,2
CPD-16599,1,-5.9,13
CPD-14911,1,-5.9,6
DEACETYLISOIPECOSIDE,1,-5.9,8
CPD-14820,1,-5.9,0
CPD-9214,1,-5.9,7
CPD-10536,1,-5.9,4
CPD-18100,1,-5.8,0
CPD-458,1,-5.8,3
CPD-11557,1,-5.8,0
CPD-15012,1,-5.8,0
CPD-15445,1,-5.8,10
MALTOTRIOSE,1,-5.8,7
CPD-14503,1,-5.8,7
CPD-7842,1,-5.8,7
CPD-12102,1,-5.7,10
CPD-9203,1,-5.7,12
CPD-16537,1,-5.7,13
CPD-16418,1,-5.6,11
CPD-7612,1,-5.6,4
CPD-9441,1,-5.6,0
CPD-9249,1,-5.6,13
CPD-8047,1,-5.6,4
CPD-9711,1,-5.6,4
1-KESTOTRIOSE,1,-5.6,9
CPD-9477,1,-5.5,5
CPD-14775,1,-5.5,WARNING:
CPD-14507,1,-5.5,10
CPD-13255,1,-5.5,9
CPD-16536,1,-5.4,0
CPD-15106,1,-5.4,0
CPD-15382,1,-5.3,5
CPD-14850,1,-5.2,10
CPD-16624,1,-5.2,13
CPD-12464,1,-5.1,11
CPD-14849,1,-5.1,0
10-DEACETYL-2-DEBENZOYLBACCATIN-III,1,-5.0,2
CPD-16623,1,-5.0,10
10-DEACETYLBACCATIN-III,1,-4.9,5
CPD-8068,1,-4.7,10
CPD-9526,1,-4.7,5
CPD-9211,1,-4.5,8
CPD-10678,1,-4.4,14
CPD-15576,1,-4.3,10
CPD-16623,1,-4.2,10
BACCATIN-III,1,-4.2,7
CPD-18097,1,-3.9,0
CPD-9250,1,-3.5,16
CPD-18099,1,-2.1,0
