Compound,Model ID,Energy,nRot
PubChem-15896814,1,-19.0,0
PubChem-129192019,1,-17.8,3
PubChem-102318105,1,-17.6,9
PubChem-101700562,1,-17.6,5
PubChem-71581504,1,-17.4,6
PubChem-102190928,1,-17.2,11
PubChem-124867830,1,-17.0,4
PubChem-129539829,1,-17.0,4
PubChem-89277447,1,-16.9,0
PubChem-102470433,1,-16.9,5
PubChem-124867965,1,-16.8,10
PubChem-11764858,1,-16.7,4
PubChem-11813290,1,-16.7,0
PubChem-102204189,1,-16.6,11
PubChem-71199821,1,-16.6,7
PubChem-101155180,1,-16.5,7
PubChem-102023796,1,-16.5,0
PubChem-44596225,1,-16.4,1
PubChem-59384211,1,-16.3,8
PubChem-21632920,1,-16.3,1
PubChem-77906397,1,-16.2,7
PubChem-118321529,1,-16.1,5
PubChem-6325355,1,-16.0,8
PubChem-44448535,1,-15.9,8
PubChem-87226553,1,-15.9,6
PubChem-132554142,1,-15.9,3
PubChem-137293086,1,-15.8,2
PubChem-6325783,1,-15.8,9
PubChem-78407206,1,-15.8,5
PubChem-122674369,1,-15.8,10
PubChem-102594494,1,-15.8,20
PubChem-15940169,1,-15.7,4
PubChem-13518139,1,-15.6,5
PubChem-11787830,1,-15.6,8
PubChem-100975479,1,-15.5,3
PubChem-136613501,1,-15.5,2
PubChem-100975478,1,-15.5,3
PubChem-125416291,1,-15.5,8
PubChem-136465863,1,-15.5,0
PubChem-11125572,1,-15.4,0
PubChem-102148270,1,-15.4,5
PubChem-23305531,1,-15.4,0
PubChem-21550487,1,-15.4,3
PubChem-21120440,1,-15.4,7
PubChem-53344646,1,-15.4,6
PubChem-67575196,1,-15.4,2
PubChem-101682246,1,-15.4,8
PubChem-24836708,1,-15.3,5
PubChem-101095333,1,-15.3,6
PubChem-124894533,1,-15.3,7
PubChem-49868170,1,-15.3,3
PubChem-85612821,1,-15.3,0
PubChem-23428114,1,-15.3,10
PubChem-14447545,1,-15.3,8
PubChem-59672054,1,-15.2,1
PubChem-102004522,1,-15.2,7
PubChem-101449867,1,-15.2,3
PubChem-9987912,1,-15.2,8
PubChem-11982793,1,-15.2,4
PubChem-124903486,1,-15.1,6
PubChem-71465157,1,-15.1,4
PubChem-129098935,1,-15.1,11
PubChem-124904495,1,-15.1,7
PubChem-12303929,1,-15.1,4
PubChem-24836709,1,-15.1,6
PubChem-101785754,1,-15.1,4
PubChem-44297977,1,-15.1,5
PubChem-22297244,1,-15.1,13
PubChem-11953915,1,-15.0,12
PubChem-10120485,1,-15.0,2
PubChem-129096640,1,-15.0,16
PubChem-15896808,1,-15.0,6
PubChem-124903634,1,-15.0,7
PubChem-102067835,1,-15.0,2
PubChem-21576524,1,-14.9,9
PubChem-118016044,1,-14.9,2
PubChem-136602239,1,-14.9,2
PubChem-135665591,1,-14.9,0
PubChem-11765369,1,-14.9,5
PubChem-102149147,1,-14.9,5
PubChem-124871751,1,-14.9,10
PubChem-3841450,1,-14.9,4
PubChem-88602297,1,-14.8,5
PubChem-136593613,1,-14.8,0
PubChem-124904475,1,-14.8,6
PubChem-15602903,1,-14.8,12
PubChem-89467681,1,-14.8,17
PubChem-89205253,1,-14.8,3
PubChem-101791926,1,-14.7,6
PubChem-73951881,1,-14.7,3
PubChem-49868366,1,-14.7,5
PubChem-91198187,1,-14.7,4
PubChem-131752595,1,-14.7,6
PubChem-89167857,1,-14.7,7
PubChem-71126134,1,-14.7,7
PubChem-16091443,1,-14.7,2
PubChem-129191913,1,-14.7,7
PubChem-101340552,1,-14.7,12
PubChem-44285698,1,-14.6,3
PubChem-101650324,1,-14.6,4
PubChem-102273399,1,-14.6,8
PubChem-6618451,1,-14.6,6
PubChem-131752527,1,-14.6,7
PubChem-136798585,1,-14.6,2
PubChem-136688745,1,-14.6,4
PubChem-44177902,1,-14.6,4
PubChem-95240273,1,-14.5,4
PubChem-70694847,1,-14.5,7
PubChem-44583749,1,-14.5,5
PubChem-12314105,1,-14.5,1
PubChem-102485176,1,-14.5,7
PubChem-11650910,1,-14.4,9
PubChem-124904433,1,-14.4,6
PubChem-102163697,1,-14.4,9
PubChem-89912996,1,-14.4,4
PubChem-21775228,1,-14.4,3
PubChem-25207999,1,-14.4,16
PubChem-11968378,1,-14.4,7
PubChem-134491881,1,-14.4,6
PubChem-129098297,1,-14.4,14
PubChem-45375990,1,-14.3,3
PubChem-102278919,1,-14.3,3
PubChem-131838685,1,-14.3,7
PubChem-71289546,1,-14.3,11
PubChem-76853542,1,-14.3,8
PubChem-45105742,1,-14.3,5
PubChem-10819995,1,-14.3,12
PubChem-6618444,1,-14.3,6
PubChem-44213063,1,-14.3,7
PubChem-72721461,1,-14.3,5
PubChem-135639012,1,-14.2,4
PubChem-102481601,1,-14.2,5
PubChem-16401639,1,-14.2,7
PubChem-21550314,1,-14.2,13
PubChem-118987130,1,-14.2,10
PubChem-124604701,1,-14.2,6
PubChem-102594495,1,-14.2,11
PubChem-59808433,1,-14.1,4
PubChem-10440907,1,-14.1,9
PubChem-125031215,1,-14.1,5
PubChem-129631900,1,-14.1,12
PubChem-19838731,1,-14.1,5
PubChem-135639036,1,-14.1,5
PubChem-118015924,1,-14.1,4
PubChem-42622189,1,-14.1,8
PubChem-90009823,1,-14.1,1
PubChem-53297402,1,-14.0,2
PubChem-45105759,1,-14.0,6
PubChem-58203627,1,-14.0,10
PubChem-91422474,1,-14.0,5
PubChem-10068,1,-14.0,2
PubChem-11870442,1,-14.0,2
PubChem-11686617,1,-14.0,8
PubChem-118712084,1,-14.0,14
PubChem-6710709,1,-14.0,5
PubChem-44583934,1,-14.0,1
PubChem-1776924,1,-14.0,2
PubChem-5702136,1,-14.0,2
PubChem-101844289,1,-14.0,6
PubChem-101158011,1,-14.0,7
PubChem-124898427,1,-14.0,5
PubChem-73759821,1,-14.0,2
PubChem-25099430,1,-14.0,5
PubChem-11219,1,-14.0,2
PubChem-133612071,1,-14.0,3
PubChem-21776099,1,-14.0,7
PubChem-72195829,1,-14.0,7
PubChem-122173215,1,-13.9,5
PubChem-59884201,1,-13.9,9
PubChem-129448077,1,-13.9,4
PubChem-71714455,1,-13.9,5
PubChem-18958627,1,-13.9,2
PubChem-124900422,1,-13.9,4
PubChem-135638979,1,-13.9,4
PubChem-121231051,1,-13.9,2
PubChem-60194613,1,-13.9,2
PubChem-124904094,1,-13.9,1
PubChem-20056501,1,-13.9,3
PubChem-124903976,1,-13.9,7
PubChem-24052543,1,-13.9,1
PubChem-91139741,1,-13.9,4
PubChem-123205724,1,-13.8,3
PubChem-57248864,1,-13.8,4
PubChem-267361,1,-13.8,10
PubChem-125040249,1,-13.8,7
PubChem-57268188,1,-13.8,2
PubChem-89099950,1,-13.8,8
PubChem-9987291,1,-13.8,11
PubChem-6917994,1,-13.8,4
PubChem-133612022,1,-13.8,5
PubChem-23825565,1,-13.8,3
PubChem-131838687,1,-13.8,6
PubChem-68361339,1,-13.7,5
PubChem-25112177,1,-13.7,1
PubChem-21626689,1,-13.7,8
PubChem-73801616,1,-13.7,10
PubChem-101635452,1,-13.7,9
PubChem-44144307,1,-13.7,4
PubChem-118016066,1,-13.7,5
PubChem-70697956,1,-13.7,3
PubChem-68361335,1,-13.7,5
PubChem-44368053,1,-13.6,4
PubChem-46896620,1,-13.6,11
PubChem-10197501,1,-13.6,16
PubChem-91612763,1,-13.6,3
PubChem-135170071,1,-13.6,10
PubChem-96358430,1,-13.6,4
PubChem-72549444,1,-13.6,8
PubChem-11764809,1,-13.6,7
PubChem-117964357,1,-13.6,5
PubChem-16407480,1,-13.6,8
PubChem-3081718,1,-13.6,4
PubChem-10257066,1,-13.6,4
