Compound,Model ID,Energy,nRot
PubChem-3841450,1,-13.6,4
PubChem-23428114,1,-13.5,10
PubChem-10168412,1,-13.4,7
PubChem-124904475,1,-13.4,6
PubChem-91116770,1,-13.1,7
PubChem-89589068,1,-13.0,9
PubChem-87226553,1,-13.0,6
PubChem-124904433,1,-12.9,6
PubChem-87285518,1,-12.9,11
PubChem-132028919,1,-12.9,14
PubChem-21550487,1,-12.8,3
PubChem-53374551,1,-12.8,6
PubChem-57028939,1,-12.8,12
PubChem-44583749,1,-12.8,5
PubChem-6618444,1,-12.8,6
PubChem-16401639,1,-12.7,7
PubChem-132526876,1,-12.7,7
PubChem-71752145,1,-12.6,6
PubChem-71102352,1,-12.6,5
PubChem-130280272,1,-12.5,5
PubChem-129192019,1,-12.5,3
PubChem-4615791,1,-12.5,6
PubChem-124905367,1,-12.4,6
PubChem-123925987,1,-12.4,12
PubChem-49868170,1,-12.3,3
PubChem-102276951,1,-12.3,13
PubChem-5086374,1,-12.3,12
PubChem-134146103,1,-12.3,10
PubChem-69147829,1,-12.3,9
PubChem-131752527,1,-12.3,7
PubChem-3832654,1,-12.3,6
PubChem-15940169,1,-12.3,4
PubChem-23304525,1,-12.2,3
PubChem-136249466,1,-12.2,8
PubChem-11813290,1,-12.2,0
PubChem-68609942,1,-12.2,10
PubChem-21626708,1,-12.2,7
PubChem-101082615,1,-12.2,5
PubChem-101908978,1,-12.2,6
PubChem-25099430,1,-12.2,5
PubChem-59180786,1,-12.2,1
PubChem-25058097,1,-12.2,12
PubChem-174826,1,-12.1,7
PubChem-23901956,1,-12.1,9
PubChem-95240273,1,-12.1,4
PubChem-68128659,1,-12.1,6
PubChem-44256956,1,-12.1,8
PubChem-135639036,1,-12.1,5
PubChem-91250165,1,-12.1,9
PubChem-124903634,1,-12.0,7
PubChem-10625392,1,-12.0,6
PubChem-44257013,1,-12.0,13
PubChem-45105742,1,-12.0,5
PubChem-10346156,1,-12.0,6
PubChem-24211973,1,-12.0,6
PubChem-121339048,1,-12.0,13
PubChem-3460998,1,-12.0,6
PubChem-126734182,1,-12.0,10
PubChem-124898427,1,-12.0,5
PubChem-44583934,1,-12.0,1
PubChem-71660877,1,-12.0,7
PubChem-53462623,1,-12.0,3
PubChem-58059776,1,-12.0,7
PubChem-101650324,1,-12.0,4
PubChem-24978601,1,-11.9,12
PubChem-91422474,1,-11.9,5
PubChem-44544285,1,-11.9,4
PubChem-10768291,1,-11.9,7
PubChem-58059756,1,-11.9,8
PubChem-92282304,1,-11.9,7
PubChem-19948837,1,-11.9,12
PubChem-90886198,1,-11.9,13
PubChem-88590575,1,-11.9,4
PubChem-25182466,1,-11.8,10
PubChem-135639012,1,-11.8,4
PubChem-102067835,1,-11.8,2
PubChem-88602297,1,-11.8,5
PubChem-137544615,1,-11.8,6
PubChem-89591199,1,-11.8,6
PubChem-71465157,1,-11.8,4
PubChem-136688745,1,-11.8,4
PubChem-90959195,1,-11.8,10
PubChem-72712217,1,-11.8,10
PubChem-126624426,1,-11.8,8
PubChem-131801363,1,-11.8,6
PubChem-73157750,1,-11.8,7
PubChem-77108142,1,-11.8,13
PubChem-23344706,1,-11.8,10
PubChem-122130576,1,-11.8,7
PubChem-44256980,1,-11.8,9
PubChem-10815375,1,-11.8,7
PubChem-54693261,1,-11.8,6
PubChem-1785233,1,-11.7,6
PubChem-57502098,1,-11.7,7
PubChem-134612457,1,-11.7,3
PubChem-90009823,1,-11.7,1
PubChem-101594261,1,-11.7,5
PubChem-44311378,1,-11.7,5
PubChem-135480843,1,-11.7,11
PubChem-58516522,1,-11.7,4
PubChem-4434127,1,-11.7,6
PubChem-101930400,1,-11.7,13
PubChem-76386925,1,-11.7,9
PubChem-16402415,1,-11.7,6
PubChem-124899806,1,-11.7,10
PubChem-5327923,1,-11.7,8
PubChem-15560174,1,-11.7,4
PubChem-12303929,1,-11.7,4
PubChem-13962915,1,-11.7,13
PubChem-44577124,1,-11.7,10
PubChem-86670352,1,-11.7,9
PubChem-101930166,1,-11.7,10
PubChem-21595282,1,-11.7,4
PubChem-14841187,1,-11.7,3
PubChem-92535856,1,-11.6,10
PubChem-45358140,1,-11.6,7
PubChem-122130185,1,-11.6,7
PubChem-42638457,1,-11.6,10
PubChem-44386589,1,-11.6,8
PubChem-11764809,1,-11.6,7
PubChem-124894949,1,-11.6,6
PubChem-53678158,1,-11.6,4
PubChem-44177902,1,-11.6,4
PubChem-73358,1,-11.6,7
PubChem-5458396,1,-11.6,7
PubChem-101010990,1,-11.6,10
PubChem-131833290,1,-11.6,6
PubChem-6618451,1,-11.6,6
PubChem-18731538,1,-11.6,11
PubChem-134380426,1,-11.6,7
PubChem-23628203,1,-11.6,9
PubChem-131752183,1,-11.5,3
PubChem-11968877,1,-11.5,11
PubChem-123463154,1,-11.5,10
PubChem-68103121,1,-11.5,8
PubChem-124905132,1,-11.5,9
PubChem-11388341,1,-11.5,10
PubChem-118701402,1,-11.5,7
PubChem-11525115,1,-11.5,4
PubChem-88999321,1,-11.5,3
PubChem-44188268,1,-11.5,9
PubChem-123744181,1,-11.5,3
PubChem-102244728,1,-11.5,6
PubChem-102419575,1,-11.5,14
PubChem-51136494,1,-11.5,9
PubChem-91111956,1,-11.5,9
PubChem-131752758,1,-11.5,9
PubChem-124905131,1,-11.5,9
PubChem-98072679,1,-11.5,10
PubChem-88012003,1,-11.5,19
PubChem-53967840,1,-11.5,10
PubChem-134522287,1,-11.5,5
PubChem-11318712,1,-11.5,10
PubChem-54418241,1,-11.5,9
PubChem-22833206,1,-11.5,7
PubChem-21626716,1,-11.5,3
PubChem-98048441,1,-11.5,8
PubChem-123541716,1,-11.5,4
PubChem-71591327,1,-11.5,9
PubChem-136084253,1,-11.5,15
PubChem-89912996,1,-11.5,4
PubChem-22297415,1,-11.5,7
PubChem-131833766,1,-11.4,5
PubChem-71251711,1,-11.4,5
PubChem-16726506,1,-11.4,6
PubChem-69734896,1,-11.4,8
PubChem-57218328,1,-11.4,19
PubChem-126968644,1,-11.4,12
PubChem-71720244,1,-11.4,9
PubChem-57914921,1,-11.4,3
PubChem-44258062,1,-11.4,4
PubChem-125041131,1,-11.4,8
PubChem-68043906,1,-11.4,13
PubChem-131752570,1,-11.4,9
PubChem-131833289,1,-11.4,6
PubChem-101095333,1,-11.4,6
