SMILES,Name,Cluster,Center
C[C@H](NC(=O)[C@@H](O)c1cc(F)cc(F)c1)C(=O)N[C@H](CO)CC1CCCCC1,CHEMBL101537,3,No
O=C(Nc1ccccc1)[C@H](CO)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CO)NC(=O)[C@@H](Br)[C@H](Br)c1ccc(F)cc1,CHEMBL1075849,3,No
C[C@@H]1O[C@@H](Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)[C@@H](OC(=O)/C=C/c2ccc(O)cc2)[C@H](OC(=O)/C=C\c2ccc(O)cc2)[C@H]1O,CHEMBL1075911,1,No
NCCCC[C@H](NC(=O)CCc1ccccc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CO)C(=O)NCc1cccc(F)c1,CHEMBL1076022,3,No
COc1cc2ccc(=O)oc2cc1O[C@@H]1O[C@H](CO[C@@H]2OC[C@](O)(COC(=O)c3cc(OC)c(O)c(OC)c3)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL1076758,0,No
COc1cc2ccc(=O)oc2cc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1OC[C@](O)(COC(=O)c2cc(OC)c(O)c(OC)c2)[C@H]1O,CHEMBL1076759,0,No
COc1cc(C(=O)OC[C@@]2(O)CO[C@@H](OC[C@H]3O[C@@H](O[C@@H](O)/C=C/[C@@]4(O)[C@H](C)C[C@H](O)CC4(C)C)[C@H](O)[C@@H](O)[C@@H]3O)[C@@H]2O)cc(OC)c1O,CHEMBL1076763,0,No
O=C(/C=C/c1ccccc1)OC[C@@]1(O)CO[C@@H](O[C@H]2[C@H](Oc3cc(O)c4c(c3)O[C@H](c3ccc(O)c(O)c3)CC4=O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@@H]1O,CHEMBL1077014,0,No
COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]2[C@@H]1C=C[C@@]21C=C([C@H](O)c2ccc(O)cc2)C(=O)O1,CHEMBL1077226,2,No
O=C(/C=C/c1ccc(O)c(O)c1)O[C@H]1[C@H](O)[C@@H](O[C@@H]2OC[C@](O)(CO)[C@H]2O)[C@H](OCCc2ccc(O)c(O)c2)O[C@@H]1CO,CHEMBL1077833,2,No
O=C(/C=C/c1ccc(O)c(O)c1)O[C@H]1[C@H](O[C@@H]2OC[C@@](O)(CO)[C@H]2O)[C@@H](O[C@@H]2OC[C@@](O)(CO)[C@H]2O)[C@H](OCCc2ccc(O)c(O)c2)O[C@@H]1CO,CHEMBL1077923,2,No
CC(C)(O)[C@H]1CC=C(C(=O)OC[C@@H]2O[C@H](Oc3c(O)cc(C(=O)O)cc3O)[C@@H](O)[C@H](O)[C@H]2O)CC1,CHEMBL1078643,0,No
COC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CO)NC(=O)/C=C/c1ccc(F)cc1,CHEMBL1079684,3,No
O=C(/C=C/c1ccc(F)cc1)N[C@@H](CO)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CO)C(=O)N1CCOCC1,CHEMBL1081765,3,No
O=C(/C=C/c1ccccc1)OC[C@@]1(O)CO[C@@H](O[C@@H]2[C@H](O)[C@@H](OCc3ccccc3)O[C@H](CO)[C@H]2O)[C@@H]1O,CHEMBL1082561,2,No
O=c1ccn([C@@H]2O[C@H](CO[P@](=O)(O)O[P@@](=O)(O)O[P@](=O)(O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,CHEMBL1083260,2,No
