SMILES;Name;Cluster;Center
O=C(NCCCc1cccs1)Nc1ccc(S(=O)(=O)N2CCC(CNC[C@H](O)COc3ccc(O)cc3)CC2)cc1;CHEMBL100124;1;No
O=C(Nc1ccccc1)Nc1ccc(S(=O)(=O)N2CCC(CNC[C@H](O)COc3ccc(O)cc3)CC2)cc1;CHEMBL100970;1;No
C[C@H](NC(=O)[C@@H](O)c1cc(F)cc(F)c1)C(=O)N[C@H](CO)CC1CCCCC1;CHEMBL101537;1;No
C/C(=C\c1csc(C)n1)[C@@H]1C[C@H](O)[C@@]2(C)CCC[C@H](C)[C@@H](O)[C@H](C)C(=O)C(C)(C)[C@H](CC(=O)O1)O2;CHEMBL103170;0;No
C/C(=C\c1csc(C)n1)[C@@H]1C[C@H](O)[C@@](C)(O)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1;CHEMBL104952;0;No
CCCCCCCCNC(=O)N1CCC(Nc2ccc(CCNC[C@H](O)COc3ccc(O)cc3)cc2)CC1;CHEMBL106022;1;No
CCCCCCCCNC(=O)N1CCC(Nc2ccc(CCNC[C@H](O)COc3ccc(O)c(NS(C)(=O)=O)c3)cc2)CC1;CHEMBL106512;1;No
CNC(=O)N1CCC(Nc2ccc(CCNC[C@H](O)COc3ccc(O)cc3)cc2)CC1;CHEMBL107012;1;No
CCNC(=O)[C@@H](NC(=O)Cc1ccc(O)cc1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)Cc3ccc(O)cc3)C(=O)NCC)SC2(C)C)C(C)(C)S1;CHEMBL107014;1;No
O=C(CCc1ccccc1)N[C@@H](CO)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CO)C(=O)Nc1ccc(N2CCOCC2)cc1;CHEMBL1075813;1;No
O=C(Nc1ccccc1)[C@H](CO)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CO)NC(=O)[C@@H](Br)[C@H](Br)c1ccc(F)cc1;CHEMBL1075849;1;No
C[C@@H]1O[C@@H](Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)[C@@H](OC(=O)/C=C/c2ccc(O)cc2)[C@H](OC(=O)/C=C\c2ccc(O)cc2)[C@H]1O;CHEMBL1075911;2;No
NCCCC[C@H](NC(=O)CCc1ccccc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CO)C(=O)NCc1cccc(F)c1;CHEMBL1076022;1;No
COc1cc2ccc(=O)oc2cc1O[C@@H]1O[C@H](CO[C@@H]2OC[C@](O)(COC(=O)c3cc(OC)c(O)c(OC)c3)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O;CHEMBL1076758;2;No
COc1cc(C(=O)OC[C@@]2(O)CO[C@@H](OC[C@H]3O[C@@H](O[C@@H](O)/C=C/[C@@]4(O)[C@H](C)C[C@H](O)CC4(C)C)[C@H](O)[C@@H](O)[C@@H]3O)[C@@H]2O)cc(OC)c1O;CHEMBL1076763;2;No
O=C(NCCc1ccc(O)c(Br)c1)/C(Cc1cc(Br)c2c(c1)-c1cc(C/C(=N\O)C(=O)NCCc3ccc(O)c(Br)c3)cc(Br)c1OCO2)=N\O;CHEMBL1076811;1;No
CC1=CC(=O)[C@@H]2C(C)(C)[C@@H](O)CC[C@]2(C)[C@@]1(O)CO;CHEMBL1077415;0;No
O=C(Cc1ccccc1)NCCNC[C@H](O)COc1ccc(O)cc1;CHEMBL107767;1;No
CC(C)(O)[C@H]1CC=C(C(=O)OC[C@@H]2O[C@H](Oc3c(O)cc(C(=O)O)cc3O)[C@@H](O)[C@H](O)[C@H]2O)CC1;CHEMBL1078643;2;No
O=C(NCCNC[C@@H](O)COc1ccc(O)cc1)Nc1ccccc1;CHEMBL107879;1;No
COC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CO)NC(=O)/C=C/c1ccc(F)cc1;CHEMBL1079684;1;No
CCN(CC)C(=O)N1CCC(Nc2ccc(CCNC[C@H](O)COc3ccc(O)cc3)cc2)CC1;CHEMBL108061;1;No
