SMILES,Name,Cluster,Center
OC[C@H]1O[C@@H](OC[C@@H]2O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O,|Gentiobiose|,2,Yes
OC[C@@H]1O[C@](CO)(OC[C@]2(O[C@H]3O[C@H](CO)[C@H](O)[C@@H](O)[C@@H]3O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@@H](O)[C@H]1O,1-KESTOTRIOSE,2,No
O=C(O[C@@H]1O[C@H](CO)[C@H](O)[C@@H](O)[C@@H]1O)c1cc(O)c(O)c(O)c1,1-O-GALLOYL-BETA-D-GLUCOSE,2,No
CC(=O)O[C@@]12CO[C@@H]1C[C@@H](O)[C@@]1(C)C(=O)[C@@H](O)C3=C(C)[C@@H](O)C[C@@](O)([C@H](O)[C@H]21)C3(C)C,10-DEACETYL-2-DEBENZOYLBACCATIN-III,2,No
CC(=O)O[C@]12CO[C@H]1C[C@H](O)[C@@]1(C)C(=O)[C@@H](O)C3=C(C)[C@@H](O)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]12)C3(C)C,10-DEACETYLBACCATIN-III,2,No
CC(=O)[C@@H](C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)CO[P@](=O)([O-])O[P@](=O)([O-])OC[C@H]1O[C@H](n2cnc3c(N)ncnc32)[C@@H](O)[C@H]1OP(=O)([O-])[O-],2-METHYL-ACETO-ACETYL-COA,1,No
CC[C@@H](C)C(=O)SCCNC(=O)CCNC(=O)[C@@H](O)C(C)(C)CO[P@](=O)([O-])O[P@@](=O)([O-])OC[C@H]1O[C@H](n2cnc3c(N)ncnc32)[C@@H](O)[C@H]1OP(=O)([O-])[O-],2-METHYL-BUTYRYL-COA,1,No
C[C@](CO)(OP(=O)([O-])[O-])[C@H](O)CO[P@@](=O)([O-])O[P@@](=O)([O-])OC[C@H]1O[C@H](n2ccc(N)nc2=O)[C@@H](O)[C@@H]1O,2-PHOSPHO-4-CYTIDINE-5-DIPHOSPHO-2-C-MET,1,No
CC(C)(CO[P@@](=O)([O-])O[P@](=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@H]1OP(=O)([O-])[O-])[C@H](O)C(=O)NCCC(=O)NCCSC(=O)C[C@@](C)(O)CC(=O)[O-],3-HYDROXY-3-METHYL-GLUTARYL-COA,1,No
CC(C)(CO[P@@](=O)([O-])O[P@](=O)([O-])OC[C@@H]1O[C@H](n2cnc3c(N)ncnc32)[C@H](O)[C@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCO,3-HYDROXY-PROPIONYL-COA,1,No
CC(C)=CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)CO[P@](=O)([O-])O[P@@](=O)([O-])OC[C@@H]1O[C@H](n2cnc3c(N)ncnc32)[C@@H](O)[C@H]1OP(=O)([O-])[O-],3-METHYL-CROTONYL-COA,1,No
O=C(/C=C\c1ccc(O)cc1)O[C@H]1C[C@@](O)(C(=O)[O-])C[C@@H](O)[C@@H]1O,4-COUMAROYLQUINATE,2,No
C[C@@](O)(CO)[C@@H](O)CO[P@@](=O)([O-])O[P@@](=O)([O-])OC[C@@H]1O[C@@H](n2ccc(N)nc2=O)[C@@H](O)[C@@H]1O,4-CYTIDINE-5-DIPHOSPHO-2-C,1,No
O=S(=O)([O-])O/N=C(\Cc1c[nH]c2cccc(O)c12)S[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@H]1O,4-HYDROXY-3-INDOLYLMETHYL-GLUCOSINOLATE,0,No
CC(C)(CO[P@@](=O)([O-])O[P@](=O)([O-])OC[C@H]1O[C@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@H](O)C(=O)NCCC(=O)NCCSC(=O)CCCO,4-HYDROXY-BUTYRYL-COA,1,No
O=C(Cc1c[nH]c2ccccc12)O[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@@H](O)[C@H]2O)[C@@H](O)[C@@H](O)[C@@H](O)[C@H]1O,5-O-INDOL-3-YLACETYL-MYO-ETCETERA,2,No
OC[C@@H]1O[C@](CO)(OC[C@H]2O[C@@H](O[C@@]3(CO)O[C@@H](CO)[C@H](O)[C@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H]1O,6G-KESTOTETRAOSE,2,No
COc1cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc2c1[C@@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@H]1O[C@@H]1O[C@@H](C)[C@H](O)[C@H](O)[C@H]1O,7-O-METHYLVITEXIN-2-O-B-L-RHAMNOSIDE,3,No
