SMILES,Name,Cluster,Center
CC(=O)c1c(O)ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c1CCc1ccc(O)cc1,10003029,4,No
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](NC(=O)OCc2ccc(NC(=O)O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)cc2)[C@H](O)[C@@H](C)O1,10011023,4,No
C[C@]12CC[C@H]3[C@H](CC[C@]4(O)C[C@H](O)CC[C@]34C=O)[C@@]1(O)CC[C@@H]2c1ccc(=O)oc1,10068,3,No
Cc1c(O)c(C)c2c(c1O)C(=O)C[C@@H](c1cc(O)ccc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)O2,10073779,4,No
COc1ccc(CCC(=O)c2c(O)cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]3O[C@@H]3O[C@@H](C)[C@H](O)[C@H](O)[C@@H]3O)cc2O)cc1O,100903516,4,No
COc1ccc(-c2cc(=O)c3c(O)c(OC)c(O[C@@H]4C[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3o2)cc1,100912296,1,No
O=C(O)C1=Cc2cc(O)c(O)cc2[C@@H](c2ccc(O)c(O/C(=C\c3ccc(O)c(O)c3)C(=O)O)c2)[C@@H]1C(=O)O,100918690,3,No
C[C@]1(O)[C@@H](O)C[C@H]2C(C(=O)O)=CO[C@@H](O[C@@H]3O[C@H](COC(=O)/C=C/c4ccc(O)cc4)[C@@H](O)[C@H](O)[C@H]3O)[C@H]21,100929805,0,No
CO[C@@H]1O[C@H](CC[C@@H]2O[C@H](CC[C@H]3O[C@H](CC[C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)[C@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O,100932010,0,No
COc1cc(C(=O)OC[C@@]2(O)CO[C@@H](OC[C@H]3O[C@@H](Oc4ccc(O)cc4)[C@H](O)[C@@H](O)[C@@H]3O)[C@@H]2O)cc(OC)c1O,100953222,4,No
COc1cccc2c1C(=O)c1c(O)c3c(c([O-])c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](NC(=O)OCc2ccc(NC(=O)O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)cc2)[C@H](O)[C@@H](C)O1,100959109,4,No
CO[C@H]1c2ccccc2[C@@H](O)[C@@H](O)[C@@H]1O[C@@H]1c2ccccc2[C@@H](O)[C@H](O)[C@H]1O,100959657,4,No
CC(=O)NN1C(=O)c2c(c3c4cccc(O)c4n([C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c3c3[nH]c4c(O)cccc4c23)C1=O,100961769,2,No
