SMILES,Name,Cluster,Center
COC(=O)C[C@@H](c1ccccc1OCCc1ccc2c(c1)CCO2)c1c(O)cc(C)n(CCc2ccc(O)cc2)c1=O,100004566,0,No
COC(=O)C[C@H](c1ccc(F)c(F)c1)c1c(O)cc(C)n(CCc2ccc(O)cc2)c1=O,100017278,0,No
COc1cc(O[C@@H]2O[C@H](CO[C@@H]3OC[C@](O)(CO)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)ccc1O,10003020,3,No
CC(=O)c1c(O)ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c1CCc1ccc(O)cc1,10003029,3,No
C[C@H](O)CC(=O)O[C@H](C)Cc1cc(O)cc(O)c1C(=O)O[C@@H](C)CC(=O)O[C@@H]1COC(=O)C1,10004820,3,No
CC(=O)Oc1c(O)c(-c2ccc(O)cc2)c(OC(=O)C[C@H](C)O)c(O)c1-c1ccc(O)cc1,10049607,0,No
C[C@]12CC[C@H]3[C@H](CC[C@]4(O)C[C@H](O)CC[C@]34C=O)[C@@]1(O)CC[C@@H]2c1ccc(=O)oc1,10068,0,No
Cc1c(O)c(C)c2c(c1O)C(=O)C[C@@H](c1cc(O)ccc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)O2,10073779,3,No
[N-]=[N+]=NC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,10075655,2,No
COc1ccc(CCC(=O)c2c(O)cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]3O[C@@H]3O[C@@H](C)[C@H](O)[C@H](O)[C@@H]3O)cc2O)cc1O,100903516,3,No
COc1ccc(-c2cc(=O)c3c(O)c(OC)c(O[C@@H]4C[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3o2)cc1,100912296,1,No
COc1cc(O[C@@H]2O[C@H](COC(=O)c3cc(O)c(O)c(O)c3)[C@@H](O)[C@H](O)[C@H]2O)cc(OC)c1O,100916644,3,No
O=C(O)C1=Cc2cc(O)c(O)cc2[C@@H](c2ccc(O)c(O/C(=C\c3ccc(O)c(O)c3)C(=O)O)c2)[C@@H]1C(=O)O,100918690,0,No
COC(=O)CCCCCO[C@@H]1O[C@H](CO[C@@H]2O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]2O)[C@H](O[C@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](OCc2ccc(OC)cc2)[C@H]1OC(=O)CCl,100922023,3,No
C[C@]1(O)[C@@H](O)C[C@H]2C(C(=O)O)=CO[C@@H](O[C@@H]3O[C@H](COC(=O)/C=C/c4ccc(O)cc4)[C@@H](O)[C@H](O)[C@H]3O)[C@H]21,100929805,2,No
CO[C@@H]1O[C@H](CC[C@@H]2O[C@H](CC[C@H]3O[C@H](CC[C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)[C@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O,100932010,2,No
CN[C@@H]1[C@@H](O)[C@@H](O[C@H]2[C@H](N)C[C@H](N)[C@@H](O[C@H]3OC(CN)=CC[C@H]3N)[C@H]2O)OC[C@]1(C)O,10095151,2,No
COc1cc(C(=O)OC[C@@]2(O)CO[C@@H](OC[C@H]3O[C@@H](Oc4ccc(O)cc4)[C@H](O)[C@@H](O)[C@@H]3O)[C@@H]2O)cc(OC)c1O,100953222,3,No
CO[C@H]1c2ccccc2[C@@H](O)[C@@H](O)[C@@H]1O[C@@H]1c2ccccc2[C@@H](O)[C@H](O)[C@H]1O,100959657,3,No
COc1c(O[C@@H]2O[C@@H](CO[C@@H]3OC[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)cc2occ(-c3ccc(O)cc3)c(=O)c2c1O,100968221,1,No
O=[N+]([O-])c1ccccc1O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]1O,101010990,3,No
COc1cc(C(=O)OC[C@H]2O[C@@H](Oc3ccc(O)c4c3[C@@H](O)CCC4=O)[C@H](O)[C@@H](O)[C@@H]2O)cc(OC)c1O,101012983,3,No
Nc1ccccc1C(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO[C@]3(C(=O)O)C[C@H](O)[C@@H](N)[C@H]([C@H](O)[C@H](O)CO)O3)[C@H](O)[C@H](O)[C@H]2O)[C@@H]1O,101022218,2,No
COc1cc(Sc2c(O)ccc3ccccc23)c(O)cc1Sc1c(O)ccc2ccccc12,101082615,0,No
CO[C@]1(C)C[C@H]([C@@H](C)[C@@]2(O)CC[C@H]3[C@@H]4CC=C5CC=CC(=O)[C@]5(C)[C@H]4CC[C@@]32C)O[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@]1(C)O,101095333,2,No
COC(=O)c1cc(O)ccc1NC(=O)c1cc(O)ccc1O[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O,101131591,3,No
OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](OC[C@H]3O[C@H](O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@H](O)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,101194539,2,No
O=C1CC([C@@H]2Oc3cc(O)cc(O)c3C[C@@H]2O)=Cc2c([C@H]3Oc4cc(O)cc(O)c4C[C@H]3O)cc(O)c(O)c2C1=O,10120485,3,No
C=C(CCC=C(C)C)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@H]3CC[C@]12C,10123241,2,No
O=[N+]([O-])c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O[C@@H]3OC[C@@H](O[C@@H]4OC[C@@H](O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)cc1,101384608,3,No
COc1ccc(-c2cc(=O)c3c(O)cc(O)c([C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c3o2)cc1O,101387091,1,No
COc1ccc(-c2cc(=O)c3c(O)cc(O)c([C@@H]4O[C@H](CO)[C@@H](O[C@@H]5OC[C@H](O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)c3o2)cc1O,101387093,1,No
CCCCCCCCCCCC(=O)OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]1O,101387703,2,No
OC[C@H]1O[C@H](OC[C@H]2O[C@H](Oc3ccccc3)[C@@H](O)[C@@H](O)[C@@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O,101397548,3,No
CO[C@@H]1O[C@H](C(=O)[O-])[C@@H](O[C@H]2O[C@H](COS(=O)(=O)[O-])[C@@H](O)[C@H](O)[C@H]2NS(=O)(=O)[O-])[C@H](O)[C@H]1O,101400904,2,No
CO[C@@H]1O[C@H](C(=O)O)[C@@H](O[C@H]2O[C@H](COS(=O)(=O)O)[C@@H](O)[C@H](O)[C@H]2NS(=O)(=O)O)[C@H](O)[C@H]1O,101400905,2,No
O=C(/C=C/c1cc(O)cc(O)c1)O[C@H]1[C@H](OC(=O)c2ccc(O)cc2)[C@@H](CO[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)O[C@@]1(CO)OC(=O)c1ccc(O)cc1,101405809,3,No
Cc1cc(O)c2c(c1)C(=O)c1cccc(O[C@@H]3O[C@H](CO[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)c1C2=O,101422396,3,No
Cn1ccc(C(=O)NCCNCCN(CCNCCNC(=O)c2ccn(C)c(=O)c2O)C(=O)c2ccc(C(=O)NCCO)c(O)c2O)c(O)c1=O,101422519,0,No
CC(=O)OCC1=C[C@H](O)[C@@H]2C(C(=O)O)=CO[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H]12,101424433,2,No
Cc1cn([C@H]2C[C@H](O)[C@@H](CO[P@](=O)(O)O[P@@](=O)(O)O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)O2)c(=O)[nH]c1=O,10144419,4,No
C[C@@H](O)/C=C/[C@@H]1C(CO[C@@H]2O[C@@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=CC(=O)CC1(C)C,101449894,2,No
Cc1cc(O)cc(O)c1C(=O)CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,101458349,3,No
O=C(/C=C/c1ccc(O)cc1)O[C@@H]1C[C@@](O)(CO)[C@@H]2[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)OC=C[C@H]12,101458517,2,No
COc1cc(O)ccc1O[C@@H]1O[C@H](COC(=O)/C=C(C)\C=C\[C@]2(O)[C@]3(C)C[C@H](O)C[C@@]2(C)OC3=O)[C@@H](O)[C@H](O)[C@H]1O,101502005,3,No
CCCCCCCCCCCCO[C@@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,101516684,2,No
O=C(/C=C\c1ccc(O)cc1)OC[C@@]1(O)CO[C@H](O[C@H]2[C@H](Oc3cc4c(O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)cc(O)cc4[o+]c3-c3ccc(O)c(O)c3)OC[C@@H](O)[C@@H]2O)[C@@H]1O,101525349,1,No
O=c1c([C@H]2OC[C@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,101585379,1,No
Cc1ccc(O)c(Cc2cc(C)cc(Cc3cc(C)cc(-c4cc(C)ccc4O)c3O)c2O)c1,101594261,0,No
CC(C)C(=O)NC[C@H]1O[C@H](O[C@H]2[C@H](N)C[C@H](N)[C@@H](O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3N)[C@@H]2O)C[C@@](N)(O)[C@@H]1O,101596089,2,No
O=C(C[C@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)c1ccccc1,10160690,3,No
C=C1[C@@H]2C[C@H](O)C(C)(C)[C@@](O)(O2)[C@@H](O)C[C@]23C[C@](C)(O)[C@H](CC[C@@H]12)[C@H]3O,101614929,2,No
O=C(/C=C/c1ccc(O)cc1)OC[C@H]1O[C@@H]([C@H]2c3cccc(O)c3C(=O)c3c(O)cc(CO)cc32)[C@H](O)[C@@H](O)[C@@H]1O,101629131,3,No
CC1=C[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H]2O)NC1=O,101630363,2,No
CO[C@@H]1[C@@H]2OC(=O)[C@@H]([C@@H]2C(C)C)[C@]2(O)[C@H]3O[C@H]3[C@]3(C[C@@H]([C@H](C)O)C(=O)O3)[C@]12C,101630476,2,No
C=C[C@](C)(O)CC/C=C(\C)C(=O)OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,101643006,3,No
C[C@H]1O[C@@H](O[C@H]2CC[C@]3(C=O)[C@H]4C[C@@H](O)[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@@H](O)[C@@H]1O,101650324,2,No
O=C(O[C@H]1[C@H](Oc2ccc(O)cc2CO)O[C@H](COC(=O)[C@H]2C=CCC2)[C@@H](O)[C@@H]1O)[C@@H]1C=CCC1,101667568,3,No
O=C(OC[C@@H]1O[C@H](Oc2ccc(O)cc2COC(=O)[C@@]2(O)C=CCCC2=O)[C@@H](OC(=O)[C@@H]2C=CCC2)[C@H](O)[C@H]1O)[C@@H]1C=CCC1,101667569,3,No
O=[N+]([O-])c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)cc1,101672193,3,No
O=C(C[C@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,10168412,2,No
O=[N+]([O-])c1ccc(O[C@@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)cc1,101712413,3,No
COc1ccc2oc3c([C@H]4O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]4O)c(O)cc(O)c3c(=O)c2c1,101740055,1,No
COc1cc(/C=C/C(=O)O[C@H]2[C@H](c3c(O)cc(O)c4c(=O)cc(-c5ccc(O)c(O)c5)oc34)O[C@H](CO)[C@@H](O)[C@@H]2O)ccc1O,101740945,1,No
CCOc1cc(NC(=O)OC(C)C)cc(SC[C@H](O)C(=O)O)c1O[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O,101750170,3,No
CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O[C@@H]2O[C@@H](C)[C@@H](O)[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H]2O)[C@@H]1O,101753899,2,No
CC(C)CCc1cc(O)cc(O)c1C(=O)c1c(O)cc(O)cc1Cc1cc(O)cc(=O)o1,101769338,0,No
CCCCc1cc(O)cc(O)c1C(=O)c1c(O)cccc1Cc1cc(O)cc(=O)o1,101769341,0,No
