SMILES,Name,Cluster,Center
COC(=O)C[C@H](c1ccc(F)c(F)c1)c1c(O)cc(C)n(CCc2ccc(O)cc2)c1=O,100017278,2,No
C[C@H](O)CC(=O)O[C@H](C)Cc1cc(O)cc(O)c1C(=O)O[C@@H](C)CC(=O)O[C@@H]1COC(=O)C1,10004820,2,No
C[C@H](NC(=O)c1cc(O)c(C(=O)N[C@@H](C)[C@H](O)c2ccccc2)cc1O)[C@H](O)c1ccccc1,100917244,2,No
O=C(O)C1=Cc2cc(O)c(O)cc2[C@@H](c2ccc(O)c(O/C(=C\c3ccc(O)c(O)c3)C(=O)O)c2)[C@@H]1C(=O)O,100918690,5,No
C[C@]1(O)[C@@H](O)C[C@H]2C(C(=O)O)=CO[C@@H](O[C@@H]3O[C@H](COC(=O)/C=C/c4ccc(O)cc4)[C@@H](O)[C@H](O)[C@H]3O)[C@H]21,100929805,3,No
CO[C@@H]1O[C@H](CC[C@@H]2O[C@H](CC[C@H]3O[C@H](CC[C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)[C@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O,100932010,3,No
COc1cc(C(=O)OC[C@@]2(O)CO[C@@H](OC[C@H]3O[C@@H](Oc4ccc(O)cc4)[C@H](O)[C@@H](O)[C@@H]3O)[C@@H]2O)cc(OC)c1O,100953222,0,No
CCCCCCCCCCCCCCC(CCCCCCCCCCCCCC)CO[C@@H]1O[C@H](CO[C@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,100984259,3,No
COc1cc(C(=O)OC[C@H]2O[C@@H](Oc3ccc(O)c4c3[C@@H](O)CCC4=O)[C@H](O)[C@@H](O)[C@@H]2O)cc(OC)c1O,101012983,0,No
CO[C@]1(C)C[C@H]([C@@H](C)[C@@]2(O)CC[C@H]3[C@@H]4CC=C5CC=CC(=O)[C@]5(C)[C@H]4CC[C@@]32C)O[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@]1(C)O,101095333,3,No
O=C(O)CC[C@@H](NC(=O)[C@@H]1CC(=O)OC[C@H]2O[C@@H](C(=O)N[C@H](CO)C(=O)N1)[C@@H](O)[C@H](O)[C@@H]2O)C(=O)O,101120878,1,No
CC(=O)N[C@@H]1[C@H](Oc2ccc([N+](=O)[O-])cc2)O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO[C@]3(C(=O)O)C[C@H](O)[C@H](NC(C)=O)[C@@H]([C@H](O)[C@H](O)CO)O3)[C@@H](O)[C@H](O)[C@@H]2O)[C@H]1O,101136805,0,No
COc1cc(O[C@@H]2O[C@H](COCc3cc(OC)c(O)c(OC)c3)[C@@H](O)[C@H](O)[C@H]2O)ccc1O,101146605,0,No
O=C1[C@@H](O)[C@H](CO[C@H]2CCCCc3ccc(cc3)Oc3cc(ccc3O)CC2)O[C@H](CO[C@H]2OC[C@@](O)(CO)[C@H]2O)[C@@H]1O,101158011,0,No
OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](OC[C@H]3O[C@H](O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@H](O)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,101194539,3,No
Cc1cc(O)c2c(c1)C[C@@H](O)C1=C2C(=O)c2c(O)ccc(O[C@H]3C[C@@H](O)[C@@H](O[C@@H]4C[C@H](O[C@H]5CC[C@@H](O)[C@@H](C)O5)[C@H](O)[C@@H](C)O4)[C@@H](C)O3)c2C1=O,101245666,0,No
Cc1cc(O)cc(-c2cc(O)ccc2O)c1C,101299419,2,No
CCc1cc(O)cc(-c2cc(O)ccc2O)c1CC,101303251,2,No
C#CCCCCCCCCC(=O)OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,101379872,0,No
CCCCCCCCCCCC(=O)OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]1O,101387703,3,No
COc1cc(C(=O)[C@H](O)CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc(OC)c1O,101395141,0,No
OC[C@H]1O[C@H](OC[C@H]2O[C@H](Oc3ccccc3)[C@@H](O)[C@@H](O)[C@@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O,101397548,0,No
O=C(Nc1ccccc1)N1CCC(Sc2ccc(CCNC[C@H](O)COc3ccc(O)cc3)cc2)CC1,10142809,5,No
Cc1cn([C@H]2C[C@H](O)[C@@H](CO[P@](=O)(O)O[P@@](=O)(O)O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)O2)c(=O)[nH]c1=O,10144419,4,No
O=C(/C=C/c1ccc(O)cc1)O[C@@H]1C[C@@](O)(CO)[C@@H]2[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)OC=C[C@H]12,101458517,3,No
COc1cc(O)ccc1O[C@@H]1O[C@H](COC(=O)/C=C(C)\C=C\[C@]2(O)[C@]3(C)C[C@H](O)C[C@@]2(C)OC3=O)[C@@H](O)[C@H](O)[C@H]1O,101502005,0,No
O=C(/C=C\c1ccc(O)cc1)OC[C@@]1(O)CO[C@H](O[C@H]2[C@H](Oc3cc4c(O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)cc(O)cc4[o+]c3-c3ccc(O)c(O)c3)OC[C@@H](O)[C@@H]2O)[C@@H]1O,101525349,0,No
C=C[C@@](C)(O)CC/C=C(\C)C(=O)OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,101542615,0,No
CCCCCCCCC[C@@H](O)CCCC(=O)N[C@H](C(=O)N[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](Cc1ccc(O)cc1)C(=O)N[C@H](C(=O)O)C(C)C)[C@H](C)O,101552530,1,No
Cc1ccc(O)c(Cc2cc(C)cc(Cc3cc(C)cc(-c4cc(C)ccc4O)c3O)c2O)c1,101594261,2,No
O=C(/C=C/c1ccc(O)cc1)OC[C@H]1O[C@@H]([C@H]2c3cccc(O)c3C(=O)c3c(O)cc(CO)cc32)[C@H](O)[C@@H](O)[C@@H]1O,101629131,0,No
C=C[C@](C)(O)CC/C=C(\C)C(=O)OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,101643006,0,No
O=C(O[C@H]1[C@H](Oc2ccc(O)cc2CO)O[C@H](COC(=O)[C@H]2C=CCC2)[C@@H](O)[C@@H]1O)[C@@H]1C=CCC1,101667568,0,No
O=C(C[C@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,10168412,3,No
C/C(=C/Cc1cc(O[C@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)c(C)c(C)c1O)CC/C=C(\C)CC/C=C(\C)CCC(=O)O,101709357,0,No
O=[N+]([O-])c1ccc(O[C@@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)cc1,101712413,0,No
CCCCc1cc(O)cc(O)c1C(=O)c1c(O)cccc1Cc1cc(O)cc(=O)o1,101769341,2,No
CC1=CC(=O)CC(C)(C)[C@]1(O)/C=C/[C@H](C)O[C@@H]1O[C@H](CO[C@@H]2O[C@@H](CO)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O,101803816,3,No
CCCCCCCCCCCC(=O)OC[C@H]1O[C@H](Oc2cc(O)c3c(c2)O[C@@H](c2ccc(O)cc2)CC3=O)[C@H](O)[C@@H](O)[C@@H]1O,101808655,0,No
CCCCCCCCCCCCCC/C=C/C(=O)C1=[N+](C[C@H](O)CS(=O)(=O)[O-])CCN1CCO,101828966,5,No
CCCCCCCCCCCCCC/C=C/C(=O)C1=[N+](C[C@H](O)CS(=O)(=O)O)CCN1CCO,101828967,5,No
COc1ccc(/C=C/C(=O)OC[C@@H]2O[C@@H](Oc3cc(O)c4c(c3)O[C@@H](c3ccc(O)c(O)c3)CC4=O)[C@@H](O)[C@H](O)[C@H]2O)cc1O,101843643,0,No
CO[C@H]1CC(=O)C=C[C@]1(O)/C=C/C(=O)OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,101881015,0,No
O=C(NC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O)c1ccc2cccc(O)c2n1,101908978,3,No
O=C(OC[C@@H]1O[C@H](Oc2ccc(O)cc2COC(=O)[C@]2(O)[C@@H](O)C=CC(=O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)c1ccccc1,101930166,0,No
O=C(OC[C@H]1O[C@@H](Oc2ccc(O)cc2COC(=O)[C@@]2(O)[C@H](O)C=CC(=O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1OC(=O)c1ccccc1)c1ccccc1,101930169,0,No
O=C(Cc1ccccc1C(=O)OCc1cc(O)ccc1O[C@H]1O[C@@H](COC(=O)c2ccccc2)[C@H](O)[C@@H](O)[C@@H]1O)c1ccccc1,101930400,0,No
O=C(OC[C@@H]1O[C@H](Oc2ccc(O)cc2CO)[C@@H](OC/C=C/c2ccc(O)cc2)[C@H](O)[C@H]1O)c1ccccc1,101930401,0,No
OC[C@]1(O)CO[C@H](OC[C@@H]2O[C@H](OCCc3ccccc3)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]1O,101936057,3,No
C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@H](/C=N\OCCN)CC[C@]12O,102023221,3,No
OC[C@H]1O[C@H](Oc2cc([C@@H]3Oc4cc(O)cc(O)c4C[C@@H]3O)ccc2O)[C@@H](O)[C@H](O)[C@@H]1O,102026326,0,No
O=C(O)/C=C/c1ccc(O)c(O[C@@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)c1,102042851,0,No
O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O,102068586,0,No
O=C(/C=C/c1ccccc1)OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,102091069,0,No
Cc1cn(CC(=O)NCCCC[C@H](N)C(=O)NC[C@H]2OC[C@](N)(O[C@@H]3[C@@H](N)C[C@@H](N)[C@H](O)[C@H]3O)[C@@H](O)[C@@H]2O)c(=O)[nH]c1=O,102111893,4,No
Nc1ncnc2c1ncn2CC(=O)NCCCC[C@@H](N)C(=O)NC[C@H]1OC[C@](N)(O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,102111894,4,No
O=C[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO[C@@H]1O[C@@H](CO[C@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O,102123492,3,No
COc1ccc2cc3[n+](cc2c1OC)CCc1cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1-3,102128787,0,No
COc1cc(C(=O)O[C@H]2[C@H](Oc3ccc(O)cc3[C@@H]3CC(=O)c4c(cc(O)c(OC)c4O)O3)O[C@H](CO)[C@@H](O)[C@@H]2O)ccc1O,102155803,0,No
O=c1ccc2ccc(O[C@@H]3O[C@H](CO[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)cc2o1,102244728,0,No
COc1ccc(S(=O)(=O)N2CCC(CNC[C@H](O)COc3ccc(O)cc3)CC2)cc1,10225870,5,No
COc1ccc([C@H]2Oc3cc(O[C@H]4O[C@H](CO)[C@@H](O)[C@@H](OC(C)=O)[C@@H]4O)cc(O)c3C(=O)[C@@H]2O)cc1,102263111,0,No
O=C(OC[C@H]1O[C@@H](Oc2ccc(O)cc2COC(=O)[C@@]2(O)[C@H](O)C=CC(=O)[C@@H]2O)[C@H](OC(=O)c2ccccc2)[C@@H](O)[C@@H]1O)c1ccccc1,102276951,0,No
C[C@@](O)(P(=O)(O)O)[P@](=O)(O)O[P@@](=O)(O)OC[C@H]1O[C@@H](n2cc(F)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O,10230186,4,No
Cc1cn([C@@H]2C[C@H](O)[C@@H](CO[P@@](=O)(O)O[P@](=O)(O)O[C@H]3O[C@H](C)[C@@H](N)[C@H](O)[C@H]3O)O2)c(=O)[nH]c1=O,10230851,4,No
