SMILES;Name;Cluster;Center
CCCN1CO[C@@H]2[C@@H](C)[C@@H]1[C@H](C)C[C@@](C)(O)[C@H](O[C@@H]1O[C@@H](C)C[C@@H](N(C)C)[C@@H]1O)[C@@H](C)[C@H](O[C@H]1C[C@](C)(OC)[C@H](O)[C@@H](C)O1)[C@@H](C)C(=O)O[C@H](CC)[C@@]2(C)O;CHEMBL104878;0;No
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@@H]2C[C@](C)(OC)[C@H](O)[C@@H](C)O2)[C@@H](C)[C@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)[C@H](NCc2ccccc2)[C@H](C)[C@@H](O)[C@]1(C)O;CHEMBL104879;0;No
CC[C@H]1OC(=O)[C@@H](C)[C@@H](OCC(=O)NCc2ccc(F)cc2)[C@H](C)[C@@H](O[C@H]2O[C@@H](C)C[C@@H](N(C)C)[C@@H]2O)[C@@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O;CHEMBL1076779;0;No
CC[C@@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](OC(=O)CCNCC(=O)Nc3ccc4ccccc4c3)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)NC(=O)[C@H](C)[C@@H](O)[C@]1(C)O;CHEMBL1085472;0;No
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@](C)(O)C[C@H](C)[C@@H](N(C)C)[C@H](C)[C@@H](O)[C@@]1(O)CO;CHEMBL113874;0;No
CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@H]2O[C@H](C)C[C@@H](N(C)C)[C@@H]2O)[C@](C)(OC[C@@H](O)CNCCCCc2cccnc2)C[C@@H](C)NC(=O)[C@H](C)[C@@H](O)[C@]1(C)O;CHEMBL1215831;0;No
CC[C@@H]1OC(=O)[C@@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC[C@@H](O)CNCCCCc2ccccn2)C[C@@H](C)NC(=O)[C@@H](C)[C@@H](O)[C@]1(C)O;CHEMBL1215832;0;No
CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC[C@H](O)CNc2ccc3ncccc3c2)C[C@@H](C)NC(=O)[C@@H](C)[C@@H](O)[C@]1(C)O;CHEMBL1215839;0;No
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](OC(=O)CCCCOCCCc3ccc4c(c3)c(=O)c(C(=O)O)cn4CC)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@](C)(O)C[C@H](C)CN(C)[C@@H](C)[C@@H](O)[C@]1(C)O;CHEMBL1222514;0;No
CC[C@H]1OC(=O)[C@@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](OCCCOCCCc3cc4c5c(c3)c(=O)c(C(=O)O)cn5C(C)(C)OC4)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O;CHEMBL1224009;0;No
CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@H]2O[C@@H](C)C[C@@H](N(C)C)[C@@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@@H](C)[C@@H]2N(NCCCc3ccnc4ccccc34)C(=O)O[C@@]21C;CHEMBL1255848;0;No
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@H]2O[C@H](C)C[C@H](N(C)C3CCC3)[C@@H]2O)[C@](C)(O)C[C@@H](C)[C@H](O)[C@H](C)[C@@H](O)[C@]1(C)O;CHEMBL1256539;0;No
