Compound;SMILES;Cluster;Center;Smiles;RMSD;Model.ID;Energy;nRot
CHEMBL101537;C[C@H](NC(=O)[C@@H](O)c1cc(F)cc(F)c1)C(=O)N[C@H](CO)CC1CCCCC1;3;No;C[C@@H](C(=O)N[C@H](CO)CC1CCCCC1)NC(=O)[C@H](c1cc(cc(c1)F)F)O;0.058263782;1;-10.8;8
CHEMBL1075849;O=C(Nc1ccccc1)[C@H](CO)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CO)NC(=O)[C@@H](Br)[C@H](Br)c1ccc(F)cc1;3;No;O=C([C@H]([C@@H](c1ccc(cc1)F)Br)Br)N[C@@H](CO)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CO)C(=O)Nc1ccccc1;0.123400785;1;-10.5;14
CHEMBL1075911;C[C@@H]1O[C@@H](Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)[C@@H](OC(=O)/C=C/c2ccc(O)cc2)[C@H](OC(=O)/C=C\c2ccc(O)cc2)[C@H]1O;1;No;c1(cc(c2c(c1)oc(c(c2=O)O[C@H]1[C@H]([C@@H]([C@H]([C@H](C)O1)O)OC(=O)/C=C\c1ccc(cc1)O)OC(=O)/C=C/c1ccc(cc1)O)c1ccc(cc1)O)O)O;0.109556839;1;-10.5;13
CHEMBL1076022;NCCCC[C@H](NC(=O)CCc1ccccc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CO)C(=O)NCc1cccc(F)c1;3;No;NCCCC[C@H](NC(=O)CCc1ccccc1)C(=O)N[C@@H](Cc1nc[nH]c1)C(=O)N[C@@H](CO)C(=O)NCc1cccc(c1)F;0.122487396;1;-9.9;18
CHEMBL1076758;COc1cc2ccc(=O)oc2cc1O[C@@H]1O[C@H](CO[C@@H]2OC[C@](O)(COC(=O)c3cc(OC)c(O)c(OC)c3)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O;0;No;COc1cc2ccc(=O)oc2cc1O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO[C@H]2[C@@H]([C@](CO2)(COC(=O)c2cc(c(c(c2)OC)O)OC)O)O)O1)O)O)O;0.114378899;1;-10.2;12
CHEMBL1076759;COc1cc2ccc(=O)oc2cc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1OC[C@](O)(COC(=O)c2cc(OC)c(O)c(OC)c2)[C@H]1O;0;No;COc1cc2ccc(=O)oc2cc1O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O[C@H]1[C@@H]([C@](CO1)(COC(=O)c1cc(c(c(c1)OC)O)OC)O)O;0.081995592;1;-10;12
CHEMBL1076763;COc1cc(C(=O)OC[C@@]2(O)CO[C@@H](OC[C@H]3O[C@@H](O[C@@H](O)/C=C/[C@@]4(O)[C@H](C)C[C@H](O)CC4(C)C)[C@H](O)[C@@H](O)[C@@H]3O)[C@@H]2O)cc(OC)c1O;0;No;COc1cc(C(=O)OC[C@]2(CO[C@H]([C@@H]2O)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)O[C@H](/C=C/[C@]2([C@H](C)C[C@@H](CC2(C)C)O)O)O)O)O)O)O)cc(c1O)OC;0.094271816;1;-10.5;14
CHEMBL1077014;O=C(/C=C/c1ccccc1)OC[C@@]1(O)CO[C@@H](O[C@H]2[C@H](Oc3cc(O)c4c(c3)O[C@H](c3ccc(O)c(O)c3)CC4=O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@@H]1O;0;No;C(=O)(/C=C/c1ccccc1)OC[C@@]1([C@H]([C@H](O[C@H]2[C@H](Oc3cc(c4c(c3)O[C@@H](CC4=O)c3ccc(c(c3)O)O)O)O[C@@H]([C@H]([C@@H]2O)O)CO)OC1)O)O;0.090825811;1;-10.8;12
CHEMBL1077226;COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]2[C@@H]1C=C[C@@]21C=C([C@H](O)c2ccc(O)cc2)C(=O)O1;2;No;COC(=O)C1=CO[C@H]([C@H]2[C@@H]1C=C[C@]12C=C([C@@H](c2ccc(cc2)O)O)C(=O)O1)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O;0.110401362;1;-10.5;7
CHEMBL1077833;O=C(/C=C/c1ccc(O)c(O)c1)O[C@H]1[C@H](O)[C@@H](O[C@@H]2OC[C@](O)(CO)[C@H]2O)[C@H](OCCc2ccc(O)c(O)c2)O[C@@H]1CO;2;No;c1(c(ccc(c1)/C=C/C(=O)O[C@H]1[C@@H]([C@H]([C@@H](O[C@@H]1CO)OCCc1ccc(c(c1)O)O)O[C@H]1[C@@H]([C@](CO1)(CO)O)O)O)O)O;0.103443459;1;-11.6;13
CHEMBL1077923;O=C(/C=C/c1ccc(O)c(O)c1)O[C@H]1[C@H](O[C@@H]2OC[C@@](O)(CO)[C@H]2O)[C@@H](O[C@@H]2OC[C@@](O)(CO)[C@H]2O)[C@H](OCCc2ccc(O)c(O)c2)O[C@@H]1CO;2;No;c1(c(ccc(c1)/C=C/C(=O)O[C@H]1[C@@H]([C@H]([C@@H](O[C@@H]1CO)OCCc1ccc(c(c1)O)O)O[C@H]1[C@@H]([C@@](CO1)(CO)O)O)O[C@H]1[C@@H]([C@@](CO1)(CO)O)O)O)O;0.098743774;1;-10.5;16
CHEMBL1078643;CC(C)(O)[C@H]1CC=C(C(=O)OC[C@@H]2O[C@H](Oc3c(O)cc(C(=O)O)cc3O)[C@@H](O)[C@H](O)[C@H]2O)CC1;0;No;CC(C)([C@H]1CC=C(C(=O)OC[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)Oc2c(cc(C(=O)O)cc2O)O)O)O)O)CC1)O;0.080620199;1;-11.9;8
CHEMBL1079684;COC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CO)NC(=O)/C=C/c1ccc(F)cc1;3;No;COC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CO)NC(=O)/C=C/c1ccc(cc1)F;0.10352917;1;-9.8;14
CHEMBL1081765;O=C(/C=C/c1ccc(F)cc1)N[C@@H](CO)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CO)C(=O)N1CCOCC1;3;No;O=C(/C=C/c1ccc(cc1)F)N[C@@H](CO)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CO)C(=O)N1CCOCC1;0.092412941;1;-10.6;13
CHEMBL1082561;O=C(/C=C/c1ccccc1)OC[C@@]1(O)CO[C@@H](O[C@@H]2[C@H](O)[C@@H](OCc3ccccc3)O[C@H](CO)[C@H]2O)[C@@H]1O;2;No;O=C(OC[C@@]1(O)CO[C@@H](O[C@H]2[C@H](O)[C@H](O[C@H](OCc3ccccc3)[C@H]2O)CO)[C@@H]1O)/C=C/c1ccccc1;0.03869006;1;-10.3;12
CHEMBL1083260;O=c1ccn([C@@H]2O[C@H](CO[P@](=O)(O)O[P@@](=O)(O)O[P@](=O)(O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1;2;No;O=c1ccn([C@@H]2O[C@H](CO[P@](=O)(O)O[P@@](=O)(O)O[P@](=O)(O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1;0.083980784;1;-9.8;11
CHEMBL1083808;O=C1C[C@@H](c2ccccc2)Oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c21;0;No;O=C1C[C@H](Oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c12)c1ccccc1;0.116755262;1;-11;4
CHEMBL1085448;O=C1c2ccccc2C(=O)c2c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc(O)c21;0;No;O=C1c2ccccc2C(=O)c2c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc(O)c12;0.047820672;1;-10.7;3
CHEMBL1086949;C[C@H](CCc1ccc(O)cc1)O[C@H]1O[C@H](COC(=O)C[C@@](C)(O)CC(=O)O)[C@@H](O)[C@H](O)[C@H]1O;2;No;C[C@H](CCc1ccc(cc1)O)O[C@@H]1[C@@H]([C@H]([C@@H]([C@@H](COC(=O)C[C@](C)(CC(=O)O)O)O1)O)O)O;0.065283045;1;-9.9;12
CHEMBL1087542;CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O;2;No;CN[C@@H]1[C@H]([C@@H](O[C@H]2[C@@H](C[C@@H]([C@H]([C@@H]2O)O[C@@H]2[C@@H](CC[C@@H](CN)O2)N)N)N)OC[C@]1(C)O)O;0.117950447;1;-10.3;6
CHEMBL1088198;C[C@@H](/C=C/[C@]1(O)[C@]2(C)CO[C@@]1(C)CC(=O)C2)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O;2;No;C[C@@H](/C=C/[C@@]1([C@]2(C)CO[C@@]1(C)CC(=O)C2)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O;0.111354992;1;-10.5;6
CHEMBL1088522;CC(C)=C[C@H]1OC(=O)/C(=C\CO[C@@H]2O[C@H](COC(=O)/C=C/c3ccc(O)c(O)c3)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]1O;2;No;CC(=C[C@@H]1[C@H](/C(=C/CO[C@H]2[C@@H]([C@H]([C@@H]([C@@H](COC(=O)/C=C/c3ccc(c(c3)O)O)O2)O)O)O)/C(=O)O1)O)C;0.116315179;1;-10.3;12
CHEMBL1088763;COc1cccc(OC(=O)c2cc(O)c(O)c(O)c2)c1OC(=O)c1cc(O)c(O)c(O)c1;0;No;COc1cccc(c1OC(=O)c1cc(c(c(c1)O)O)O)OC(=O)c1cc(c(c(c1)O)O)O;0.111863621;1;-10.5;7
CHEMBL108952;C[C@@H](O)[C@@H](NC(=O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)CCCN=C(N)N)C(=O)N[C@H](CO)c1ccccc1;3;No;C[C@H]([C@H](C(=O)N[C@H](CO)c1ccccc1)NC(=O)[C@H](Cc1ccc(cc1)[N+](=O)[O-])NC(=O)CCCN=C(N)N)O;0.096022762;1;-10;15
CHEMBL1090384;COc1cccc(OC(=O)c2cc(O)cc(O)c2)c1OC(=O)c1cc(O)cc(O)c1;0;No;COc1cccc(c1OC(=O)c1cc(cc(c1)O)O)OC(=O)c1cc(cc(c1)O)O;0.115779303;1;-10.3;7
CHEMBL1091000;COc1ccccc1[C@H]1N[C@@](C)(COC(=O)CCC(=O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H]2C(=O)N(c3ccccc3)C(=O)[C@@H]12;3;No;COc1ccccc1[C@@H]1[C@H]2[C@@H]([C@](C)(COC(=O)CCC(=O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n3ccc(=O)[nH]c3=O)O)O)N1)C(=O)N(c1ccccc1)C2=O;0.112217896;1;-10.7;13
CHEMBL1091773;O=C(Oc1cccc(OC(=O)c2cc(O)cc(O)c2)c1OC(=O)c1cc(O)cc(O)c1)c1cc(O)cc(O)c1;0;No;O=C(Oc1cccc(OC(=O)c2cc(O)cc(O)c2)c1OC(=O)c1cc(O)cc(O)c1)c1cc(O)cc(O)c1;0.043123305;1;-10.8;9
CHEMBL1092944;C=C1C[C@]23C=CC(=O)[C@@](C)(CCC(=O)Nc4c(O)ccc(C(=O)O)c4O)[C@@H]2[C@@H](O)[C@H]1CC3;3;No;C=C1C[C@]23C=CC(=O)[C@@](C)(CCC(=O)Nc4c(ccc(C(=O)O)c4O)O)[C@@H]2[C@H]([C@H]1CC3)O;0.119089507;1;-11.4;5
CHEMBL1093282;O=C(Oc1cccc(OC(=O)c2cc(O)c(O)c(O)c2)c1OC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1;0;No;O=C(Oc1cccc(OC(=O)c2cc(O)c(O)c(O)c2)c1OC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1;0.070519805;1;-11.6;9
CHEMBL109330;COc1cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2c(O)c(C(C)=O)c(C)cc2c1;0;No;COc1cc(c2c(c(C(=O)C)c(C)cc2c1)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O;0.1017856;1;-10.5;5
CHEMBL1093535;Cc1c(O)c2c(c(C=O)c1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)OC[C@@H](Cc1ccc3c(c1)OCO3)C2=O;0;No;Cc1c(c2c(c(C=O)c1O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O)OC[C@@H](Cc1ccc3c(c1)OCO3)C2=O)O;0.062136203;1;-9.9;6
CHEMBL1094008;O=C(Oc1cccc(OC(=O)c2ccccc2O)c1OC(=O)c1ccccc1O)c1ccccc1O;0;No;O=C(Oc1cccc(OC(=O)c2ccccc2O)c1OC(=O)c1ccccc1O)c1ccccc1O;0.098156646;1;-11.9;9
CHEMBL1094659;CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CNC(=O)c1[nH]c(=O)[nH]c(=O)c1F)C(C)C)C(=O)N[C@H](Cc1ccccc1)[C@H](O)C(=O)Nc1cccc(-c2noc(=O)[nH]2)c1;3;No;CC(C)C[C@@H](C(=O)N[C@H](Cc1ccccc1)[C@@H](C(=O)Nc1cccc(c2noc(=O)[nH]2)c1)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CNC(=O)c1c(c(=O)[nH]c(=O)[nH]1)F)N;0.088185281;1;-11;18
