Compound;SMILES;Cluster;Center;Smiles;RMSD;Model.ID;Energy;nRot;;;;;;
CHEMBL104878;CCCN1CO[C@@H]2[C@@H](C)[C@@H]1[C@H](C)C[C@@](C)(O)[C@H](O[C@@H]1O[C@@H](C)C[C@@H](N(C)C)[C@@H]1O)[C@@H](C)[C@H](O[C@H]1C[C@](C)(OC)[C@H](O)[C@@H](C)O1)[C@@H](C)C(=O)O[C@H](CC)[C@@]2(C)O;0;No;CCCN1CO[C@@H]2[C@@H](C)[C@@H]1[C@H](C)C[C@](C)([C@@H]([C@@H](C)[C@@H]([C@@H](C)C(=O)O[C@H](CC)[C@@]2(C)O)O[C@H]1C[C@@](C)([C@@H]([C@@H](C)O1)O)OC)O[C@H]1[C@H]([C@@H](C[C@H](C)O1)N(C)C)O)O;0.045152407;1;-12.1;9;;;;;;
CHEMBL104879;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@@H]2C[C@](C)(OC)[C@H](O)[C@@H](C)O2)[C@@H](C)[C@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)[C@H](NCc2ccccc2)[C@H](C)[C@@H](O)[C@]1(C)O;0;No;CC[C@@H]1[C@@]([C@@H]([C@H]([C@H]([C@@H](C[C@@]([C@H]([C@@H]([C@@H]([C@H](C(=O)O1)C)O[C@@H]1C[C@@](C)([C@@H]([C@@H](C)O1)O)OC)C)O[C@H]1[C@@H]([C@H](C[C@@H](C)O1)N(C)C)O)(C)O)C)NCc1ccccc1)C)O)(C)O;0.112455048;1;-11.6;10;;;;;;
CHEMBL1076779;CC[C@H]1OC(=O)[C@@H](C)[C@@H](OCC(=O)NCc2ccc(F)cc2)[C@H](C)[C@@H](O[C@H]2O[C@@H](C)C[C@@H](N(C)C)[C@@H]2O)[C@@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O;0;No;CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@]([C@@H]([C@H]([C@@H]([C@@H](C(=O)O1)C)OCC(=O)NCc1ccc(cc1)F)C)O[C@@H]1[C@H]([C@@H](C[C@H](C)O1)N(C)C)O)(C)OC)C)C)O)(C)O;0.086572878;1;-11.4;10;;;;;;
CHEMBL1085472;CC[C@@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](OC(=O)CCNCC(=O)Nc3ccc4ccccc4c3)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)NC(=O)[C@H](C)[C@@H](O)[C@]1(C)O;0;No;CC[C@H]1[C@@]([C@@H]([C@H](C(=O)N[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]1C[C@](C)([C@H]([C@H](C)O1)OC(=O)CCNCC(=O)Nc1ccc2ccccc2c1)OC)C)O[C@H]1[C@@H]([C@H](C[C@@H](C)O1)N(C)C)O)(C)OC)C)C)O)(C)O;0.069503672;1;-11.6;16;;;;;;
CHEMBL113874;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@](C)(O)C[C@H](C)[C@@H](N(C)C)[C@H](C)[C@@H](O)[C@@]1(O)CO;0;No;CC[C@@H]1[C@@]([C@@H]([C@H]([C@@H]([C@H](C[C@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]1C[C@](C)([C@H]([C@H](C)O1)O)OC)C)O[C@H]1[C@@H]([C@H](C[C@@H](C)O1)N(C)C)O)(C)O)C)N(C)C)C)O)(CO)O;0.123359814;1;-12;9;;;;;;
CHEMBL1215831;CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@H]2O[C@H](C)C[C@@H](N(C)C)[C@@H]2O)[C@](C)(OC[C@@H](O)CNCCCCc2cccnc2)C[C@@H](C)NC(=O)[C@H](C)[C@@H](O)[C@]1(C)O;0;No;CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)N[C@@H](C[C@@]([C@@H]([C@H](C(=O)[C@H](C(=O)O1)C)C)O[C@@H]1[C@H]([C@@H](C[C@@H](C)O1)N(C)C)O)(C)OC[C@H](CNCCCCc1cccnc1)O)C)C)O)(C)O;0.106542714;1;-11;14;;;;;;
CHEMBL1215832;CC[C@@H]1OC(=O)[C@@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC[C@@H](O)CNCCCCc2ccccn2)C[C@@H](C)NC(=O)[C@@H](C)[C@@H](O)[C@]1(C)O;0;No;CC[C@H]1[C@@]([C@@H]([C@@H](C(=O)N[C@@H](C[C@@]([C@@H]([C@H](C(=O)[C@@H](C(=O)O1)C)C)O[C@H]1[C@@H]([C@H](C[C@@H](C)O1)N(C)C)O)(C)OC[C@H](CNCCCCc1ccccn1)O)C)C)O)(C)O;0.120235726;1;-11;14;;;;;;
CHEMBL1215839;CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC[C@H](O)CNc2ccc3ncccc3c2)C[C@@H](C)NC(=O)[C@@H](C)[C@@H](O)[C@]1(C)O;0;No;CC[C@@H]1[C@@]([C@@H]([C@@H](C(=O)N[C@@H](C[C@@]([C@@H]([C@H](C(=O)[C@H](C(=O)O1)C)C)O[C@H]1[C@@H]([C@H](C[C@@H](C)O1)N(C)C)O)(C)OC[C@@H](CNc1ccc2c(cccn2)c1)O)C)C)O)(C)O;0.093238413;1;-12.4;10;;;;;;
CHEMBL1222514;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](OC(=O)CCCCOCCCc3ccc4c(c3)c(=O)c(C(=O)O)cn4CC)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@](C)(O)C[C@H](C)CN(C)[C@@H](C)[C@@H](O)[C@]1(C)O;0;No;CC[C@@H]1[C@@]([C@@H]([C@H](C)N(C[C@H](C[C@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]1C[C@](C)([C@H]([C@H](C)O1)OC(=O)CCCCOCCCc1ccc2c(c1)c(=O)c(C(=O)O)cn2CC)OC)C)O[C@H]1[C@@H]([C@H](C[C@@H](C)O1)N(C)C)O)(C)O)C)C)O)(C)O;0.119152866;1;-11.1;20;;;;;;
CHEMBL1224009;CC[C@H]1OC(=O)[C@@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](OCCCOCCCc3cc4c5c(c3)c(=O)c(C(=O)O)cn5C(C)(C)OC4)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O;0;No;CC[C@@H]1[C@@]([C@@H]([C@@H](C)N(C[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@@H](C(=O)O1)C)O[C@H]1C[C@](C)([C@H]([C@H](C)O1)OCCCOCCCc1cc2c3c(c1)c(=O)c(C(=O)O)cn3C(C)(C)OC2)OC)C)O[C@H]1[C@@H]([C@H](C[C@@H](C)O1)N(C)C)O)(C)O)C)C)O)(C)O;0.095792554;1;-11.5;17;;;;;;
