Compound;SMILES;Cluster;Center;Smiles;rmsd;Model.ID;Energy;nRot
4-COUMAROYLQUINATE;O=C(/C=C\c1ccc(O)cc1)O[C@H]1C[C@@](O)(C(=O)[O-])C[C@@H](O)[C@@H]1O;0;No;[O-]C(=O)[C@@]1(O)C[C@@H](O)[C@H](O)[C@H](C1)OC(=O)/C=C\c1ccc(O)cc1;0.348040402;1;-9.7;5
5-O-INDOL-3-YLACETYL-MYO-ETCETERA;O=C(Cc1c[nH]c2ccccc12)O[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@@H](O)[C@H]2O)[C@@H](O)[C@@H](O)[C@@H](O)[C@H]1O;0;No;OC[C@H]1O[C@@H](O[C@H]2[C@H](OC(=O)Cc3c[nH]c4ccccc43)[C@H](O)[C@H](O)[C@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@@H]1O;0.194785953;1;-9.5;7
BENZYL-DESULFOGLUCOSINOLATE;OC[C@@H]1O[C@@H](S/C(Cc2ccccc2)=N/O)[C@H](O)[C@@H](O)[C@H]1O;0;No;OC[C@@H]1O[C@@H](S/C(/Cc2ccccc2)=N/O)[C@H](O)[C@@H](O)[C@H]1O;0.244870692;1;-8.5;5
CPD-10358;Oc1cc(O)c2c(c1)O[C@H](c1cc(O)c(O)c(O)c1)[C@@H](O)C2;0;No;O[C@H]1Cc2c(cc(O)cc2O)O[C@@H]1c1cc(O)c(O)c(O)c1;0.233609959;1;-8.3;1
CPD-1042;N#C[C@@H](O[C@@H]1O[C@@H](CO)[C@H](O)[C@H](O)[C@H]1O)c1ccc(O)cc1;0;No;N#C[C@@H](O[C@@H]1O[C@@H](CO)[C@H](O)[C@H](O)[C@H]1O)c1ccc(O)cc1;0.403241426;1;-8.3;4
CPD-1125;N#C[C@H](O[C@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@@H]1O)c1ccccc1;0;No;N#C[C@H](O[C@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@@H]1O)c1ccccc1;0.143045574;1;-8.6;7
CPD-1142;OCc1ccccc1O[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@@H]1O;0;No;O[C@@H]1[C@H](O)[C@H](O[C@H](CO)[C@@H]1O)Oc1ccccc1CO;0.059680246;1;-8.1;4
CPD-11590;O=C1c2c(O)cccc2[C@@H]([C@H]2O[C@@H](CO)[C@H](O)[C@H](O)[C@@H]2O)c2cc(CO)cc(O)c21;0;No;Oc1cc(CO)cc2[C@H]([C@H]3O[C@@H](CO)[C@H](O)[C@H](O)[C@@H]3O)c3cccc(O)c3C(=O)c12;0.107732005;1;-9.4;3
CPD-11941;Oc1cc(O)c2c(c1)O[C@@H](c1ccc(O)c(O)c1)C[C@H]2O;0;No;O[C@@H]1C[C@@H](Oc2cc(O)cc(O)c21)c1cc(O)c(O)cc1;0.23237446;1;-9.2;1
CPD-12038;O=C1/C(=C/Oc2ccc(O)cc2)Oc2cc(O)ccc21;0;No;Oc1ccc(cc1)O/C=C1\Oc2cc(O)ccc2C\1=O;0.205121264;1;-8.6;2
CPD-12447;O=C(CCc1ccc(O)cc1)c1c(O)cc([O-])cc1O[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O;0;No;[O-]c1cc(O)c(C(=O)CCc2ccc(O)cc2)c(c1)O[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O;0.166797847;1;-9.7;7
CPD-13354;OC[C@H]1O[C@H](OCCc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@H]1O;0;No;Oc1ccc(CCO[C@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)cc1;0.157148972;1;-8.3;5
CPD-14429;O=c1ccc2cc(O)c(O[C@@H]3O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]3O)cc2o1;0;No;Oc1cc2C=CC(=O)Oc2cc1O[C@@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O;0.132647663;1;-9;3
CPD-14431;O=c1cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]2O)c2cccc(O)c2o1;0;No;Oc1cccc2c1OC(=O)C=C2O[C@@H]1O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]1O;0.233505666;1;-8.2;0
CPD-14434;O=c1oc2c(O)cccc2cc1O[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O;0;No;Oc1cccc2C=C(O[C@H]3O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]3O)C(=O)Oc12;0.267832875;1;-9.2;0
CPD-14461;O=c1ccc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]3O)c(O)cc2o1;0;No;Oc1cc2OC(=O)C=Cc2cc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]1O;0.101306692;1;-9.8;0
CPD-14731;CC(C)=CCC/C(C)=C/CO[C@@H]1O[C@@H](CO[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O;0;No;CC(C)=CCC/C(/C)=C/CO[C@@H]1O[C@@H](CO[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O;0.165166214;1;-9.3;9
CPD-14732;C=C[C@@](C)(CCC=C(C)C)O[C@H]1O[C@@H](CO[C@@H]2OC[C@@H](O)[C@@H](O)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O;0;No;CC(C)=CCC[C@](C)(C=C)O[C@H]1O[C@@H](CO[C@@H]2OC[C@@H](O)[C@@H](O)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O;0.172396511;1;-8.1;9
CPD-14734;O[C@H]1CO[C@H](OC[C@H]2O[C@@H](OCc3ccccc3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H]1O;0;No;O[C@H]1CO[C@H](OC[C@H]2O[C@@H](OCc3ccccc3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H]1O;0.174375251;1;-9.6;6
CPD-14735;O[C@H]1CO[C@H](OC[C@H]2O[C@@H](OCCc3ccccc3)[C@H](O)[C@@H](O)[C@@H]2O)[C@@H](O)[C@H]1O;0;No;O[C@H]1CO[C@H](OC[C@H]2O[C@@H](OCCc3ccccc3)[C@H](O)[C@@H](O)[C@@H]2O)[C@@H](O)[C@H]1O;0.193647459;1;-9.6;7
