Compound;SMILES;Cluster;Center;Smiles;rmsd;Model.ID;Energy;nRot
|Gentiobiose|;OC[C@H]1O[C@@H](OC[C@@H]2O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O;2;Yes;OC[C@H]1O[C@@H](OC[C@@H]2O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O;0.238236338;1;-9;4
1-KESTOTRIOSE;OC[C@@H]1O[C@](CO)(OC[C@]2(O[C@H]3O[C@H](CO)[C@H](O)[C@@H](O)[C@@H]3O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@@H](O)[C@H]1O;2;No;OC[C@]1(OC[C@]2(O[C@H]3O[C@H](CO)[C@H](O)[C@@H](O)[C@@H]3O)O[C@H](CO)[C@@H](O)[C@@H]2O)O[C@@H](CO)[C@H](O)[C@@H]1O;0.214479104;1;-9.4;9
1-O-GALLOYL-BETA-D-GLUCOSE;O=C(O[C@@H]1O[C@H](CO)[C@H](O)[C@@H](O)[C@@H]1O)c1cc(O)c(O)c(O)c1;2;No;OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H](O)[C@H](O)[C@H]1O;0.39205128;1;-9.1;4
10-DEACETYL-2-DEBENZOYLBACCATIN-III;CC(=O)O[C@@]12CO[C@@H]1C[C@@H](O)[C@@]1(C)C(=O)[C@@H](O)C3=C(C)[C@@H](O)C[C@@](O)([C@H](O)[C@H]21)C3(C)C;2;No;CC1(C)C2[C@H](O)C(=O)[C@@]3(C)[C@H]([C@@H](O)[C@]1(O)C[C@H](O)C=2C)[C@@]1(CO[C@@H]1C[C@H]3O)OC(C)=O;0.331656039;1;-8.4;2
10-DEACETYLBACCATIN-III;CC(=O)O[C@]12CO[C@H]1C[C@H](O)[C@@]1(C)C(=O)[C@@H](O)C3=C(C)[C@@H](O)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]12)C3(C)C;2;No;CC1(C)C2[C@H](O)C(=O)[C@@]3(C)[C@@H]([C@H](OC(=O)c4ccccc4)[C@]1(O)C[C@H](O)C=2C)[C@]1(CO[C@H]1C[C@@H]3O)OC(C)=O;0.232276887;1;-8.4;5
2-METHYL-ACETO-ACETYL-COA;CC(=O)[C@@H](C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)CO[P@](=O)([O-])O[P@](=O)([O-])OC[C@H]1O[C@H](n2cnc3c(N)ncnc32)[C@@H](O)[C@H]1OP(=O)([O-])[O-];1;No;CC(=O)[C@@H](C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)CO[P@@]([O-])(=O)O[P@@]([O-])(=O)OC[C@H]1O[C@@H]([C@@H](O)[C@H]1OP([O-])([O-])=O)[n]1c[n]c2c(N)[n]c[n]c12;0.329455674;1;-9;22
2-METHYL-BUTYRYL-COA;CC[C@@H](C)C(=O)SCCNC(=O)CCNC(=O)[C@@H](O)C(C)(C)CO[P@](=O)([O-])O[P@@](=O)([O-])OC[C@H]1O[C@H](n2cnc3c(N)ncnc32)[C@@H](O)[C@H]1OP(=O)([O-])[O-];1;No;C[C@H](CC)C(=O)SCCNC(=O)CCNC(=O)[C@@H](O)C(C)(C)CO[P@@]([O-])(=O)O[P@]([O-])(=O)OC[C@H]1O[C@@H]([C@@H](O)[C@H]1OP([O-])([O-])=O)[n]1c[n]c2c(N)[n]c[n]c12;0.260368288;1;-9.6;22
2-PHOSPHO-4-CYTIDINE-5-DIPHOSPHO-2-C-MET;C[C@](CO)(OP(=O)([O-])[O-])[C@H](O)CO[P@@](=O)([O-])O[P@@](=O)([O-])OC[C@H]1O[C@H](n2ccc(N)nc2=O)[C@@H](O)[C@@H]1O;1;No;C[C@](CO)(OP([O-])([O-])=O)[C@H](O)CO[P@]([O-])(=O)O[P@]([O-])(=O)OC[C@H]1O[C@@H]([C@@H](O)[C@@H]1O)N1C=CC(N)=NC1=O;0.163231164;1;-9.5;13
3-HYDROXY-3-METHYL-GLUTARYL-COA;CC(C)(CO[P@@](=O)([O-])O[P@](=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@H]1OP(=O)([O-])[O-])[C@H](O)C(=O)NCCC(=O)NCCSC(=O)C[C@@](C)(O)CC(=O)[O-];1;No;CC(C)(CO[P@]([O-])(=O)O[P@@]([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@H]1OP([O-])([O-])=O)[n]1c[n]c2c(N)[n]c[n]c12)[C@H](O)C(=O)NCCC(=O)NCCSC(=O)C[C@@](C)(O)CC([O-])=O;0.258067161;1;-9.4;24
3-HYDROXY-PROPIONYL-COA;CC(C)(CO[P@@](=O)([O-])O[P@](=O)([O-])OC[C@@H]1O[C@H](n2cnc3c(N)ncnc32)[C@H](O)[C@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCO;1;No;CC(C)(CO[P@]([O-])(=O)O[P@@]([O-])(=O)OC[C@@H]1O[C@@H]([C@H](O)[C@H]1OP([O-])([O-])=O)[n]1c[n]c2c(N)[n]c[n]c12)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCO;0.249004379;1;-8.9;22
3-METHYL-CROTONYL-COA;CC(C)=CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)CO[P@](=O)([O-])O[P@@](=O)([O-])OC[C@@H]1O[C@H](n2cnc3c(N)ncnc32)[C@@H](O)[C@H]1OP(=O)([O-])[O-];1;No;CC(C)=CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)CO[P@@]([O-])(=O)O[P@]([O-])(=O)OC[C@@H]1O[C@@H]([C@@H](O)[C@H]1OP([O-])([O-])=O)[n]1c[n]c2c1[n]c[n]c2N;0.259885997;1;-9.9;21
4-COUMAROYLQUINATE;O=C(/C=C\c1ccc(O)cc1)O[C@H]1C[C@@](O)(C(=O)[O-])C[C@@H](O)[C@@H]1O;2;No;[O-]C(=O)[C@@]1(O)C[C@@H](O)[C@H](O)[C@H](C1)OC(=O)/C=C\c1ccc(O)cc1;0.348040402;1;-9.1;5
4-CYTIDINE-5-DIPHOSPHO-2-C;C[C@@](O)(CO)[C@@H](O)CO[P@@](=O)([O-])O[P@@](=O)([O-])OC[C@@H]1O[C@@H](n2ccc(N)nc2=O)[C@@H](O)[C@@H]1O;1;No;C[C@@](O)(CO)[C@@H](O)CO[P@]([O-])(=O)O[P@]([O-])(=O)OC[C@@H]1O[C@H]([C@@H](O)[C@@H]1O)N1C=CC(N)=NC1=O;0.067008205;1;-9.4;11
4-HYDROXY-3-INDOLYLMETHYL-GLUCOSINOLATE;O=S(=O)([O-])O/N=C(\Cc1c[nH]c2cccc(O)c12)S[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@H]1O;0;No;[O-]S(=O)(=O)O/N=C(\Cc1c[nH]c2cccc(O)c21)/S[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@H]1O;0.127946481;1;-10.2;7
4-HYDROXY-BUTYRYL-COA;CC(C)(CO[P@@](=O)([O-])O[P@](=O)([O-])OC[C@H]1O[C@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@H](O)C(=O)NCCC(=O)NCCSC(=O)CCCO;1;No;CC(C)(CO[P@]([O-])(=O)O[P@@]([O-])(=O)OC[C@H]1O[C@@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)[n]1c[n]c2c(N)[n]c[n]c12)[C@H](O)C(=O)NCCC(=O)NCCSC(=O)CCCO;0.237239063;1;-9.2;23
5-O-INDOL-3-YLACETYL-MYO-ETCETERA;O=C(Cc1c[nH]c2ccccc12)O[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@@H](O)[C@H]2O)[C@@H](O)[C@@H](O)[C@@H](O)[C@H]1O;2;No;OC[C@H]1O[C@@H](O[C@H]2[C@H](OC(=O)Cc3c[nH]c4ccccc43)[C@H](O)[C@H](O)[C@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@@H]1O;0.194785953;1;-11.5;7
6G-KESTOTETRAOSE;OC[C@@H]1O[C@](CO)(OC[C@H]2O[C@@H](O[C@@]3(CO)O[C@@H](CO)[C@H](O)[C@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H]1O;2;No;O[C@@H]1[C@@H](O)[C@H](CO)O[C@]1(CO)O[C@@H]1O[C@H](CO[C@@]2(CO)O[C@@H](CO)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O;0.093619853;1;-9.5;9
7-O-METHYLVITEXIN-2-O-B-L-RHAMNOSIDE;COc1cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc2c1[C@@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@H]1O[C@@H]1O[C@@H](C)[C@H](O)[C@H](O)[C@H]1O;3;No;C[C@@H]1O[C@@H](O[C@H]2[C@@H](O[C@@H](CO)[C@H](O)[C@H]2O)c2c3OC(=CC(=O)c3c(O)cc2OC)c2ccc(O)cc2)[C@H](O)[C@@H](O)[C@H]1O;0.217441663;1;-10.3;6
ACETOACETYL-COA;CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@@H](O)C(C)(C)CO[P@](=O)([O-])O[P@](=O)([O-])OC[C@H]1O[C@H](n2cnc3c(N)ncnc32)[C@@H](O)[C@H]1OP(=O)([O-])[O-];1;No;CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@@H](O)C(C)(C)CO[P@@]([O-])(=O)O[P@@]([O-])(=O)OC[C@H]1O[C@@H]([C@@H](O)[C@H]1OP([O-])([O-])=O)[n]1c[n]c2c(N)[n]c[n]c12;0.400575072;1;-9.5;22
ACETYL-COA;CC(=O)SCCNC(=O)CCNC(=O)[C@@H](O)C(C)(C)CO[P@@](=O)([O-])O[P@@](=O)([O-])OC[C@@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-];1;Yes;CC(=O)SCCNC(=O)CCNC(=O)[C@@H](O)C(C)(C)CO[P@]([O-])(=O)O[P@]([O-])(=O)OC[C@@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)[n]1c[n]c2c(N)[n]c[n]c12;0.240917698;1;-9.4;20
ACRYLYL-COA;C=CC(=O)SCCNC(=O)CCNC(=O)[C@@H](O)C(C)(C)CO[P@](=O)([O-])O[P@@](=O)([O-])OC[C@H]1O[C@H](n2cnc3c(N)ncnc32)[C@@H](O)[C@@H]1OP(=O)([O-])[O-];1;No;CC(C)(CO[P@@]([O-])(=O)O[P@]([O-])(=O)OC[C@H]1O[C@@H]([C@@H](O)[C@@H]1OP([O-])([O-])=O)[n]1c[n]c2c(N)[n]c[n]c12)[C@H](O)C(=O)NCCC(=O)NCCSC(=O)C=C;0.158995748;1;-9.5;21
ADP-D-GLUCOSE;Nc1ncnc2c1ncn2[C@@H]1O[C@@H](CO[P@@](=O)([O-])O[P@](=O)([O-])O[C@@H]2O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]2O)[C@@H](O)[C@@H]1O;1;No;Nc1[n]c[n]c2c1[n]c[n]2[C@@H]1O[C@@H](CO[P@]([O-])(=O)O[P@@]([O-])(=O)O[C@@H]2O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]2O)[C@@H](O)[C@@H]1O;0.161808565;1;-11;9
APIGENIN-7-O-NEOHESPERIDOSIDE;C[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@H](CO)O[C@@H]2Oc2cc(O)c3c(=O)cc(-c4ccc(O)cc4)oc3c2)[C@H](O)[C@H](O)[C@@H]1O;3;No;C[C@H]1O[C@@H](O[C@H]2[C@@H](Oc3cc(O)c4C(=O)C=C(Oc4c3)c3ccc(O)cc3)O[C@@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@@H]1O;0.211926207;1;-11.8;6
BACCATIN-III;CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)[C@@H]2[C@@H](OC(=O)c2ccccc2)[C@]2(O)C[C@@H](O)C(C)=C1C2(C)C;2;No;CC1(C)C2[C@@H](OC(C)=O)C(=O)[C@@]3(C)[C@@H]([C@@H](OC(=O)c4ccccc4)[C@]1(O)C[C@@H](O)C=2C)[C@@]1(CO[C@@H]1C[C@@H]3O)OC(C)=O;0.239387944;1;-8.9;7
BENZOYLCOA;CC(C)(CO[P@](=O)([O-])O[P@](=O)([O-])OC[C@@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)c1ccccc1;1;No;CC(C)(CO[P@@]([O-])(=O)O[P@@]([O-])(=O)OC[C@@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)[n]1c[n]c2c(N)[n]c[n]c12)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)c1ccccc1;0.20553939;1;-9.8;21
BENZYL-DESULFOGLUCOSINOLATE;OC[C@@H]1O[C@@H](S/C(Cc2ccccc2)=N/O)[C@H](O)[C@@H](O)[C@H]1O;2;No;OC[C@@H]1O[C@@H](S/C(/Cc2ccccc2)=N/O)[C@H](O)[C@@H](O)[C@H]1O;0.244870692;1;-9.1;5
CINNAMOYL-COA;CC(C)(CO[P@@](=O)([O-])O[P@](=O)([O-])OC[C@H]1O[C@H](n2cnc3c(N)ncnc32)[C@@H](O)[C@@H]1OP(=O)([O-])[O-])[C@H](O)C(=O)NCCC(=O)NCCSC(=O)/C=C/c1ccccc1;1;No;CC(C)(CO[P@]([O-])(=O)O[P@@]([O-])(=O)OC[C@H]1O[C@@H]([C@@H](O)[C@@H]1OP([O-])([O-])=O)[n]1c[n]c2c(N)[n]c[n]c12)[C@H](O)C(=O)NCCC(=O)NCCSC(=O)/C=C/c1ccccc1;0.242993832;1;-10.1;22
CMP-KDO;Nc1ccn([C@H]2O[C@@H](CO[P@@](=O)([O-])O[C@]3(C(=O)[O-])C[C@@H](O)[C@H](O)[C@@H]([C@H](O)CO)O3)[C@H](O)[C@H]2O)c(=O)n1;1;No;NC1C=CN([C@H]2O[C@@H](CO[P@]([O-])(=O)O[C@@]3(C[C@@H](O)[C@H](O)[C@H](O3)[C@H](O)CO)C([O-])=O)[C@H](O)[C@H]2O)C(=O)N=1;0.055892047;1;-9.8;9
