Compound;SMILES;Cluster;Center;Smiles;RMSD;Model.ID;Energy;nRot
10068;C[C@]12CC[C@H]3[C@H](CC[C@]4(O)C[C@H](O)CC[C@]34C=O)[C@@]1(O)CC[C@@H]2c1ccc(=O)oc1;0;No;C[C@]12CC[C@H]3[C@@H]([C@]1(CC[C@@H]2c1coc(=O)cc1)O)CC[C@]1([C@@]3(CC[C@H](C1)O)C=O)O;0.033681653;1;-10.9;2
11219;C[C@]12CC[C@H]3[C@H](CC[C@]4(O)C[C@@H](O)CC[C@]34CO)[C@@]1(O)CC[C@@H]2C1=CC(=O)OC1;2;No;C[C@]12CC[C@H]3[C@H](CC[C@@]4(C[C@H](CC[C@]34CO)O)O)[C@]1(CC[C@@H]2C1=CC(=O)OC1)O;0.044190053;1;-10.9;2
73358;C[C@@]12C[C@@]3(O)O[C@@H](O1)[C@]1(COC(=O)c4ccccc4)[C@H]3C[C@]21O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O;2;No;C[C@]12C[C@@]3([C@@H]4C[C@]1([C@@]4([C@H](O2)O3)COC(=O)c1ccccc1)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O)O;0.039813973;1;-11.6;7
129240;CCCCCCCc1cc(O)cc(OC(=O)c2c(CCCCCCC)cc(O)cc2O[C@@H]2O[C@@H]([C@@H](O)CO)[C@H](O)[C@H]2O)c1;3;No;CCCCCCCc1cc(cc(c1)OC(=O)c1c(cc(cc1CCCCCCC)O)O[C@H]1[C@@H]([C@H]([C@H]([C@H](CO)O)O1)O)O)O;0.041887239;1;-9.8;19
129314;Oc1cc(O)cc(C[C@@H]2c3cc(O)c(O)cc3[C@@H](c3ccc(O)c(O)c3)Cc3cc(O)cc(O)c32)c1;0;No;C1[C@@H](c2cc(c(cc2[C@H](c2c(cc(cc12)O)O)Cc1cc(cc(c1)O)O)O)O)c1cc(c(cc1)O)O;0.044323415;1;-9.5;3
131404;CO[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O;2;No;CO[C@@H]1[C@H]([C@@H]([C@H]([C@H](CO)O1)O)O[C@@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O)O[C@H]1[C@@H]([C@H]([C@H]([C@@H](CO)O1)O)O)O;0.038514774;1;-10.2;8
158818;O=C(O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)c1c(O)cc(O)cc1-c1cccc(O)c1;3;No;c1cc(cc(c1)O)c1cc(cc(c1C(=O)O[C@@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O)O)O;0.023251809;1;-10.5;5
158819;O=C(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)c1c(O)cc(O)cc1-c1cccc(O)c1;3;No;c1cc(cc(c1)O)c1cc(cc(c1C(=O)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O)O)O;0.024836266;1;-10.5;5
158845;COc1cccc(OC)c1C(=O)OCc1cc(O)ccc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O;3;No;COc1cccc(c1C(=O)OCc1cc(ccc1O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O)O)OC;0.043148983;1;-10.2;9
161694;CC(C)CCC[C@@H](C)[C@H]1CC[C@]2(O)C3=CC(=O)[C@]4(O)C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C;2;No;C[C@H](CCCC(C)C)[C@H]1CC[C@]2([C@@]1(CC[C@H]1C2=CC(=O)[C@]2([C@@]1(CC[C@@H](C2)O)C)O)C)O;0.044183765;1;-10.6;5
