Compound;SMILES;Cluster;Center;Smiles;RMSD;Model.ID;Energy;nRot
73358;C[C@@]12C[C@@]3(O)O[C@@H](O1)[C@]1(COC(=O)c4ccccc4)[C@H]3C[C@]21O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O;3;No;C[C@]12C[C@@]3([C@@H]4C[C@]1([C@@]4([C@H](O2)O3)COC(=O)c1ccccc1)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O)O;0.039813973;1;-10.4;7
161694;CC(C)CCC[C@@H](C)[C@H]1CC[C@]2(O)C3=CC(=O)[C@]4(O)C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C;3;No;C[C@H](CCCC(C)C)[C@H]1CC[C@]2([C@@]1(CC[C@H]1C2=CC(=O)[C@]2([C@@]1(CC[C@@H](C2)O)C)O)C)O;0.044183765;1;-8.1;5
164134;CC[C@]1([C@H]2O[C@H]([C@@H]3O[C@](C)(O)[C@H](C)C[C@H]3C)C[C@@H]2C)CC[C@H]([C@]2(C)CC[C@]3(C[C@@H](O)[C@H](C)[C@@H]([C@H](C)[C@H](OC)[C@@H](C)C(=O)O)O3)O2)O1;3;No;CC[C@@]1(CC[C@H]([C@@]2(CC[C@]3(C[C@H]([C@@H]([C@@H]([C@H](C)[C@@H]([C@@H](C)C(=O)O)OC)O3)C)O)O2)C)O1)[C@@H]1[C@H](C[C@@H]([C@H]2[C@@H](C[C@H]([C@](C)(O2)O)C)C)O1)C;0.03603036;1;-8.6;9
174826;NC1=N[C@H](O)[C@@H]2[C@@H]3O[C@@]4(O)O[C@H]([C@@H](O)[C@]2(N1)[C@@H]4O)[C@@]3(O)CNCCNC[C@@]1(O)[C@H]2O[C@@]3(O)O[C@@H]1[C@@H]1[C@@H](O)N=C(N)N[C@@]1([C@@H]3O)[C@H]2O;3;No;C(CNC[C@@]1([C@H]2[C@@H]3[C@H](N=C(N[C@]43[C@H]([C@@H]1O[C@]([C@H]4O)(O2)O)O)N)O)O)NC[C@]1([C@@H]2[C@H]3[C@H](N=C(N[C@@]43[C@@H]([C@H]1O[C@@]([C@H]4O)(O2)O)O)N)O)O;0.044493724;1;-10.4;7
175645;NC(=O)c1csc([C@@H]2O[C@H](CO)[C@@H](O[P@](=O)(O)O[P@](=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@H]2O)n1;4;No;c1c(C(=O)N)nc([C@H]2[C@@H]([C@@H]([C@@H](CO)O2)O[P@](=O)(O)O[P@](=O)(O)OC[C@@H]2[C@H]([C@H]([C@H](n3cnc4c3ncnc4N)O2)O)O)O)s1;0.042162508;1;-8.3;11
188923;Cc1cc(O[C@@H]2O[C@H](COC(=O)c3cc(O)c(O)c(O)c3)[C@@H](O)[C@H](O)[C@H]2O)c(C(C)C)cc1O;0;No;Cc1cc(c(cc1O)C(C)C)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](COC(=O)c2cc(c(c(c2)O)O)O)O1)O)O)O;0.046498701;1;-8.9;7
191742;O=C(OC[C@H]1O[C@@H](Oc2ccc(O)c(CO)c2)[C@H](O)[C@@H](O)[C@@H]1O)c1ccccc1;0;Yes;c1ccc(cc1)C(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)Oc1cc(c(cc1)O)CO)O)O)O;0.041911382;1;-8.4;7
193605;CC(=O)N[C@@H]1[C@H](O)O[C@H](C(=O)O[P@](=O)(O)O[P@](=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@@H](O)[C@@H]1O;4;No;CC(=O)N[C@H]1[C@H]([C@@H]([C@@H](C(=O)O[P@](=O)(O)O[P@](=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)n2ccc(=O)[nH]c2=O)O)O)O[C@H]1O)O)O;0.033686549;1;-8.4;10
308371;CC[C@@H]1OC(=O)[C@H](C)[C@@H](O[C@@H]2C[C@@](C)(O)[C@H](O)[C@@H](C)O2)[C@H](C)[C@@H](O)[C@](C)(O)C[C@H](C)C(=O)[C@H](C)[C@@H](O)[C@@H]1C;3;No;CC[C@H]1[C@H]([C@@H]([C@H](C(=O)[C@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@@H]1C[C@](C)([C@@H]([C@@H](C)O1)O)O)C)O)(C)O)C)C)O)C;0.046479791;1;-9.1;3
381748;O=C(NCc1ccc(O)cc1O)c1ccccc1O;2;No;c1ccc(c(c1)C(=O)NCc1ccc(cc1O)O)O;0.045438707;1;-8;3
