Compound;SMILES;Cluster;Center;Smiles;RMSD;Model.ID;Energy;nRot
129192019;C[C@@H]1O[C@@H](O[C@H]2C[C@H]3OC(C)(C)OCC[C@]34[C@@H]3[C@H](CC[C@]4(O)C2)[C@@]2(O)CC[C@H](C4=CC(=O)OC4)[C@@]2(C)C[C@H]3O)[C@@H]2OC(C)(C)O[C@@H]2[C@H]1O;0;No;C[C@H]1[C@@H]([C@@H]2[C@H]([C@@H](O1)O[C@H]1C[C@@H]3[C@]4(CCOC(C)(C)O3)[C@H]3[C@@H](C[C@@]5([C@H](CC[C@@]5([C@H]3CC[C@@]4(C1)O)O)C1=CC(=O)OC1)C)O)OC(C)(C)O2)O;0.045789044;1;-17.8;3
101700562;CC1(C)C[C@H]2C3=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](CO[C@@H]7OC[C@H](O)[C@H](O)[C@H]7O)[C@@H](O)[C@H](O)[C@H]6O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)C[C@@H](O)[C@@]23C[C@@H]1OC3=O;0;No;C[C@]12CC[C@@H](C([C@@H]1CC[C@@]1([C@@H]2CC=C2[C@]1(C[C@H]([C@]13[C@H]2CC([C@H](C1)OC3=O)(C)C)O)C)C)(C)C)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO[C@H]2[C@@H]([C@H]([C@H](CO2)O)O)O)O1)O)O)O;0.046451069;1;-17.6;5
102318105;C[C@@H]1CC[C@]2(C(=O)O[C@H]3O[C@@H](CO[C@H]4O[C@H](CO)[C@@H](O)[C@@H](O)[C@H]4O)[C@H](O)[C@@H](O)[C@@H]3O)CC[C@]3(C)C(=CC[C@H]4[C@@]5(C)CC[C@H](O[C@@H]6OC[C@@H](O)[C@H](O)[C@H]6O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2[C@]1(C)O;0;No;C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@@H]4[C@]3(CC[C@@H]3[C@@]4(CC[C@@H](C3(C)C)O[C@H]3[C@@H]([C@H]([C@@H](CO3)O)O)O)C)C)[C@@H]2[C@]1(C)O)C)C(=O)O[C@@H]1[C@H]([C@@H]([C@H]([C@H](CO[C@@H]2[C@@H]([C@@H]([C@@H]([C@@H](CO)O2)O)O)O)O1)O)O)O;0.019098926;1;-17.6;9
71581504;C[C@H]1O[C@@H](O[C@H]2CC[C@@]3(C)[C@@H](CC[C@]4(C)[C@@H]3C=C[C@]35OC[C@@]6(CCC(C)(C)C[C@@H]63)[C@@H](O)C[C@]54C)[C@]2(C)CO)[C@H](O)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@@H](O)[C@H]2O)[C@H]1O;0;No;C[C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]1CC[C@]2([C@H]([C@]1(C)CO)CC[C@@]1([C@@H]2C=C[C@@]23[C@]1(C[C@@H]([C@@]1([C@@H]2CC(CC1)(C)C)CO3)O)C)C)C)O)O[C@H]1[C@@H]([C@@H]([C@@H]([C@@H](CO)O1)O)O)O)O;0.040237803;1;-17.4;6
102190928;C=C(C)[C@@H]1CC[C@]2(C(=O)O[C@@H]3O[C@H](CO[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]6O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12;0;No;CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]1CC[C@@H]3[C@]4(CC[C@@H](C([C@@H]4CC[C@]3([C@@]1(CC2)C)C)(C)C)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O1)O)O)O)C)C(=O)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO[C@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)O)O)O)O1)O)O)O;0.042910479;1;-17.2;11
124867830;C[C@H]1[C@H]2[C@H](C[C@@H]3[C@@H]4CC=C5C[C@H](O)C[C@@H](O[C@@H]6OC[C@@H](O)[C@H](O)[C@H]6O[C@@H]6O[C@H](C)[C@@H](O)[C@H](O)[C@H]6O)[C@]5(C)[C@H]4CC[C@@]32C)O[C@]12CC[C@@H](C)CO2;0;No;C[C@H]1[C@H]2[C@H](C[C@@H]3[C@@H]4CC=C5C[C@@H](C[C@H]([C@]5(C)[C@H]4CC[C@]23C)O[C@H]2[C@@H]([C@H]([C@@H](CO2)O)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@@H](C)O2)O)O)O)O)O[C@@]21CC[C@@H](C)CO2;0.043117333;1;-17;4
129539829;C[C@@H]1CC[C@@]2(OC1)O[C@@H]1C[C@@H]3[C@@H]4CC=C5C[C@@H](O)C[C@@H](O[C@@H]6OC[C@H](O)[C@H](O)[C@@H]6O[C@@H]6O[C@H](C)[C@H](O)[C@H](O)[C@@H]6O)[C@]5(C)[C@@H]4CC[C@]3(C)[C@@H]1[C@H]2C;0;No;C[C@@H]1[C@@H]2[C@@H](C[C@@H]3[C@@H]4CC=C5C[C@H](C[C@H]([C@]5(C)[C@@H]4CC[C@]23C)O[C@H]2[C@H]([C@H]([C@H](CO2)O)O)O[C@H]2[C@H]([C@H]([C@H]([C@@H](C)O2)O)O)O)O)O[C@@]21CC[C@@H](C)CO2;0.042019416;1;-17;4
102470433;C[C@]1(C(=O)O)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@H](O)[C@@H](O[C@@H]6OC[C@@H](O)[C@H](O)[C@H]6O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2C1;0;No;C[C@@]1(CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]3[C@@]4(C[C@@H]([C@H]([C@@]3(C)CO)O[C@H]3[C@@H]([C@H]([C@@H](CO3)O)O)O)O)C)C)[C@@H]2C1)C)C(=O)O)C(=O)O;0.04686461;1;-16.9;5
124867965;C[C@@H]1[C@H]2C3=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@@H](O)[C@@](C)(CO)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C(=O)O[C@@H]2O[C@@H](CO[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@H](C)[C@@H](O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@@H](O)[C@H]2O)CC[C@H]1C;0;No;C[C@@H]1CC[C@]2(C(=O)O[C@H]3[C@@H]([C@@H]([C@H]([C@H](CO[C@H]4[C@@H]([C@H]([C@@H]([C@@H](CO)O4)O[C@H]4[C@@H]([C@H]([C@@H]([C@@H](C)O4)O)O)O)O)O)O3)O)O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@H]([C@H]([C@@](C)(CO)[C@@H]5CC[C@@]34C)O)O)[C@@H]2[C@H]1C;0.01153775;1;-16.8;10
11764858;C[C@H]1CC[C@]2(C(=O)O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2[C@]1(C)O;0;No;C[C@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]3[C@@]4(C[C@H]([C@@H](C3(C)C)O)O)C)C)[C@@H]2[C@]1(C)O)C)C(=O)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O;0.036317825;1;-16.7;4
